Population Name Reported,count
"ID82, CD86+ of CD20+ B cells (CD86+ activated mature B)",245
"ID81, CD80+ of CD20+ B cells (CD80+ activated mature B)",245
"ID89, CD21+ of plasmablasts",245
"ID112, IgG+ of Naive B cells",245
"ID106, IgD+CD27- of CD20+ B cells* (Naive B)",245
"ID114, CD21+ of IgD-CD27- memory B cells",245
"ID71, TNFa+ of total DCs",245
"ID69, TNFa+ of total monocytes",245
"ID67, CD86+ of total monocytes",245
"ID66, CD83+ of total monocytes",245
"ID65, CD40+ of total monocytes",245
"ID64, CD14+ of viable CD45+ cells (Total Monocytes)",245
"ID74, TNFa+ of mDCs",245
"ID75, IFNa+ of mDCs",245
"ID118, CD23+ of IgD-CD27- memory B cells",245
"ID79, CD11c+CD123+ of total DCs",245
"ID77, TNFa+ of pDCs",245
"ID78, INFa+ of pDCs",245
"ID76, CD11c-CD123+ of total DCs (Plasmacytoid DCs)",245
"ID73, CD11c+CD123- of total DCs (Myeloid DCs)",245
"ID72, INFa+ of total DCs",245
"ID93, CD21+ of transitional B cells",245
"ID116, CD80+ of IgD-CD27- memory B cells",245
"ID119, IgA+ of IgD-CD27- memory B cells",245
"ID120, IgG+ of IgD-CD27- memory B cells",245
"ID90, CD10+CD27- of CD20+ B cells (Transitional B)",245
"ID117, CD86+ of IgD-CD27- memory B cells",245
"ID91, CD38+ of transitional B cells",245
"ID70, HLA-DR+ of Lin-CD45+ (Total Dendritic cells)",245
"ID68, HLA-DR+ of total monocytes",244
CXCR3-FMO B cells,225
CXCR3-FMO NK cells,225
CXCR3-FMO CD4+ T cells,225
CXCR3-FMO CD8+ T cells,225
CXCR3-FMO CD33+ monocytes,225
TFH17_ICOSp,214
Myeloid Dendritic cells,207
Plasmacytoid Dendritic cells,207
CD56+ NK cells,207
CD16+ CD56+ NK cells,207
CD16- CD56+ NK cells,207
CD14+ CD16+ Monocytes,207
Classical Monocytes,207
Dendritic cells,207
CD19+ CD20-,203
"ID20, IL21+ of CD161+CD4+ T cells",197
mDCs,182
pDCs,182
CD16+CD14+ monocytes,182
ICOS+CD8+ T cell,182
Intact cells,182
Intact singlets,182
basophils,182
CD16+CD14- monocytes,182
CD57+CD4+ T cells,182
CD57-CD4+ T cells,182
ICOS+CD4+ T cell,182
ICOS-CD4+ T cells,182
non-naive CD4+ T cells,182
CD57+CD8+ T cells,182
CD57-CD8+ T cells,182
PD1-CD4+ T cells,182
ICOS-CD8+ T cells,182
PD1-CD8+ T cells,182
CD161+ NKT cells,182
CD161- NKT cells,182
CD57+ NK cells,182
CD57- NK cells,182
CD16-CD56bright NK cells,182
nonbasophils,182
non-naive CD8+ T cells,182
nonmonocyte-nonbasophils,182
nonB-nonT-nonmonocyte-nonbasophils,182
nonNK-nonB-nonT-nonmonocyte-nonbasophils,182
non-TFH CD8+ T cells,179
Th17 TFH CD8+ T cells,179
Th2 TFH CD8+ T cells,179
Th2 non-TFH CD8+ T cells,179
Th1 non-TFH CD8+ T cells,179
Th17 non-TFH CD8+ T cells,179
TFH CD8+ T cells,179
Th1 TFH CD8+ T cells,179
TFH CD4+ T cells,179
Th2 non-TFH CD4+ T cells,179
Th17 non-TFH CD4+ T cells,179
Th1 non-TFH CD4+ T cells,179
non-TFH CD4+ T cells,179
Th2 TFH CD4+ T cells,179
Th17 TFH CD4+ T cells,179
Th1 TFH CD4+ T cells,179
CD25p_pCD4,162
FoxP3p_pCD8,162
CTLA4p_pCD8,162
CD25p_pCD8,162
FoxP3p_pCD4,162
CTLA4p_pCD4,162
CD56diCD16p_pLY,162
QC3_CD8_pLY,162
CD62Ln_pmatureNeu,162
CD45RAnCD4p_CD1c_pCD1c,162
CD45RApCD4p_CD1c_pCD1c,162
CD45RApCD4n_CD1c_pCD1c,162
CD56diCD16n_pLY,162
CD45RAnCD4p_BDCA2_pBDCA2,162
CD45RApCD4p_BDCA2_pBDCA2,162
CD45RApCD4n_BDCA2_pBDCA2,162
CD45RAnCD4n_BDCA2_pBDCA2,162
CD11c_pWBC,162
CD123_pWBC,162
CD45RAnCD4n_CD1c_pCD1c,162
CD62Lp_pmatureNeu,162
CD56br_pLY,162
CD56nCD16p_pLY,162
HLA-DR+ Tfh1/17 CD4+ T cell,160
CD40+ myeloid dendritic cell,160
CD40- myeloid dendritic cell,160
CD40+ CD1c+ myeloid dendritic cell,160
CD40- CD1c+ myeloid dendritic cell,160
CD40+ BDCA3+ myeloid dendritic cell,160
CD40- BDCA3+ myeloid dendritic cell,160
HLA-DR+ T cell,160
HLA-DR+ CD4+ T cell,160
HLA-DR+ T follicular helper cell,160
HLA-DR+ Tfh1 CD4+ T cell,160
CD62L+ CD16- monocyte,160
HLA-DR+ Tfh17 CD4+ T cell,160
HLA-DR+ Tfh2 CD4+ T cell,160
CD62L+ CD16+ monocyte,160
CD62L- CD16+ monocyte,160
CD40+ plasmacytoid dendritic cell,160
CD62L- CD16- monocyte,160
CD62L- neutrophil,160
HLA-DR+ Th17 CD4+ T cell,160
HLA-DR+ Th1/17 CD4+ T cell,160
HLA-DR+ Th1 CD4+ T cell,160
HLA-DR+ T helper cell,160
CD40- plasmacytoid dendritic cell,160
HLA-DR+ CD8+ T cell,160
HLA-DR+ Th2 CD4+ T cell,160
CD314+CD94- NK cells,149
CD314+CD94+CD8- T cells,149
CD20- CD3- cells,149
CD314-CD94- NK cells,149
CD314+CD94+ NK cells,149
CD314-CD94+ NK cells,149
CD314+CD94-CD8- T cells,149
CD314-CD94-CD8- T cells,149
CD314-CD94+CD8- T cells,149
CD8- T cells,149
CD314-CD94-CD8+T cells,149
CD314+CD94-CD8+ T cells,149
CD314+CD94+CD8+ T cells,149
CD314-CD94+CD8+ T cells,149
T6B_CD3nCD56_CD127pCD25n_abs,148
T4_CD1c_abs,148
T4_CD1cp_CD2p_abs,148
T4_CD11cp_CD86p_abs,148
T4_CD11cp_CD2p_abs,148
T6B_CD3nCD56_CD127nCD25n_abs,148
T6B_CD3nCD56_CD127nCD25p_abs,148
T6B_CD3nCD56_abs,148
T6B_CD3nCD56_CD127pCD25p_abs,148
T6B_CD3nCD56_CLAnCD62Ln_abs,148
T6B_CD3nCD56_CLAnCD62Lp_abs,148
T6B_CD3nCD56_CLApCD62Ln_abs,148
T6B_CD3nCD56_CLApCD62Lp_abs,148
T6B_CD127loCD25hi_DR_abs,148
T6B_CD3nCD56_DR_abs,148
T4_CD1cp_CD86p_abs,148
T5_CD3_abs,148
T5_CD4_abs,148
T5_CD4_ICOSp_abs,148
T6B_CD127loCD25hi_CLApCD62Lp_abs,148
T6B_CD127loCD25hi_CLApCD62Ln_abs,148
T6B_CD127loCD25hi_CLAnCD62Lp_abs,148
T6B_CD127loCD25hi_CLAnCD62Ln_abs,148
T6B_CD127loCD25hi_abs,148
T5_TH2_ICOSp_abs,148
T5_TH2_abs,148
T5_TH17_ICOSp_abs,148
T5_TH17_abs,148
T5_TH1_ICOSp_abs,148
T5_TH1_abs,148
T5_TH1_17_ICOSp_abs,148
T5_TH1_17_abs,148
T5_TH_ICOSp_abs,148
T5_TH_abs,148
T5_TFH2_ICOSp_abs,148
T5_TFH2_abs,148
T5_TFH17_ICOSp_abs,148
T5_TFH17_abs,148
T5_TFH1_ICOSp_abs,148
T5_TFH1_abs,148
T5_TFH1_17_ICOSp_abs,148
T5_TFH1_17_abs,148
T5_TFH_ICOSp_abs,148
T5_TFH_abs,148
T5_CD8_ICOSp_abs,148
T5_CD8_abs,148
T3_Mono_CD14pCD16p_CX3CR1_abs,148
T2_trans_CD86_abs,148
T4_CD11c_abs,148
T3_Mono_CD14pCD16n_CD11b_abs,148
T2_trans_abs,148
T6B_CD3nCD56bri_CD127nCD25n_abs,148
T3_Eos_abs,148
T3_Mono_abs,148
T3_Mono_CD11b_abs,148
T3_Mono_CD14nCD16n_abs,148
T3_Mono_CD14nCD16p_abs,148
T3_Mono_CD14nCD16p_CD11b_abs,148
T3_Mono_CD14nCD16p_CD2_abs,148
T3_Mono_CD14nCD16p_CD40_abs,148
T3_Mono_CD14nCD16p_CD86_abs,148
T3_Mono_CD14nCD16p_CX3CR1_abs,148
T3_Mono_CD14nCD16p_DR_abs,148
T3_Mono_CD14pCD16n_abs,148
T3_Mono_CD14pCD16n_CD2_abs,148
T4_BDCA3_abs,148
T3_Mono_CD14pCD16n_CD40_abs,148
T3_Mono_CD14pCD16n_CD86_abs,148
T3_Mono_CD14pCD16n_CX3CR1_abs,148
T3_Mono_CD14pCD16n_DR_abs,148
T3_Mono_CD14pCD16p_abs,148
T3_Mono_CD14pCD16p_CD11b_abs,148
T3_Mono_CD14pCD16p_CD2_abs,148
T3_Mono_CD14pCD16p_CD40_abs,148
T3_Mono_CD14pCD16p_CD86_abs,148
T3_Neu_abs,148
T3_Mono_CD14pCD16p_DR_abs,148
T3_Mono_CD2_abs,148
T3_Mono_CD40_abs,148
T3_Mono_CD86_abs,148
T2_PB_CD86_abs,148
T2_PB_CD138_CD86_abs,148
T2_PB_CD138_abs,148
T2_PB_abs,148
T4_BDCA2p_CD86p_abs,148
T4_BDCA2p_CD2p_abs,148
T4_BDCA2_abs,148
T3_Slan_DR_abs,148
T3_Slan_CX3CR1_abs,148
T3_Slan_CD86_abs,148
T3_Slan_CD40_abs,148
T3_Slan_CD2_abs,148
T3_Slan_CD11b_abs,148
T3_Slan_abs,148
T3_Neu_CD16pCD11bp_abs,148
T3_Neu_CD16pCD11bn_abs,148
T3_Neu_CD16nCD11bp_abs,148
T3_Neu_CD16nCD11bn_abs,148
T2_CD19_abs,148
T2_CD19_CD27_abs,148
T2_CD19_CD86_abs,148
T2_CD19p_CD20n_abs,148
T2_CD19p_CD20n_CD86_abs,148
T2_CD19p_CD20p_abs,148
T2_CD19p_CD20p_CD86_abs,148
T2_CD27n_IgDn_abs,148
T2_CD27n_IgDn_CD86_abs,148
T2_CD27n_IgDp_abs,148
T2_CD27n_IgDp_CD86_abs,148
T2_CD27p_IgDn_abs,148
T2_CD27p_IgDn_CD86_abs,148
T2_CD27p_IgDp_abs,148
T2_CD27p_IgDp_CD86_abs,148
T6B_CD3nCD56bri_abs,148
T7_CD4_CCR6pCD161n_abs,148
T6B_CD3nCD56bri_CD127nCD25p_abs,148
T9_CD19_CLA_abs,148
T7_TH2_abs,148
T7_TH2_CCR4_abs,148
T7_TH2_CD161_abs,148
T7_TH2_CLA_abs,148
T9_CD19_abs,148
T9_CD19_CCR9p_abs,148
T9_CD19_DR_abs,148
T7_TH17_CD161_abs,148
T9_CD19_Ki67_abs,148
T9_CD3_abs,148
T9_CD3_CCR9p_abs,148
T9_CD3_CLA_abs,148
T9_CD3_DR_abs,148
T9_CD3_Ki67_abs,148
T7_TH17_CLA_abs,148
T7_TH17_CCR4_abs,148
T6B_CD3nCD56bri_CD127pCD25n_abs,148
T7_TH1_17_CCR4_abs,148
T7_TH_CCR6nCD161n_abs,148
T7_TH_CCR6nCD161p_abs,148
T7_TH_CCR6pCD161n_abs,148
T7_TH_CCR6pCD161p_abs,148
T7_TH_CD161_abs,148
T7_TH_CLA_abs,148
T7_TH1_17_CD161_abs,148
T7_TH17_abs,148
T7_TH1_17_CLA_abs,148
T7_TH1_7_abs,148
T7_TH1_abs,148
T7_TH1_CCR4_abs,148
T7_TH1_CD161_abs,148
T7_TH1_CLA_abs,148
T9_CD3dp_abs,148
T9_CD3dp_CLA_abs,148
T9_CD3dp_DR_abs,148
T9_NKT_DR_abs,148
T9_NK_CLA_abs,148
T9_NK_DR_abs,148
T9_NK_Ki67_abs,148
T9_NKT_abs,148
T9_NKT_CCR9p_abs,148
T9_NKT_CLA_abs,148
T9_NKT_Ki67_abs,148
T9_CD3dp_Ki67_abs,148
T9_TFH_abs,148
T9_TFH_CCR9p_abs,148
T9_TFH_CLA_abs,148
T9_TFH_DR_abs,148
T9_TFH_Ki67_abs,148
CD28+CD4+ T cells,148
T9_NK_CCR9p_abs,148
T9_NK_abs,148
T9_CD8_Ki67_abs,148
T9_CD8_DR_abs,148
T9_CD8_CLA_abs,148
T9_CD8_CCR9p_abs,148
T9_CD8_abs,148
T9_CD4_Ki67_abs,148
T9_CD4_DR_abs,148
T9_CD4_CLA_abs,148
T9_CD4_CCR9p_abs,148
T9_CD4_abs,148
T9_CD3pDN_Ki67_abs,148
T9_CD3pDN_DR_abs,148
T9_CD3pDN_CLA_abs,148
T9_CD3pDN_CCR9p_abs,148
T9_CD3pDN_abs,148
T7_TH_CCR4_abs,148
T7_TH_abs,148
T7_TFH2_CLA_abs,148
T6B_NKT_abs,148
T6B_CD4_abs,148
T6B_CD4_CLAnCD62Ln_abs,148
T6B_CD4_CLAnCD62Lp_abs,148
T6B_CD4_CLApCD62Ln_abs,148
T6B_CD4_CLApCD62Lp_abs,148
T6B_CD4_DR_abs,148
T6B_NKT_CD127nCD25n_abs,148
T6B_NKT_DR_abs,148
T6B_NKT_CD127nCD25p_abs,148
T6B_NKT_CD127pCD25n_abs,148
T6B_NKT_CD127pCD25p_abs,148
T6B_NKT_CLAnCD62Ln_abs,148
T6B_NKT_CLAnCD62Lp_abs,148
T6B_NKT_CLApCD62Ln_abs,148
T6B_CD3p_abs,148
T6B_CD3nCD56dim_DR_abs,148
T6B_CD3nCD56dim_CLApCD62Lp_abs,148
T6B_CD3nCD56dim_CLApCD62Ln_abs,148
T6B_CD3nCD56dim_CLAnCD62Lp_abs,148
T6B_CD3nCD56dim_CLAnCD62Ln_abs,148
T6B_CD3nCD56dim_CD127pCD25p_abs,148
T6B_CD3nCD56dim_CD127pCD25n_abs,148
T6B_CD3nCD56dim_CD127nCD25p_abs,148
T6B_CD3nCD56dim_CD127nCD25n_abs,148
T6B_CD3nCD56dim_abs,148
T6B_CD3nCD56bri_DR_abs,148
T6B_CD3nCD56bri_CLApCD62Lp_abs,148
T6B_CD3nCD56bri_CLApCD62Ln_abs,148
T6B_CD3nCD56bri_CLAnCD62Lp_abs,148
T6B_CD3nCD56bri_CLAnCD62Ln_abs,148
T6B_CD3nCD56bri_CD127pCD25p_abs,148
T6B_NKT_CLApCD62Lp_abs,148
T7_CD4_abs,148
T7_TFH2_CD161_abs,148
T7_TFH1_CD161_abs,148
T7_TFH1_17_CCR4_abs,148
T7_TFH1_17_CD161_abs,148
T7_TFH1_17_CLA_abs,148
T7_TFH1_7_abs,148
T7_TFH1_abs,148
T7_TFH1_CCR4_abs,148
T7_TFH1_CLA_abs,148
T7_CD4_CCR4_abs,148
T7_TFH17_abs,148
T7_TFH17_CCR4_abs,148
T7_TFH17_CD161_abs,148
T7_TFH17_CLA_abs,148
T7_TFH2_abs,148
T7_TFH2_CCR4_abs,148
T7_TFH_CLA_abs,148
T7_TFH_CD161_CLA_abs,148
T7_TFH_CD161_CD161_abs,148
T7_TFH_CD161_CCR4_abs,148
T7_TFH_CD161_abs,148
T7_TFH_CCR6pCD161p_abs,148
T7_TFH_CCR6pCD161n_abs,148
T7_TFH_CCR6nCD161p_abs,148
T7_TFH_CCR6nCD161n_abs,148
T7_TFH_CCR4_abs,148
T7_TFH_abs,148
T7_CD4_CLA_abs,148
T7_CD4_CD161_abs,148
T7_CD4_CCR6pCD161p_abs,148
T3_Mono_DR_abs,148
T7_CD4_CCR6nCD161p_abs,148
T7_CD4_CCR6nCD161n_abs,148
T3_Mono_CX3CR1_abs,148
CD19hi,144
CD2pCD86n_BDCA2,144
CD2nCD86p_CD1c,144
CD2pCD86p_CD1c,144
CD2pCD86p_BDCA2,144
CD2nCD86p_BDCA2,144
CD2nCD86n_BDCA3,144
CD2pCD86n_BDCA3,144
CD2pCD86p_BDCA3,144
CD2nCD86p_BDCA3,144
CD2n_BDCA3,144
CD2p_BDCA3,144
TEFF_CD8,144
EM_CD8,144
CM_CD8,144
Naive_CD8,144
CD2pCD86n_CD1c,144
CD2nCD86n_CD1c,144
Slan,144
CD11bp_Slan,144
CD11bn_Slan,144
CD2p_Slan,144
CD2n_Slan,144
CD86p_Slan,144
CD86n_Slan,144
CD14p_Slan,144
CD14n_Slan,144
QC_CD4,144
CD127loCD25p,144
CD2nCD86n_BDCA2,144
Tfh cell,128
CD45+ cells/uL,116
"Naive B cell,Freq. of,Q2: CD19+, CD20+",116
"B lym CD27+,Freq. of,Q3: CD19+, CD20-",116
"B lym CD19+,Freq. of,WBC CD45+",116
"Q2: CD19+,, CD20+,Freq. of,B lym CD19+",116
Plasmablast + Plasma Cells Abs#,116
"Memory B cell,Freq. of,Q2: CD19+, CD20+",116
"Transition B cell,Freq. of,Q2: CD19+, CD20+",116
"Q3: CD19+,, CD20-,Freq. of,B lym CD19+",116
"Plasmablast,Freq. of,Q3: CD19+, CD20-",116
"Plasma cells,Freq. of,B lym CD27+",116
CD16lo CD11b- neutrophil,90
CD16hi CD11b- neutrophil,90
CD16hi CD11b+ neutrophil,90
CD16lo CD11b+ neutrophil,90
Viable/Singlets/Lymphs/CD3+/CD8+/CD28+,87
"Viable/Singlets/Lymphs/CD3+/CD8+/Q3: CD45RA+, CD27D",87
Viable/Singlets/Lymphs/CD3+/CD4+/CD27+,87
Viable/Singlets/Lymphs/CD3+/CD8+/CD27+,87
Viable/Singlets/Lymphs/CD3+/CD4+/CD28+,87
"Viable/Singlets/Lymphs/CD3+/CD4+/Q4: CD45RAD, CD27D",87
Viable/Singlets/Lymph/CD3+/CD8+,87
Viable/Singlets/Lymph/CD3+/CD4+,87
Viable/Singlets/Lymph/CD3+,87
Viable/Singlets/Lymph,87
"Viable/Singlets/Lymphs/CD3+/CD8+/Q1: CD45RAD, CD27+",87
Viable/Singlets/Lymphs/CD3-,87
"Viable/Singlets/Lymphs/CD3+/CD4+/Q3: CD45RA+, CD27D",87
"Viable/Singlets/Lymphs/CD3+/CD4+/Q1: CD45RAD, CD27+",87
"Viable/Singlets/Lymphs/CD3+/CD8+/Q4: CD45RAD, CD27D",87
Viable/Singlets/Lymphs/CD3-/B cells,87
Viable/Singlets/Monocytes,87
Viable/Singlets/Lymphs/CD3+/TCRgd,87
Viable/Singlets/Monocytes/CD33+,87
Viable/Singlets/Lymphs/CD3+/CD3+ CD56+,87
"Viable/Singlets/Lymphs/CD3+/CD4+/Q2: CD45RA+, CD27+",87
TFH1_17_ICOSp_abs,82
TFH2_ICOSp_abs,82
TFH2_abs,82
TFH17_ICOSp_abs,82
TFH17_abs,82
TFH_abs,82
TFH1_ICOSp_abs,82
TFH1_abs,82
TFH_ICOSp_abs,82
TH_ICOSp_abs,82
CD4_ICOSp_abs,82
CD4_abs,82
TH_abs,82
TH17_abs,82
TH1_abs,82
TH1_ICOSp_abs,82
TH1_17_abs,82
TH1_17_ICOSp_abs,82
TH17_ICOSp_abs,82
TH2_abs,82
TH2_ICOSp_abs,82
CD8_abs,82
CD8_CCR6_abs,82
CD8_CXCR3_abs,82
CD8_CXCR5_abs,82
CD8_ICOSp_abs,82
CD3_abs,82
CD3_ICOSp_abs,82
TFH1_17_abs,82
CD19_abs,80
IgDnCD27p_abs,80
CD19pCD20n_CD86p_abs,80
CD19pCD20p_CD86p_abs,80
IgDnCD27n_CD86p_abs,80
IgDnCD27p_CD86p_abs,80
IgDpCD27p_CD86p_abs,80
naive_CD86p_abs,80
CD19pCD20n_abs,80
CD19pCD20p_abs,80
IgDnCD27n_abs,80
IgDpCD27p_abs,80
naive_abs,80
trans_CD86p_abs,80
trans_abs,80
PB_CD86_abs,80
PB_abs,80
CD138_CD86_abs,80
CD138_abs,80
CD19_CD27p_abs,80
CD19_CD86_abs,80
CXCR3+ CD33+ monocytes,73
CXCR3+CD8+ T cells,73
CXCR3+CD4+ T cells,73
CXCR3+ NK cells,73
CXCR3+ B cells,73
Lymphocytes,71
Bulk CD8,71
All Events,71
live,71
single cells,71
Pre CD4,71
Bulk CD4,71
Pre CD8,71
NP CD49a+,71
NP tetramer,71
granulocyte,62
HLA-DR+ monocyte,62
CX3CR1hi HLA-DR+ monocyte,62
CX3CR1lo HLA-DR+ monocyte,62
effector CD8+ T cell,62
naive CD8+ T cell,62
ICOS+ T follicular helper cell type 2,62
T follicular helper cell type 2,62
effector memory CD8+ T cell,62
central memory CD4+ T cell,62
naive CD4+ T cell,62
effector CD4+ T cell,62
T follicular helper cell type 1,62
ICOS+ T follicular helper cell type 17,62
T follicular helper cell type 17,62
ICOS+ T follicular helper cell type 1,62
effector memory CD4+ T cell,62
central memory CD8+ T cell,62
Total Cells,60
CD8 T cells,60
CD3+ NKT cells,60
CD3hi NKT cells,60
CD4 T cells,60
Naive CD4 T cells,60
Tem CD8 T cells,60
Tcm CD8 T cells,60
Temra CD8 T cells,60
Tem CD4 T cells,60
Tcm CD4 T cells,60
Temra CD4 T cells,60
Naive CD8 T cells,60
Plasmablast,59
PA tetramer,56
PA CD49a+,56
DRnCD38n_pCD8,48
Ki67pBcl2bri_pCD8,48
Bcl2_pCD8,48
Bcl2_pCD4,48
DR_pCD8,48
GranB_pCD8,48
QC14_TEFF_pCD8,48
QC12_EM_pCD8,48
QC11_Naive_pCD8,48
QC10_CM_pCD8,48
Ki67nBcl2dim_pCD8,48
Ki67pBcl2dim_pCD8,48
Ki67nBcl2bri_pCD8,48
QC8_TEFF_pCD4,48
DRnCD38p_pCD4,48
Ki67_pCD4,48
DRpCD38n_pCD8,48
DRpCD38p_pCD8,48
DRnCD38p_pCD8,48
GranB_pCD4,48
Ki67_pCD8,48
DR_pCD4,48
CD38bri_pCD4,48
QC9_CD8_pLY,48
CD38bri_pCD8,48
QC7_EM_pCD4,48
Ki67nBcl2bri_pCD4,48
QC6_Naive_pCD4,48
DRpCD38p_pCD4,48
DRpCD38n_pCD4,48
DRnCD38n_pCD4,48
QC4_CD4_pLY,48
Ki67pBcl2bri_pCD4,48
Ki67nBcl2dim_pCD4,48
QC5_CM_pCD4,48
Ki67pBcl2dim_pCD4,48
HLADR+ CD20+ B Cell,40
HLADR+ plasmablast,40
HLADR+ IgD+ Memory B Cell,40
HLADR+ transitional B Cell,40
HLADR+ Naive B Cell,40
HLADR+ IgD- CD27- B cell,40
HLADR+ IgD- Memory B Cell,40
HLADR+ CD27+ B Cell,40
HLADR+ CD138+ B Cell,40
HLADR+ CD20- B Cell,40
CD1c_pmDC,18
BDCA3_pmDC,18
neu_abs,14
eos_abs,14
pDC_abs,14
pDC_CD2n_abs,14
pDC_CD2p_abs,14
mDC_abs,14
BDCA3_CD86p_abs,14
pDC_CD86p_abs,14
BDCA3_CD2p_abs,14
QCGran_abs,14
Mo_SLAN_abs,14
Mo_abs,14
Mo_CD40p_abs,14
CD14nCD16p_abs,14
CD14pCD16p_abs,14
CD14pCD16n_abs,14
CD14nCD16n_abs,14
CD16n_CX3CR1p_abs,14
CD16p_CX3CR1p_abs,14
CD16p_CX3CR1n_abs,14
CD16n_CX3CR1n_abs,14
CD16n_CD11bp_abs,14
CD16p_CD11bp_abs,14
CD16p_CD11bn_abs,14
CD16n_CD11bn_abs,14
CD16n_HLADRp_abs,14
CD16p_HLADRp_abs,14
CD16p_HLADRn_abs,14
CD16n_HLADRn_abs,14
CD16n_CD86p_abs,14
CD16p_CD86p_abs,14
mDC_CD2p_abs,14
CD16p_CD86n_abs,14
CD16n_CD86n_abs,14
CD16n_SLANp_abs,14
CD16p_SLANp_abs,14
CD16p_SLANn_abs,14
CD16n_SLANn_abs,14
mDC_CD2n_abs,14
pDC_CD86n_abs,14
mDC_CD86p_abs,14
CD1c_abs,14
BDCA3_CD86n_abs,14
BDCA3_CD2n_abs,14
CD1c_CD2p_abs,14
CD1c_CD86p_abs,14
CD1c_CD86n_abs,14
BDCA3_abs,14
CD1c_CD2n_abs,14
mDC_CD86n_abs,14
T: IFNg-IL-10- DN CD4,10
T: IFNg+IL-10+ DP CD4,10
T: CD4+ T cell,10
T: effector memory CD8+ T cell INFg neg,8
T: effector memory CD45RA+ CD8+ T cell INFg neg,8
T: effector memory CD45RA+ CD8+ T cell INFg pos,8
T: CD8+ T cell,8
T: effector memory CD8+ T cell INFg pos,8
IFNg+ CD8 T-cells,3
GzB+ NK T-cells,3
IL17+ CD4 T-cells,3
IFNg+ NK T-cells,3
GzB+ CD8 T-cells,3
CD154+ CD8 T-cells,3
CD107a+ CD8 T-cells,3
CD8 T-cells,3
IFNg or IL2 + NK T-cells,3
TNFa+ CD4 T-cells,3
IFNg or IL2 + CD8 T-cells,3
IL4+ CD8 T-cells,3
IL10+ CD8 T-cells,3
IL13+ CD8 T-cells,3
IL2+ CD4 T-cells,3
IL13+ NK T-cells,3
IL13+ CD4 T-cells,3
GzB+ CD4 T-cells,3
Singlets,3
Time exclusion,3
Live Lymphocytes,3
Lymphocytes by FSC SSC,3
T-cells,3
CD4 T-cells,3
CD107a+ CD4 T-cells,3
CD154+ CD4 T-cells,3
TNFa+ NK T-cells,3
IL4+ NK T-cells,3
IL2+ NK T-cells,3
IFNg+ CD4 T-cells,3
IL17+ NK T-cells,3
CD154+ NK T-cells,3
IFNg or IL2 + CD4 T-cells,3
IL4+ CD4 T-cells,3
IL10+ CD4 T-cells,3
IL10+ NK T-cells,3
IL17+ CD8 T-cells,3
IL4+ gd T-cells,3
CD107a+ NK T-cells,3
IL10+ CD56hi NK cells,3
IL2+ CD56hi NK cells,3
IL17+ CD56hi NK cells,3
IL13+ CD56hi NK cells,3
IL4+ CD56dim NK cells,3
IL13+ CD56dim NK cells,3
IL17+ CD56dim NK cells,3
IL2+ CD56dim NK cells,3
TNFa+ CD56dim NK cells,3
IFNg+ CD56dim NK cells,3
CD56hi NK cells,3
CD107a+ CD56hi NK cells,3
CD154+ CD56hi NK cells,3
GzB+ CD56hi NK cells,3
IFNg+ CD56hi NK cells,3
IFNg or IL2 + CD56hi NK cells,3
IL4+ CD56hi NK cells,3
IFNg or IL2 + CD56dim NK cells,3
GzB+ CD56dim NK cells,3
NK T-cells,3
GzB+ gd T-cells,3
TNFa+ gd T-cells,3
IL2+ gd T-cells,3
IL17+ gd T-cells,3
IL13+ gd T-cells,3
IL10+ gd T-cells,3
IFNg or IL2 + gd T-cells,3
IFNg+ gd T-cells,3
CD154+ gd T-cells,3
CD154+ CD56dim NK cells,3
CD107a+ gd T-cells,3
gd T-cells,3
TNFa+ CD56hi NK cells,3
IL2+ CD8 T-cells,3
TNFa+ CD8 T-cells,3
CD56dim NK cells,3
CD107a+ CD56dim NK cells,3
IL10+ CD56dim NK cells,3
