Population Name Reported,count
Live cells/CD4 T cells/CD4+ CD45RA-/Infected,820
Live cells,820
Live cells/CD4 T cells,820
Live cells/CD4 T cells/CD4+ CD45RA+,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA-,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC low,820
IFN-gamma- IL-17+ CD8+ T cells,802
Granzyme B- TNF-alpha+ CD8+ T cells,802
IFN-gamma+ TNF-alpha- NK cells,802
IFN-gamma+ TNF-alpha+ NK cells,802
IFN-gamma- TNF-alpha+ NK cells,802
Granzyme B+ IFN-gamma- NK cells,802
Granzyme B+ IFN-gamma+ NK cells,802
Granzyme B- IFN-gamma+ NK cells,802
Granzyme B+ TNF-alpha- CD8+ T cells,802
Granzyme B+ TNF-alpha+ CD8+ T cells,802
IFN-gamma+ IL-17- CD4+ T cells,802
IFN-gamma+ IL-17- CD8+ T cells,802
IFN-gamma+ IL-17+ CD8+ T cells,802
Granzyme B+ TNF-alpha- CD4+ T cells,802
Granzyme B+ TNF-alpha+ CD4+ T cells,802
Granzyme B- TNF-alpha+ CD4+ T cells,802
IFN-gamma+ IL-17+ CD4+ T cells,802
IFN-gamma- IL-17+ CD4+ T cells,802
CD14pCD16p,794
CD14pCD16n,794
TFH,791
CD8,791
CD3,791
CD4,791
CD19,791
TFH1,790
TFH17,790
TFH2,790
CD1c,757
monocytes,655
BDCA3,633
CD3- cells,609
plasmablast,598
CD3- lymphocytes,596
Tregs,540
NKT cells,506
effector memory CD4+ T cells,505
effector memory CD8+ T cells,505
naive CD4+ T cells,505
central memory CD4+ T cells,505
effector CD4+ T cells,505
central memory CD8+ T cells,505
effector CD8+ T cells,505
naive CD8+ T cells,505
pDC_CD40p,489
pDC_CD2p,489
mDC,489
mDC_CD2p,489
pDC_CD86p,489
mDC_CD2n,489
mDC_CD40p,489
mDC_CD40n,489
pDC_CD86n,489
pDC_CD40n,489
pDC,489
pDC_CD2n,489
mDC_CD86p,489
mDC_CD86n,489
CD14nCD16p_CD86,488
CD14nCD16p,488
CD14nCD16n_CD86,488
CD14pCD16n_CD86,488
CD14pCD16p_CD86,488
mo,488
CD14nCD16n,488
BDCA3_CD86n,486
BDCA3_CD2n,486
BDCA3_CD86p,486
BDCA3_CD2p,486
BDCA3_CD40n,486
BDCA3_CD40p,486
PB,485
CD19_CD27p,485
CD19pCD20n,485
CD3_DR,485
CD3_ICOS,485
CD4_ICOS,485
TFH_DR,485
TFH_ICOS,485
CD138,485
TH,485
CD19pCD20p,485
CD3p_CD56,485
CD3p,485
CD3p_CD56_CD27,485
CD19pCD20n_CD86p,485
CD3p_CD56_CD38,485
CD3p_CD38,485
TH_ICOS,485
TH_DR,485
CD3p_CD27,485
CD86,485
CD19pCD20p_CD86p,485
NK_CD38,485
CD8_ICOS,485
NK_CD27,485
CD16p_NK,485
CD4_DR,485
CD8_DR,485
PB_CD86,485
CD16n_NK,485
NK,485
CD8_CXCR5,485
TH17_ICOS,484
TH1_17_DR,484
TFH1_DR,484
TH17_DR,484
TH2_ICOS,484
TH2_DR,484
TH1_17_ICOS,484
TH1_ICOS,484
TH1_DR,484
TFH2_ICOS,484
TFH2_DR,484
TFH17_DR,484
TFH1_17_ICOS,484
TFH1_ICOS,484
TFH1_17_DR,484
CD8_CXCR3,484
TFH1_17,484
TH17,484
TH2,484
TH1_17,484
TH1,484
HLADR-CD38+CD8+ T cells,480
HLADR+CD38+CD8+ T cells,480
CD161+CD8+ T cells,480
CD161+CD45RA- Tregs,480
CD161-CD45RA+ Tregs,480
HLADR-CD38-CD4+ T cells,480
HLADR-CD38+CD4+ T cells,480
CD161-CD45RA- Tregs,480
HLADR+CD38+CD4+ T cells,480
HLADR+CD38-CD4+ T cells,480
HLADR+ NK cells,480
HLADR-CD38-CD8+ T cells,480
HLADR+CD38-CD8+ T cells,480
transitional B cells,480
memory B cells,480
CD138_CD86,480
naive B cells,480
CD161+CD45RA+ Tregs,480
IgD+CD27+ B cells,480
IgD+CD27- B cells,480
IgD-CD27+ B cells,480
IgD-CD27- B cells,480
plasmablasts,480
gamma-delta T cells,480
CD161+CD4+ T cells,480
CD85j+CD8+ T cells,479
CD28+CD8+ T cells,479
CD85j+CD4+ T cells,479
CD8_CCR6,477
CD1c_CD40p,451
CD1c_CD2p,451
CD1c_CD2n,451
CD1c_CD86p,451
CD1c_CD86n,451
CD1c_CD40n,451
Viable,435
Viable/Singlets,435
IFN-g Ki-67 negative,424
TNF-a Ki-67 negative,424
TNF-a Ki-67 positive,424
CD4 positive CD8 negative,424
CD45RA negative,424
IL-2,424
IFN-g,424
TNF-a,424
Ki-67,424
IFN-g Ki-67 positive,424
IL-2 Ki-67 negative,424
IL-2 Ki-67 positive,424
CXCR3+ CCR6+ CD45RO+ Memory CD8+ T cells,401
activated CCR4+ Treg,401
Treg,401
Tc2 CD8+ T cells,401
non-Tc1-Tc17 CD8+ T cells,401
CD45RO+ Memory CD8+ T cells,401
Tc17 CD8+ T cells,401
Tc1-Tc17 CD45RO+ Memory CD8+ T cells,401
CD127- CD27+ CD4+ T cells,401
CD127+ CD27+ CD4+ T cells,401
CD127+ CD27- CD4+ T cells,401
CD57+ CD4+ T cells,401
IgD+ Memory B cells,401
IgD- Memory B cells,401
CCR4+ Treg,401
Memory B cells,401
Naive B cells,401
Transitional B cells,401
CD127+ CD27- CD8+ T cells,401
CD127+ CD27+ CD8+ T cells,401
CD127- CD27+ CD8+ T cells,401
CD38- CD24+,401
CD19+ CD27-,401
CD19+ CD21- subset,401
CD24dim B cells,401
iNKT CD3+ T cells,401
iNKT CD4+ T cells,401
CD244+ CD4+ T cells,401
iNKT CD8+ T cells,401
CD45RO+ CCR4- Treg,401
memory CCR4+ Treg,401
naive CCR4+ Treg,401
CD45RO+ CD39- Treg,401
CD45RO+ CD39+ Treg,401
CD45RO- CD39+ Treg,401
CD244+ CD8+ T cells,401
CD45RO+ HLA-DR- Treg,401
CD45RO+ HLA-DR+ Treg,401
CD45RO- HLA-DR+ Treg,401
CD16+ NK cells,401
CD45RO+ FoxP3- Treg,401
CD244+ NK cells,401
CD45RO+ FoxP3+ Treg,401
CD45RO- FoxP3+ Treg,401
PD-1+ CD4+ T cells,401
PD-1+ CD8+ T cells,401
Th2 CD4+ T cells,401
CD27- CD28+ Effector CD4+ T cells,401
Activated CD8+ T cells,401
Effector Memory CD8+ T cells,401
CD27+ CD28- Naive CD4+ T cells,401
CD27+ CD28+ Naive CD4+ T cells,401
CD27- CD28+ Naive CD4+ T cells,401
CD27+ CD28- Effector Memory CD4+ T cells,401
CD27+ CD28+ Effector Memory CD4+ T cells,401
CD27- CD28+ Effector Memory CD4+ T cells,401
CD27+ CD28- Effector CD4+ T cells,401
CD27+ CD28+ Effector CD4+ T cells,401
CD27+ CD28- Central Memory CD4+ T cells,401
non-Th1-Th17 CD4+ T cells,401
CD27+ CD28+ Central Memory CD4+ T cells,401
CD27- CD28+ Central Memory CD4+ T cells,401
CD27+ CD28- CD4+ T cells,401
CD27+ CD28+ CD4+ T cells,401
CD27- CD28+ CD4+ T cells,401
Naive CD4+ T cells,401
Effector Memory CD4+ T cells,401
Effector CD4+ T cells,401
Central Memory CD4+ T cells,401
Activated CD4+ T cells,401
Central Memory CD8+ T cells,401
Effector CD8+ T cells,401
Naive CD8+ T cells,401
CD27- CD28+ CD8+ T cells,401
Th1 CD4+ T cells,401
CXCR3+ CCR6+ CD45RO+ Memory CD4+ T cells,401
Th17 CD4+ T cells,401
Tfh CD45RO+ Memory CD4+ T cells,401
Th1-Th17 CD45RO+ Memory CD4+ T cells,401
CXCR5+ PD1- CD45RO+ Memory CD4+ T cells,401
CD45RO+ Memory CD4+ T cells,401
CD27+ CD28- Naive CD8+ T cells,401
CD27+ CD28+ Naive CD8+ T cells,401
CD27- CD28+ Naive CD8+ T cells,401
CD27+ CD28- Effector CD8+ T cells,401
CD27+ CD28+ Effector CD8+ T cells,401
