Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg-, IL-17+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B-, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B-, IFNg+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg-",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg-, TNFa+",percentile,406,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B-, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg-, IL-17+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B-, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg-, IL-17+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B-, IFNg+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa-",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg-, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa+",cells/ul,396,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
CD3+,ul,331,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+",ul,331,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-",ul,331,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
granulocyte,ul,331,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin-, CD14-, CD16-, CD56-, HLA-DR+(?)",percentage,324,1,65,5,"0.0, 1.0, 14.0, 3.0, 7.0",984
"CD3-, CD56+",percentage,324,1,65,5,"0.0, 1.0, 14.0, 3.0, 7.0",984
"CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,324,1,18,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
CD3+ AND CD4+ AND small lymphocyte,cells/ml,301,1,44,62,"0.0, 14.0, 294.0, 42.0, 54.0, 68.0, 84.0, 13.0, 285.0, 39.0, 67.0, 81.0, 56.0, 70.0, 279.0, 69.0, 15.0, 43.0, 72.0, 89.0, 295.0, 57.0, 71.0, 85.0, 297.0, 302.0, 78.0, 41.0, 55.0, 83.0, 292.0, 46.0, 62.0, 74.0, 95.0, 63.0, 92.0, 309.0, 82.0, 18.0, 122.0, 59.0, 58.0, 80.0, 47.0, 305.0, 88.0, 91.0, 300.0, 16.0, 293.0, 45.0, 60.0, 90.0, 301.0, 65.0, 79.0, 86.0, 44.0, 35.0, 308.0, 315.0",167
CD3+ AND CD8+ AND small lymphocyte,cells/ml,301,1,44,62,"0.0, 14.0, 294.0, 42.0, 54.0, 68.0, 84.0, 13.0, 285.0, 39.0, 67.0, 81.0, 56.0, 70.0, 279.0, 69.0, 15.0, 43.0, 72.0, 89.0, 295.0, 57.0, 71.0, 85.0, 297.0, 302.0, 78.0, 41.0, 55.0, 83.0, 292.0, 46.0, 62.0, 74.0, 95.0, 63.0, 92.0, 309.0, 82.0, 18.0, 122.0, 59.0, 58.0, 80.0, 47.0, 305.0, 88.0, 91.0, 300.0, 16.0, 293.0, 45.0, 60.0, 90.0, 301.0, 65.0, 79.0, 86.0, 44.0, 35.0, 308.0, 315.0",167
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
SLAN+,ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD11b-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, SLAN-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD40+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CX3CR1+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRhi, CD16-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD11b-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRlo, CD16+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD11b+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRlo, CD16-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD86-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CXCR3+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CXCR5+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CCR6+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD20-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD24+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRhi CD16+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, CD138+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20-, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14lo, HLA-DR+, CD16+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14lo, HLA-DR+, CD16-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
CD16+ granulocyte,ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CX3CR1-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
CD16- granulocyte,ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CX3CR1+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CX3CR1-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, SLAN+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, SLAN+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, SLAN-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD11b+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20+, CD86+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,269,5,72,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
CD45+CD3+CD4+ CD8-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-CD21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-CD23+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-CD80+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-IgA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-IgG+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgG+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgM+IgD+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgM-IgD-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD27highCD38++,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD27highCD38++CD21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+ CD8+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8- CD161+IL17a+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+IgG+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8- CD161+IL22+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8- CD161-IL17a+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8- CD161-IL21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8- CD161-IL22+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD103+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+IFNa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD127+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD161+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD161-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
