mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__criterion,param_classify__max_features,param_classify__n_estimators,param_classify__n_jobs,param_classify__random_state,param_impute,param_select,param_transform,param_select__k,param_transform__n_components,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,split5_test_f1_weighted_scorer,split6_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,split5_test_roc_auc_scorer,split6_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,split5_test_accuracy_scorer,split6_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.4873603071485247,0.07593991075924394,0.08083180018833705,0.019096625643845663,,gini,,100,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,30.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': None, 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': None}",0.509717868338558,0.42233632862644416,0.6,0.5655555555555555,0.7314285714285714,0.6694846008799498,0.6062937062937063,0.5864023758746836,0.09392138459484534,1,0.5426065162907269,0.2577777777777778,0.5015673981191222,0.5739348370927319,0.7116666666666667,0.80306905370844,0.5597826086956521,0.5643435511930168,0.15910584005469086,24,0.6,0.5,0.6,0.575,0.7428571428571429,0.675,0.6,0.613265306122449,0.07114008799509615,1
0.4866862637656076,0.037718541015102906,0.0742013795035226,0.00647142602612232,,gini,,100,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,50.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': None, 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': None}",0.509717868338558,0.42233632862644416,0.629862700228833,0.5655555555555555,0.6233766233766235,0.6694846008799498,0.631873015873016,0.5788866704112829,0.08023492351289048,2,0.5789473684210527,0.3511111111111111,0.5407523510971787,0.5927318295739348,0.6233333333333334,0.7710997442455242,0.5452898550724637,0.571895084693514,0.1154095598560844,9,0.6,0.5,0.625,0.575,0.6571428571428571,0.675,0.6285714285714286,0.6086734693877551,0.05402384282428184,2
0.7142093522208077,0.032944507224412986,0.18943721907479422,0.022302328079170913,,gini,sqrt,500,2,42,,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",10.0,2.0,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 500, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.5477272727272727,0.4570135746606335,0.6159544159544159,0.5361892583120205,0.5735345735345736,0.6233075435203095,0.6653061224489797,0.5741475373083151,0.06362166209349288,3,0.6290726817042607,0.528888888888889,0.5564263322884012,0.568922305764411,0.5583333333333333,0.656010230179028,0.6177536231884058,0.5879153421923898,0.0429828437429585,1,0.55,0.4666666666666667,0.6,0.55,0.5714285714285714,0.625,0.6571428571428571,0.5743197278911565,0.057156521689816525,32
0.7261806896754673,0.1321254596988898,0.1530017512185233,0.020558434003687773,,gini,sqrt,300,2,42,,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,50.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 300, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': None}",0.5520594965675057,0.4444444444444444,0.6573339085418464,0.5144444444444444,0.6717460317460318,0.65,0.5265409107293043,0.573795605210511,0.08048051371291416,4,0.6578947368421053,0.34444444444444444,0.5031347962382444,0.5651629072681704,0.6483333333333333,0.6879795396419437,0.5344202898550724,0.5630528639461877,0.10959568950758286,28,0.625,0.5333333333333333,0.675,0.525,0.6857142857142857,0.65,0.5142857142857142,0.6011904761904763,0.06918236910054079,4
0.22660837854657853,0.0155881299709259,0.05921595437186105,0.009370751885013141,,gini,sqrt,100,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,50.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': None}",0.5520594965675057,0.4444444444444444,0.6383333333333334,0.5361892583120205,0.6120634920634921,0.623358348968105,0.6062937062937063,0.573248868568944,0.06297217951385327,5,0.6666666666666666,0.3688888888888889,0.4467084639498433,0.575187969924812,0.6466666666666667,0.6930946291560103,0.5398550724637681,0.5624383368166651,0.11119890303971317,29,0.625,0.5333333333333333,0.65,0.55,0.6285714285714286,0.625,0.6,0.6017006802721089,0.04051547284916698,3
1.0643040452684676,0.03003357937675302,0.22620694977896555,0.011731511646465713,,gini,sqrt,300,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,50.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 300, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 50, 'transform': None}",0.6081196581196581,0.4505494505494506,0.6573339085418464,0.5144444444444444,0.6717460317460318,0.5731394621638524,0.5265409107293043,0.5716962666135126,0.07432153680316744,6,0.6365914786967419,0.38,0.5031347962382444,0.5651629072681704,0.6483333333333333,0.6317135549872123,0.5344202898550724,0.5570509086255392,0.08869338432206844,32,0.65,0.5,0.675,0.525,0.6857142857142857,0.575,0.5142857142857142,0.5892857142857143,0.07393559564382368,11
1.6450862884521484,0.35220761265054873,0.2832507405962263,0.0726617345612375,,gini,,500,2,42,,SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,30.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': None, 'classify__n_estimators': 500, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': None}",0.5916666666666667,0.4258373205741627,0.580511060259344,0.5361892583120205,0.6120634920634921,0.6694846008799498,0.5802879291251385,0.5708629039829678,0.06997256979341825,7,0.5288220551378446,0.3466666666666667,0.48275862068965514,0.5551378446115288,0.6966666666666667,0.710997442455243,0.5217391304347826,0.5489697752374839,0.11622839899293873,57,0.65,0.4666666666666667,0.575,0.55,0.6285714285714286,0.675,0.5714285714285714,0.588095238095238,0.06510252063030914,13
1.0671136379241943,0.05697919377295291,0.17674074854169572,0.017359325676326504,,gini,,300,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),,30.0,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': None, 'classify__n_estimators': 300, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': None}",0.5916666666666667,0.42233632862644416,0.6,0.5361892583120205,0.6463536463536463,0.6411616161616162,0.5537414965986395,0.5702070018170048,0.07118894823162054,8,0.49749373433583954,0.3088888888888889,0.4545454545454545,0.5614035087719298,0.6866666666666666,0.7365728900255754,0.532608695652174,0.5397399769837897,0.13265739337891375,85,0.65,0.5,0.6,0.55,0.6571428571428571,0.65,0.5428571428571428,0.5928571428571427,0.058154313668469425,8
0.7496657712118966,0.04753825826344838,0.20335994447980607,0.019223221132801924,,gini,sqrt,500,2,42,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>),"PCA(random_state=42, svd_solver='full')",30.0,5.0,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 500, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7272ba3df420>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.5465517241379311,0.4949494949494949,0.5889090909090908,0.48465473145780047,0.67921742340347,0.6186360779384035,0.5752380952380952,0.5697366625763266,0.0634086907049856,9,0.6152882205513784,0.4444444444444445,0.4278996865203762,0.5664160401002506,0.7216666666666666,0.6598465473145779,0.6286231884057971,0.5805978277147845,0.10123962007197795,4,0.575,0.5,0.575,0.5,0.6857142857142857,0.625,0.5714285714285714,0.5760204081632653,0.060960314413240194,30
0.14556029864719935,0.00919077954281857,0.05880686214991978,0.008200644881782935,,gini,sqrt,100,2,42,,,,,,"{'balance': None, 'classify__criterion': 'gini', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.5916666666666667,0.46648426812585503,0.7207828894269572,0.5877237851662404,0.5284715284715285,0.5386363636363637,0.5537414965986395,0.5696438568703216,0.07290532627537989,10,0.6829573934837092,0.37555555555555553,0.5094043887147335,0.5463659147869675,0.5983333333333334,0.6240409207161125,0.5579710144927537,0.5563755030118808,0.09052775404224761,33,0.65,0.5666666666666667,0.725,0.6,0.5428571428571428,0.55,0.5428571428571428,0.5967687074829932,0.06346386440520511,5
