Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
260223.JM1L2,14dpc,DPP15.TS,SPL,D1,15.11472064,12.54019787,23.86503067,0.6134969325,0.8990586327,2.014949053,2.661918697,4.028135247,10.22282551,61.53791912,7.247117724,1.144096182,7.708971151,0.7673164662,8.226185539,1.883727361,18.96515968,3.020876538,0.3767454721,65.14585926,36487,0.1063140982,0.9365765795,3.109487534,3.540605857,0.4447073431,2.770561386,0.6600000533,1.048752608,0.7831005881,55.38488433,4.083688707,0.1729713815,0.2888990096,8.287445314,33.9,1
260223.JM1L2,14dpc,DPP15.TS,SPL,D2,12.45455461,18.7985145,26.58894017,1.40879281,1.806357023,4.443525498,9.832521945,6.655889927,13.7779365,51.67760005,9.19155655,2.627770155,7.747898333,4.441624365,7.671621948,2.625694948,30.07614213,3.918902586,0.6677544114,73.88506164,34695,0.08661839447,0.2226326842,2.960242157,4.853673439,0.4883404618,3.612455257,0.7203372967,1.888983311,0.6281004118,76.3448356,3.68730878,0.2885248441,0.2044847217,2.999109252,35.1,1
260223.JM1L2,14dpc,DPP15.TS,SPL,D3,13.73827966,12.55875482,25.54908113,6.925145675,1.115985034,5.357373242,12.86285641,4.160753451,13.40794736,71.67139724,8.166688169,2.525480583,10.54830819,8.758664146,3.285024155,2.621298047,30.0063012,2.923755514,0.609115732,75.05145978,29097,0.1413530903,0.4954004857,7.054804233,10.17653627,0.7116396958,1.722380758,0.9039507967,0.2410535458,1.266860455,79.84920719,3.123291351,0.3107943481,0.09304645608,3.229767192,39.2,1
260223.JM1L2,14dpc,DPP15.TS,SPL,D4,14.18078103,18.55320817,22.65318442,1.479022034,1.038366166,3.926160628,15.49283648,5.076456812,15.04683841,53.65580658,10.10297562,2.37463838,7.812713669,7.123210602,6.294930299,1.425267238,29.31174595,5.897980871,0.3406888792,70.0943927,31331,0.06935083709,0.2124479869,2.39577839,2.895397449,0.2910781613,2.231436441,0.8414893825,0.732335072,0.9101076403,79.08374728,3.438373176,0.2798044086,0.2778640174,2.510866191,34.3,1
260223.JM1L2,14dpc,DPP15.TS,SPL,D5,15.14242683,6.148170091,24.00350416,6.920718353,1.382700434,5.447437261,6.761146405,2.480811798,16.74476097,64.78857044,10.32569638,2.73377986,13.84569847,3.131287726,2.09695674,3.121856137,27.67542757,3.690895372,0.4684356137,69.22472334,44046,0.2559504118,0.3020911323,10.93012728,22.97459649,0.8758031097,1.818640851,0.9428377414,0.2629150488,1.336339735,78.1286776,3.786816269,0.2611597427,0.2514871596,5.018458513,37.1,1
260223.JM1L2,14dpc,DPP15.TS.1mo,SPL,J1,15.31595308,16.63538963,22.29778382,1.52812225,1.141924959,2.69487893,10.7923104,6.533282155,13.07456098,60.13818252,8.522854493,2.043949717,7.25502828,4.078600851,5.327841178,0.4456749274,27.06462286,4.321696266,0.2937402931,69.9844689,58838,0.1001859196,0.2165387602,3.055793024,1.965505669,0.4796186566,2.101699731,0.7929139895,0.7534765004,0.8563569068,75.71357252,2.273290119,0.1827909226,0.0837300355,2.376675092,33.2,1
260223.JM1L2,14dpc,DPP15.TS.1mo,SPL,J2,9.968765344,18.94181164,21.80136813,0.278692678,1.462777794,1.234311486,1.712013767,3.308310833,10.159333,50.25962081,7.779722873,0.7862801531,3.774483415,0.8776741635,9.615233916,0.2586004232,17.05979155,4.795862393,0.2586004232,50.09011833,58981,0.08341072981,1.229864591,2.439320173,1.127819549,0.3842217661,2.154777187,0.4389415711,0.8207970753,0.5965937661,27.71238924,3.741737652,0.1167266512,0.147761118,13.65423898,13.5,1
260223.JM1L2,14dpc,DPP15.TS.1mo,SPL,J3,14.17362424,10.50794764,23.43727339,2.306018854,1.55706392,2.503581418,10.90285831,5.10437274,14.39047684,53.9156832,9.862541783,1.712258681,10.57293001,3.438500229,5.699588477,0.422953818,26.63237311,3.740283493,0.5235482396,67.67261088,38741,0.1068412223,0.212957278,4.588854672,3.388220393,0.5122093895,2.814855281,0.8032429453,1.264448946,0.8656072787,77.92395049,3.26603202,0.307073494,0.3648315667,1.877345123,34.5,1
260223.JM1L2,14dpc,DPP15.TS.1mo,SPL,J4,14.40333609,16.31524416,27.3814433,2.15257732,1.879166532,3.452384786,15.75633635,3.732568999,16.07677692,55.71157129,10.36359538,1.979002287,8.284086798,4.963883756,5.084271236,3.698415365,28.10067753,4.807100062,0.3023685537,72.02530937,27101,0.07398576876,0.2551233405,4.65275394,3.863958958,0.2595300164,3.070061508,0.5281053149,1.524477925,0.5081593083,81.16032639,4.471055964,0.2464771798,0.1879638981,1.398307123,33.4,1
260223.JM1L2,14dpc,DPP15.TS.1mo,SPL,J5,13.15589891,19.86849833,24.60706561,1.031002163,1.525350902,3.312088227,7.710899456,6.935691779,13.11049842,55.07734174,9.05005729,2.357848754,6.426502108,2.752428074,8.660436137,1.938794209,26.13157412,2.792743266,1.183800623,72.75426058,40677,0.07113079115,0.31325812,2.674941706,1.882139577,0.4084132181,2.429516923,0.4390324328,1.263160374,0.508514497,72.5198993,3.058914993,0.1838255329,0.1903647811,5.069007233,26.5,1
260223.JM1L2,14dpc,Naive,SPL,N1,15.51996859,18.13569474,24.31679834,1.249838104,1.407316898,1.88169338,8.721339754,6.220081938,8.353338604,63.70732409,5.790268095,1.539567311,6.705277883,2.878056896,9.196473133,1.107968724,13.49525869,3.879554151,0.01996340043,63.34386957,20288,0.07496168253,0.2422868668,2.656454625,1.820944205,0.2233233459,1.748659725,0.4926053424,0.7304302042,0.5720290298,73.3742529,2.526993603,0.1282239926,0.1170131517,3.479915078,31.5,NA
260223.JM1L2,14dpc,Naive,SPL,N2,14.7748843,18.4940284,24.16851441,1.600609756,1.407695824,2.129671958,9.042041711,5.700143449,9.589041096,66.52426817,6.641234611,1.637845421,6.628749502,3.373036787,7.613927831,1.472190014,14.68325076,4.258458944,0.04216295984,65.46502231,24070,0.06614542211,0.2489769586,2.567327422,1.986924634,0.2280153811,2.092198334,0.5210116523,0.9630680296,0.6001998337,75.6118811,2.493456499,0.1501906546,0.1840929141,3.597284903,31,NA
260223.JM1L2,14dpc,Naive,SPL,N3,16.23537801,19.99072566,26.2291372,1.097595474,1.423996826,1.765472682,7.835524824,4.167138971,9.194343686,66.0465314,6.133813194,1.312060757,7.418134137,3.336744503,8.707786771,0.9427233541,16.3612119,3.234409402,0.02480850932,69.82354948,26921,0.07522342738,0.3031941202,2.622928193,1.972142027,0.1890937532,1.869083631,0.4149940764,0.900380718,0.4437492092,76.48135438,3.369075614,0.1770236769,0.250908559,2.072527201,29.2,NA
260223.JM1L2,14dpc,Naive,SPL,N4,16.43286807,15.78037645,21.37029763,1.276627889,0.9488150449,1.866428399,8.608830078,4.945467954,9.723581387,68.74441561,6.623267952,1.462224681,7.02700939,4.076150045,7.349673311,0.4676461809,16.71918013,3.999867334,0.0165831979,63.24500017,27281,0.08926220014,0.2878298098,2.992730841,2.407515737,0.2670874187,3.205981267,0.4908255705,1.640280325,0.5253185355,75.74077021,3.275106628,0.2724404376,0.2906807518,2.737599497,32.4,NA
260223.JM1L2,14dpc,DPP15.TS,Lung,D1,45.38918261,3.156274057,41.46341463,0.325203252,1.66365952,0.8809170028,11.31394608,1.130333263,43.45945659,27.39068138,34.3265761,0.7562088729,21.08438813,3.684240589,14.46278631,8.825041412,18.47261096,27.39475638,0.1256640201,23.81333181,38563,0.1553599171,1.918514326,0.7442823937,1.922127347,0.009634723544,3.614225669,1.259740103,0.1083906399,1.936579432,46.15100382,27.15851706,0,4.520261116,25.24941495,20.2,1
260223.JM1L2,14dpc,DPP15.TS,Lung,D2,47.26595414,2.199615067,37.08333333,0,1.576280728,1.463689248,30.62488272,2.364421092,39.82923625,27.4066429,31.63820604,1.322949897,20.12949576,12.64595726,9.010795329,3.63516193,22.9125358,25.13769553,1.167658074,28.55254461,29888,0.2217393233,3.596611823,0.6430440374,0.9490443035,0,1.827132024,0.7095658344,0.00886957293,1.361479445,49.93834772,19.85203453,0,9.556103576,19.79038224,5.52,1
260223.JM1L2,14dpc,DPP15.TS,Lung,D4,37.76613281,9.400963775,35.13035793,0.2651347768,2.186997473,0.9464736963,9.643923731,1.860785665,31.85389387,32.12497128,25.41695382,0.8132322536,11.94843053,3.32558815,7.537031658,4.19692129,12.21318617,35.21638106,0.2613999419,14.56578565,29162,0.2012805608,3.029619476,2.472627579,5.323523798,0.003470354497,4.749180129,1.126130034,0.8207388385,1.608509309,54.03504855,23.4066302,0.01116196004,1.774751646,17.35684786,29.9,1
260223.JM1L2,14dpc,DPP15.TS,Lung,D5,46.31739263,2.083869308,30.24691358,0,2.669998685,1.64408786,29.31737472,3.459160858,36.57766671,21.24161515,30.47481257,1.512560831,21.09655803,12.56136298,7.76783136,1.905861969,22.3216864,30.86918856,0.4620271441,28.79006642,41540,0.2132196162,3.557721596,0.8224185196,1.108742004,0.006091989034,3.28358209,1.175753884,0.1096558026,1.967712458,55.2,22.22222222,0,1.6,17.33333333,8.89,1
260223.JM1L2,14dpc,DPP15.TS.1mo,Lung,J3,42.79102525,1.947782843,38.53427896,0,1.528332941,0.3150717141,19.26169763,0.01410768869,14.28638608,50.46790501,18.44815424,0.04702562897,8.316732066,7.839341882,15.99322526,2.346963465,2.201790467,7.33123639,1.040406484,7.524800387,35906,0.0342086729,3.509407385,0.5493510414,1.144984405,0.01609819901,2.956031794,0.8833886709,0.06640507093,1.539390281,48.98286938,32.60171306,0,2.194860814,21.98429693,14.3,1
260223.JM1L2,14dpc,DPP15.TS.1mo,Lung,J4,21.46688041,4.478399472,33.08787432,0.58910162,1.90375219,1.804646446,4.206232138,0.05531483359,14.54549645,58.05061307,15.19775053,0.543929197,9.178887372,1.433807676,9.201164295,9.675506684,8.187796464,13.5403191,0.2479517033,21.75506684,33760,0.02869639217,1.148845218,3.647905163,5.575511093,0.002968592294,4.431118763,0.3923489481,1.802925053,0.5373152051,60.77842801,14.0450005,0,1.273837151,15.10947432,41.8,1
260223.JM1L2,14dpc,DPP15.TS.1mo,Lung,J5,43.20176368,2.374796514,43.14516129,0,2.149165849,1.138370952,29.22473013,1.6781158,44.05299313,31.37389598,36.09421001,1.069676153,27.37100945,22.39776952,32.09417596,7.496902107,15.08674102,32.12515489,2.214993804,19.23791822,39011,0.105990588,1.543222962,0.4621189638,0.1483868233,0,2.352991054,0.9115190571,0.06359435282,1.513545597,54.89214176,26.34822804,0,2.003081664,12.28813559,10.1,1
