Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
BALB/c,4.50E+06,Intramuscular ,Lung,1,84.21,15.79,,,,,,,,,,,3.4,,,20.0,,,,,,,,,,,5.14,,,2.5,,5.88,,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Lung,2,78.46,20.92,,,,,,,,,,,11.44,,,1.39,,,,,,,,,,,1.98,,,2.16,,2.17,,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Lung,3,83.05,16.95,,,,,,,,,,,2.0,,,11.76,,,,,,,,,,,0.35,,,0.24,,20.59,,,,,Yes
BALB/c,PBS,Intranasal,Lung,1,82.1,17.01,,,,,,,,,,,6.65,,,0.0,,,,,,,,,,,0.03,,,2.44,,1.52,,,,,no
BALB/c,PBS,Intranasal,Lung,2,73.2,26.32,,,,,,,,,,,1.62,,,0.0,,,,,,,,,,,0.08,,,5.08,,3.12,,,,,no
BALB/c,PBS,Intranasal,Lung,3,82.2,17.28,,,,,,,,,,,3.18,,,1.41,,,,,,,,,,,0.04,,,2.28,,1.39,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,1,81.8,18.22,,,,,,,,,,,3.68,,,0.0,,,,,,,,,,,0.03,,,1.6,,4.97,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,2,74.3,24.78,,,,,,,,,,,1.53,,,3.85,,,,,,,,,,,0.04,,,3.96,,2.54,,,,,no
BALB/c,4.50E+02,Intranasal,Lung,3,82.4,17.56,,,,,,,,,,,4.47,,,0.0,,,,,,,,,,,0.06,,,4.97,,2.06,,,,,no
BALB/c,4.50E+04,Intranasal,Lung,1,85.4,14.58,,,,,,,,,,,1.03,,,0.0,,,,,,,,,,,0.03,,,2.68,,1.34,,,,,maybe
BALB/c,4.50E+04,Intranasal,Lung,2,75.9,23.15,,,,,,,,,,,4.0,,,8.89,,,,,,,,,,,0.04,,,4.54,,0.89,,,,,maybe
BALB/c,4.50E+04,Intranasal,Lung,3,88.3,11.67,,,,,,,,,,,6.16,,,11.5,,,,,,,,,,,0.03,,,4.36,,2.83,,,,,maybe
BALB/c,4.50E+06,Intranasal,Lung,1,84.5,15.13,,,,,,,,,,,11.9,,,21.27,,,,,,,,,,,0.01,,,1.37,,1.57,,,,,Yes
BALB/c,4.50E+06,Intranasal,Lung,2,84.5,15.2,,,,,,,,,,,11.24,,,22.66,,,,,,,,,,,0.01,,,1.35,,1.53,,,,,Yes
BALB/c,4.50E+06,Intranasal,Lung,3,87.7,11.79,,,,,,,,,,,11.83,,,0.34,,,,,,,,,,,0.01,,,1.22,,0.73,,,,,Yes
C57BL/6,PBS,Intramuscular ,Spleen,1,86.89,11.07,,,,,,,,,,,11.01,,,1.2,,,,,,,,0.03,0.46,0.22,65.75,,,0.39,,0.63,0.02,,,,no
C57BL/6,PBS,Intramuscular ,Spleen,2,87.76,10.45,,,,,,,,,,,10.68,,,1.3,,,,,,,,0.032,0.42,0.23,56.55,,,0.32,,0.56,0.05,,,,no
C57BL/6,PBS,Intramuscular ,Spleen,3,87.54,10.78,,,,,,,,,,,12.92,,,1.14,,,,,,,,0.039,0.53,0.33,63.97,,,0.45,,0.78,0.05,,,,no
C57BL/6,4.50E+02,Intramuscular ,Spleen,1,86.68,12.29,,,,,,,,,,,9.82,,,0.8,,,,,,,,0.027,0.56,0.2,56.11,,,0.49,,0.88,0.06,,,,no
C57BL/6,4.50E+02,Intramuscular ,Spleen,2,84.49,13.69,,,,,,,,,,,10.33,,,1.16,,,,,,,,0.023,0.29,0.12,61.09,,,0.32,,0.69,0.04,,,,no
C57BL/6,4.50E+02,Intramuscular ,Spleen,3,87.0,11.77,,,,,,,,,,,11.56,,,2.13,,,,,,,,0.029,0.29,0.11,58.69,,,0.37,,0.75,0.03,,,,no
C57BL/6,4.50E+04,Intramuscular ,Spleen,1,86.79,12.02,,,,,,,,,,,11.64,,,1.5,,,,,,,,0.02,0.31,0.16,43.5,,,0.44,,1.29,0.14,,,,no
C57BL/6,4.50E+04,Intramuscular ,Spleen,2,86.85,12.38,,,,,,,,,,,12.9,,,1.71,,,,,,,,0.02,0.31,0.19,49.46,,,0.5,,1.45,0.15,,,,no
C57BL/6,4.50E+04,Intramuscular ,Spleen,3,86.4,12.77,,,,,,,,,,,11.66,,,3.04,,,,,,,,0.046,0.3,0.19,55.62,,,0.65,,1.14,0.08,,,,no
C57BL/6,4.50E+06,Intramuscular ,Spleen,1,87.86,10.83,,,,,,,,,,,12.13,,,7.34,,,,,,,,0.039,0.45,0.38,49.13,,,0.78,,1.35,0.1,,,,Yes
C57BL/6,4.50E+06,Intramuscular ,Spleen,2,86.63,11.71,,,,,,,,,,,12.74,,,4.94,,,,,,,,0.044,0.43,0.53,57.97,,,0.64,,1.02,0.09,,,,Yes
C57BL/6,4.50E+06,Intramuscular ,Spleen,3,84.81,13.58,,,,,,,,,,,10.41,,,7.3,,,,,,,,0.028,0.14,0.22,57.08,,,0.42,,0.88,0.07,,,,Yes
C57BL/6,PBS,Intranasal,Spleen,1,84.93,13.94,,,,,,,,,,,10.38,,,0.55,,,,,,,,0.035,0.36,0.27,55.28,,,0.57,,1.02,0.09,,,,no
C57BL/6,PBS,Intranasal,Spleen,2,86.97,12.27,,,,,,,,,,,11.81,,,0.32,,,,,,,,0.05,0.35,0.21,57.13,,,0.6,,1.18,0.05,,,,no
C57BL/6,PBS,Intranasal,Spleen,3,86.29,12.64,,,,,,,,,,,11.29,,,0.39,,,,,,,,0.034,0.33,0.19,55.07,,,0.59,,1.04,0.06,,,,no
C57BL/6,4.50E+02,Intranasal,Spleen,1,84.72,14.16,,,,,,,,,,,11.07,,,0.41,,,,,,,,0.036,0.26,0.1,50.64,,,0.47,,1.27,0.09,,,,no
C57BL/6,4.50E+02,Intranasal,Spleen,2,85.9,13.18,,,,,,,,,,,11.92,,,0.33,,,,,,,,0.028,0.18,0.17,57.6,,,0.55,,1.05,0.08,,,,no
C57BL/6,4.50E+02,Intranasal,Spleen,3,86.12,12.48,,,,,,,,,,,12.21,,,0.68,,,,,,,,0.023,0.32,0.2,59.41,,,0.55,,0.92,0.09,,,,no
C57BL/6,4.50E+04,Intranasal,Spleen,1,86.0,12.9,,,,,,,,,,,13.33,,,0.9,,,,,,,,0.036,0.24,0.15,54.38,,,0.36,,0.87,0.08,,,,Maybe
C57BL/6,4.50E+04,Intranasal,Spleen,2,85.02,14.07,,,,,,,,,,,10.59,,,0.67,,,,,,,,0.03,0.29,0.25,54.72,,,0.53,,1.34,0.05,,,,Maybe
C57BL/6,4.50E+04,Intranasal,Spleen,3,85.73,13.51,,,,,,,,,,,10.5,,,0.13,,,,,,,,0.028,0.39,0.29,47.72,,,0.6,,1.23,0.08,,,,Maybe
C57BL/6,4.50E+06,Intranasal,Spleen,1,85.47,13.6,,,,,,,,,,,11.95,,,1.61,,,,,,,,0.038,0.53,0.14,53.65,,,0.46,,1.35,0.09,,,,Yes
C57BL/6,4.50E+06,Intranasal,Spleen,2,85.32,13.82,,,,,,,,,,,10.33,,,0.74,,,,,,,,0.035,0.33,0.2,51.72,,,0.63,,1.4,0.14,,,,Yes
