mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__C,param_classify__max_iter,param_classify__n_jobs,param_classify__penalty,param_classify__random_state,param_classify__solver,param_impute,param_select,param_transform,param_select__k,param_transform__n_components,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,split5_test_f1_weighted_scorer,split6_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,split5_test_roc_auc_scorer,split6_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,split5_test_accuracy_scorer,split6_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
1.7810237407684326,1.0208852247925067,0.012833901814052038,0.004487512280413778,,1.0,1000,2,l2,42,lbfgs,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),"PCA(random_state=42, svd_solver='full')",10.0,10.0,"{'balance': None, 'classify__C': 1.0, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.6996662958843161,0.95,0.8747654784240151,0.8857142857142857,0.8727781435154707,0.8184922244759972,0.9716825396825397,0.8675855668138034,0.08336025157774103,1,0.7377777777777778,0.9623824451410659,0.9548872180451129,0.9566666666666667,0.9616368286445013,0.9053708439897699,1.0,0.925531682894985,0.08079622820996803,4,0.7,0.95,0.875,0.8857142857142857,0.875,0.825,0.9714285714285714,0.8688775510204082,0.08272231918167855,1
4.662516355514526,1.9032366261875036,0.020305156707763672,0.010193517093269272,,0.1,1000,2,l2,42,lbfgs,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),,30.0,,"{'balance': None, 'classify__C': 0.1, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 30, 'transform': None}",0.7285067873303167,0.9023809523809525,0.925046904315197,0.9138531779406466,0.8744358478401031,0.752909090909091,0.9437562437562438,0.8629841434960787,0.08004240280921411,2,0.7022222222222223,0.9811912225705329,0.9724310776942355,0.9533333333333333,0.948849104859335,0.8951406649616368,0.9927536231884059,0.9208458926899573,0.09393766441367099,15,0.7333333333333333,0.9,0.925,0.9142857142857143,0.875,0.775,0.9428571428571428,0.8664965986394559,0.07448513637462788,2
4.5145271846226285,1.2093816134136306,0.011331558227539062,0.004606064389753911,,0.1,1000,2,l2,42,lbfgs,,,,,,"{'balance': None, 'classify__C': 0.1, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': None, 'select': None, 'transform': None}",0.696969696969697,0.85,0.9,0.9428571428571428,0.9,0.8460000000000001,0.8884353741496599,0.8606088877109286,0.07343234118358877,3,0.6888888888888889,0.9404388714733543,0.9824561403508771,0.9633333333333334,0.9539641943734015,0.9309462915601022,0.9927536231884059,0.921825906166909,0.09721241862430063,10,0.7,0.85,0.9,0.9428571428571428,0.9,0.85,0.8857142857142857,0.8612244897959184,0.07222587089463833,3
4.437207801001413,1.3504901236729245,0.014883177621023995,0.0053358233202410975,,0.1,1000,2,l2,42,lbfgs,SimpleImputer(strategy='median'),,,,,"{'balance': None, 'classify__C': 0.1, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.696969696969697,0.85,0.9,0.9428571428571428,0.9,0.8460000000000001,0.8884353741496599,0.8606088877109286,0.07343234118358877,3,0.6888888888888889,0.9404388714733543,0.9824561403508771,0.9633333333333334,0.9539641943734015,0.9309462915601022,0.9927536231884059,0.921825906166909,0.09721241862430063,10,0.7,0.85,0.9,0.9428571428571428,0.9,0.85,0.8857142857142857,0.8612244897959184,0.07222587089463833,3
0.8463894299098423,0.48253743525662457,0.014655760356358119,0.0066186547319055,,0.1,1000,2,l2,42,lbfgs,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),"PCA(random_state=42, svd_solver='full')",10.0,10.0,"{'balance': None, 'classify__C': 0.1, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.696969696969697,0.95,0.95,0.8576155027767932,0.7946666666666666,0.8138714185883998,0.9437562437562438,0.8581256469654001,0.08957947147941406,5,0.7244444444444444,0.9811912225705329,0.9699248120300752,0.94,0.8925831202046036,0.9360613810741687,0.9963768115942029,0.9200831131311469,0.08595833719975714,16,0.7,0.95,0.95,0.8571428571428571,0.8,0.825,0.9428571428571428,0.8607142857142858,0.08741926721200186,6
3.148897477558681,1.5716888755651521,0.014170510428292411,0.006917729874344236,,0.1,1000,2,l2,42,lbfgs,,SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),,30.0,,"{'balance': None, 'classify__C': 0.1, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 30, 'transform': None}",0.696969696969697,0.9259725400457665,0.925046904315197,0.9138531779406466,0.8744358478401031,0.752909090909091,0.9160575858250277,0.8578921205493613,0.08689133413342152,6,0.7333333333333334,0.9780564263322884,0.9849624060150375,0.95,0.9386189258312021,0.8644501278772379,1.0,0.9213458884841571,0.0871410023709226,13,0.7,0.925,0.925,0.9142857142857143,0.875,0.775,0.9142857142857143,0.8612244897959184,0.0822742642665357,3
2.6876316411154613,1.6805235824474778,0.01420133454459054,0.0074909625018529215,,1.0,1000,2,l2,42,lbfgs,,SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),,10.0,,"{'balance': None, 'classify__C': 1.0, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 10, 'transform': None}",0.7333333333333333,0.9259725400457665,0.9497474747474748,0.8576155027767932,0.8727781435154707,0.6980000000000001,0.9437562437562438,0.8544576054535833,0.09385739783141461,7,0.7377777777777778,0.9686520376175548,0.9774436090225564,0.94,0.9616368286445013,0.8874680306905371,1.0,0.9247111833932753,0.08307338841345484,6,0.7333333333333333,0.925,0.95,0.8571428571428571,0.875,0.725,0.9428571428571428,0.8583333333333333,0.08756505286908138,7
0.6877071176256452,0.48559277553646685,0.015644618443080356,0.006358631606081613,,1.0,1000,2,l2,42,lbfgs,,SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>),"PCA(random_state=42, svd_solver='full')",10.0,10.0,"{'balance': None, 'classify__C': 1.0, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x751a8baab380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.6651785714285715,0.95,0.95,0.8857142857142857,0.8727781435154707,0.6642857142857143,0.9716825396825397,0.851377036375226,0.12261232591440736,8,0.7244444444444444,0.9623824451410659,0.9749373433583961,0.94,0.9411764705882353,0.887468030690537,0.9963768115942029,0.9181122208309832,0.08516505149392606,22,0.6666666666666666,0.95,0.95,0.8857142857142857,0.875,0.7,0.9714285714285714,0.8569727891156463,0.11490131216335017,8
4.7820143699646,0.742709912234525,0.017971549715314592,0.006484291128693904,,1.0,1000,2,l2,42,lbfgs,SimpleImputer(strategy='median'),,,,,"{'balance': None, 'classify__C': 1.0, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6651785714285715,0.8766209000762777,0.9248585795097423,0.8843537414965985,0.9,0.8460000000000001,0.8600959763750461,0.8510153955551766,0.07951848913762807,9,0.6888888888888889,0.9435736677115987,0.9899749373433584,0.9566666666666667,0.9437340153452685,0.9232736572890026,0.9818840579710145,0.9182851273165425,0.09605955832429652,19,0.6666666666666666,0.875,0.925,0.8857142857142857,0.9,0.85,0.8571428571428571,0.8513605442176869,0.07898886373531946,11
5.849682944161551,0.501658352033901,0.018556322370256697,0.0057169421110044895,,1.0,1000,2,l2,42,lbfgs,,,,,,"{'balance': None, 'classify__C': 1.0, 'classify__max_iter': 1000, 'classify__n_jobs': 2, 'classify__penalty': 'l2', 'classify__random_state': 42, 'classify__solver': 'lbfgs', 'impute': None, 'select': None, 'transform': None}",0.6651785714285715,0.8766209000762777,0.9248585795097423,0.8843537414965985,0.9,0.8460000000000001,0.8600959763750461,0.8510153955551766,0.07951848913762807,9,0.6888888888888889,0.9435736677115987,0.9899749373433584,0.9566666666666667,0.9437340153452685,0.9232736572890026,0.9818840579710145,0.9182851273165425,0.09605955832429652,19,0.6666666666666666,0.875,0.925,0.8857142857142857,0.9,0.85,0.8571428571428571,0.8513605442176869,0.07898886373531946,11
