Generic_Feature,144,167,180,296,301,314,364,369,372,376,387,522,645
CD2 Functional pDC Subsets,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",None,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+","Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent","Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+","Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+"
CD4+ Helper T cells,None,None,"CD45+/CD3+/CD4/non TFH,Freq. of,CD4","Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4","Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",None,None,None,None,None,None,None,None
CD4+ T cells (Other),"CD3+, CD4+",CD3+ AND CD4+ AND small lymphocyte,"ly/CD3+/CD4+,Freq. of,ly","Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3","Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",None,"CD3+, CD4+, CD8-","CD3+, CD4+, CD8-","CD3+, CD4+, CD8-","CD3+, CD4+, CD8-",Singlet/WBC/Lymph/CD3/CD4,None,"CD3+, CD4+, CD8-"
CD8+ Regularoty T cells (CD8+ Treg),None,None,"ly/CD3+/CD8+/CD25+,Freq. of,CD8+",None,None,None,None,None,None,None,None,None,None
CD8+ T cells (Other),"CD3+, CD8+",CD3+ AND CD8+ AND small lymphocyte,"ly/CD3+/CD8+,Freq. of,ly","Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3","Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",None,"CD3+, CD4-, CD8+","CD3+, CD4-, CD8+","CD3+, CD4-, CD8+","CD3+, CD4-, CD8+",Singlet/WBC/Lymph/CD3/CD8,None,"CD3+, CD4-, CD8+"
Central Memory CD4+ T cells (TCM),"CD3+, CD4+, CCR7+, CD45RA-",None,"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+",None,None,"Viable/Singlets/Lymphs/CD3+/CD4+/Q1: CD45RAD, CD27+",None,None,None,None,None,None,None
Central Memory CD8+ T cells (TCM),"CD3+, CD8+, CCR7+, CD45RA-",None,"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+",None,None,"Viable/Singlets/Lymphs/CD3+/CD8+/Q1: CD45RAD, CD27+",None,None,None,None,None,None,None
Classical Monocytes,"CD14+, HLA-DR+, CD16-",None,"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos",CD14pCD16n_pmo,CD14pCD16n_pmo,None,"CD14+, HLA-DR+, CD16-","CD14+, HLA-DR+, CD16-","CD14+, HLA-DR+, CD16-","CD14+, HLA-DR+, CD16-","Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-",None,"CD14+, HLA-DR+, CD16-"
Dendritic Cells (Pan-DC),"Lin1-, HLA-DR+",None,None,None,None,None,None,None,None,None,None,None,None
Double Negative (DN) / Atypical B cells,"CD19+, CD3-, CD14-, CD27-, IgD-",None,"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+",None,None,None,"CD19+, CD3-, CD14-, CD27-, IgD-","CD19+, CD3-, CD14-, CD27-, IgD-","CD19+, CD3-, CD14-, CD27-, IgD-","CD19+, CD3-, CD14-, CD27-, IgD-","Singlet/WBC/Lymph/CD19/CD27-, IgD-",None,"CD19+, CD3-, CD14-, CD27-, IgD-"
Effector Memory CD4+ (TEM),"CD3+, CD4+, CCR7-, CD45RA-",None,"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+",None,None,"Viable/Singlets/Lymphs/CD3+/CD4+/Q4: CD45RAD, CD27D",None,None,None,None,None,None,None
