Treatment,Tissue,Target,Mouse_pre,Mouse_peak,Block_ID,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,target
PBS,SPL,0.0,R1-2,A3,2,-0.9150928143323347,0.6930978574250752,1.6767505753490395,0.3188714732581793,0.9532319132833114,0.48616965116859595,-0.4739388595521042,-0.7852999497748546,1.2034266442477104,-0.2952423722574512,0.8002809320370508,-0.48475754479875127,-0.18082291658674102,-0.2874098976921818,-0.7007051474044164,-0.7782205390154835,-0.1307979023396915,-0.14431909872212162,0.3077674510018668,-0.2574311375254576,0.054007639357933575,0.2703013955839383,0.7342475906693247,-0.41903387012082316,1.0035053867092492,-0.18686244584825135,-0.598900355011207,-0.9865623119443652,-0.4420827887998465,-1.1723816178812334,-0.3530867049957969,0.7078608885175286,-0.4509914287591567,1.2353157571420645,-0.3526622326267035,-0.6819720975449416,1
PBS,SPL,0.0,R1-3,A2,0,-0.5252413269868205,0.559300293954707,-0.6014284119987696,0.019754136250705177,-0.29686985522420484,-0.4113481632988347,-0.5445722531968799,-0.3504444572715787,0.552492531262404,-0.1262055075596354,0.6010988159863447,-0.3062442719952106,-0.40639375915265347,-0.21418583219739235,-0.1986574026916682,0.5643785857750879,0.0013399608219198853,0.2579602842818246,0.2981795588436118,-0.6630153007940243,0.11107759759651185,0.22532506908498026,0.4190542101315368,-0.8450933481783441,-0.22667463690814169,-0.0017403561665237297,-0.7321644588541233,-0.605290226021719,-0.6321862316613801,-0.38827578305880867,-0.9188328206330305,0.5454429586619174,-0.020194623120229353,-0.16744077809565702,-0.3077489034621132,-0.7467135526041235,1
PBS,SPL,0.0,R1-4,A1,3,-0.6524307429551282,0.49131228664769816,-0.07916721835507361,-0.46180216869668206,-0.2911798050489153,-0.6310077418797669,-1.5113338473565876,-2.2184455533870167,-0.3661332795726044,-0.5942783250285409,0.027801064840256157,-1.4294296421537194,-0.12044882007284372,-1.762786423184853,-0.6266595676317491,-0.8452013205517354,-0.650012613420646,-0.591589087403655,-0.7055033428664824,-0.6163420663471149,0.039862905567610615,-0.10754672992810112,0.5552014121373817,-1.0185777541324612,0.15971825352377914,-0.5313039169817781,-0.6508861617913264,-0.6248389826429299,-0.45648478468404324,-1.4014756264640797,-1.6721033577724898,0.26958805241653844,-0.575870397869945,0.46669890551916704,0.3511084324462377,-0.677063315906063,1
PBS,SPL,0.0,R1-5,A5,1,2.2667229608513355,2.153304411747521,-3.750191984048532,-1.1563712331458145,-2.5843589429163756,-1.3910889167054796,-1.6970976282039318,-0.602038644290257,-1.0352651122010463,-0.4725584491178321,-0.12525307777164227,-0.8401479165544173,1.2644907102232568,-1.7364208030508193,0.8319753314154574,-2.813390569886278,-1.0817384752411388,-0.9358531210979714,-1.791731119221712,-0.7739347587450356,0.1260422363954853,-0.08617685147740292,0.7323439097610991,-1.502332550730144,-2.451459734253538,-1.4385915733828587,0.19875524354313195,1.1130123453480636,-0.06610828303728687,0.838266250022085,-0.997840347837417,-0.8142787359584563,-0.45421550544605444,0.05781976989324418,0.03656993643714532,-0.5321441883003468,1
DPP15.TS,SPL,1.0,R2-1,C1,3,-0.26311538748490715,0.07523354082574162,-0.10712407691212986,0.1936653982369335,-0.32934528022651116,-0.5179298522401204,-0.16512807204164506,0.19760228125956006,0.13300237126011824,-0.1295395651789209,0.6291498929013738,-0.11989317886086373,-0.18011517507157002,-0.12153709087276449,0.1118030677191525,0.6490943376467774,0.22016855044534106,0.5303158156961979,-0.44508520272472635,-0.5677000710917769,-0.077446803981554,-0.0036926180914543826,0.07899817618201987,-0.5038474490533575,-1.074955489404348,0.18164793468525844,-0.5669517746318945,-0.47431747289328025,-0.480434899650018,-0.9853915533946263,-0.1361177834823713,-0.19510793579001098,-0.21720445313119782,0.20913606083411257,-0.5852970141489916,-0.44581078524166323,0
DPP15.TS,SPL,1.0,R2-2,C2,0,0.2223151831001818,0.3505370086586171,-0.8663761868757623,-0.05798774838033209,-0.8511209334595901,-0.7166328600331264,-0.11457991413197299,0.3318306084783693,0.2836182143015595,-0.35762704263522727,0.8364725891614705,-0.07022393757669194,-0.16070727003948615,-0.2252563326985911,0.49890333273133836,0.9108370468029697,0.03648575479580056,0.36345999479216445,-0.3892112033870644,-0.4799797713346941,-0.015332116185931588,-0.20235769855081123,0.02601324471482971,-1.0452360747415512,-1.1905309139205678,0.4174545594088092,-0.7879681221604984,-0.5211994588183082,-0.72722109504528,-1.144113396367294,-0.1588491322117578,-0.031702972809686154,-0.277506222815968,-0.11670400865095984,-0.181204125920947,-0.5438227855537736,0
DPP15.TS,SPL,1.0,R2-3,C3,2,-0.4550213715602161,0.706414968719317,0.5704420370171459,0.06264688043105954,0.40743244908256815,-0.2187472520342152,0.35467634716753443,0.07675849072028708,0.9382966829662971,-0.2811285858816301,0.8497015831463535,-0.10181471567762633,-0.310091643743573,0.39053757679919227,0.7428058882966785,-1.2709227086487866,-0.025586201182370205,0.4028171592784389,-0.05022885734531553,-0.4017227247827035,0.0223676829644739,0.03482756555416264,-0.06175135018345053,-0.7339547654525616,-0.5123285766877446,0.3992417394141119,-0.6689061518928912,-0.24418037031811488,-0.5806745136508796,-0.06601687475517186,-0.18589149577010053,-0.005474821051046364,-0.09538718218113267,0.5102964316217318,-0.8468009499790492,-0.7583041187056762,0
DPP15.TS,SPL,1.0,R2-4,C4,4,0.36821130339541575,-0.2727891580004287,-0.42639208554006436,-0.08553480242876046,-0.5364952876675683,-0.8660295385523562,-0.49233231058103755,-0.03787871482380991,0.11266789019359486,-0.11534664836315796,0.4736944928911179,-0.2014941389757101,0.45350192651516025,-0.1971424902178812,-0.27012163419970847,-0.8354065532058668,0.14701477257039564,0.12766844665897115,0.5080678295009746,-0.5836756812466084,0.1330693991577991,0.2043087875866709,0.07527401603358742,0.07662577622377711,-0.4901615558171668,0.13706182180643994,0.055581654361816814,-0.19205222449084933,-0.17605958008902242,-0.15682352487151752,-0.034777993887911245,0.4533035914732768,-0.24480624980992635,0.16328386943529663,-0.6668500004649601,-0.567994700820053,0
DPP15.TS,SPL,1.0,R2-5,C5,1,0.3745022422008962,-0.1412736615676524,-0.6366611622138176,0.362054550952543,-0.5922564393369586,-0.8907515247405619,-0.5064029932682909,-0.048167491438886635,-0.5905184949880187,-0.034874157439004835,0.04798398347176204,-0.26476307087440853,0.031840394207667565,-0.48693635524715106,-0.3313206392148305,0.15409903967968352,-0.1233749944053737,-0.034766894220601356,-0.42510591465499037,-0.4547370397922672,0.036602447661962766,-0.021989495374270328,0.1170057907396016,-0.7280472072170047,-1.0422005100063003,-0.22852669877354215,-0.7476225705136763,-0.6963498878862412,-0.6211662601656882,-1.3559241585731172,0.11119257970961263,-0.5036410920955966,-0.28696900306586665,-0.046798780340250416,-0.4188079490066611,-0.602947279608,0
DPP15.IN,SPL,0.0,R3-1,E1,3,-0.32420647639405636,0.6292968787473002,0.07613914571072994,0.0850962322362038,-0.021005285124082188,0.12480077426692689,-1.036457410838545,-2.04325826159284,-0.20564967891932445,-0.7221050451588229,0.2090905354274636,-1.7105231645206525,-0.618899188598016,-0.630756510171846,0.5744327590944348,-1.5399570096326851,-0.9437660797531728,-0.8895443770183444,-0.18367132900661567,-0.5660004881039645,0.144690322586236,-0.21824598443619816,0.41037429094160394,-1.083248791946485,0.7262537379237255,0.35560110790141647,-0.7479821200796657,-0.5080406062877066,-0.580394285178757,-1.0595536114094506,-1.1166419924618274,0.015480488277453196,-0.10897250798965734,-0.42931738965855726,-0.09502100034674901,-1.030113758665968,0
DPP15.IN,SPL,0.0,R3-2,E2,0,-0.6043416093186923,0.4221029583460305,-0.7015595467111974,0.34015172487686074,-0.3711852855628281,0.5047496197848441,-0.44799318682498174,-0.8400454319964828,0.6585684340855232,-0.4238837584515196,0.4410558387134664,-0.8224000097370888,-0.09348297110744777,-0.06229774757852966,-0.5852387743772884,-0.218277400250246,-0.3109813423517318,-0.5664061346315753,0.18495500501283507,-0.29338856636066796,0.09002803705624228,0.1817729111714717,0.0705753864710647,-0.18876900509216551,0.4355557101870969,0.36385794210047906,-0.1501942751094658,-0.6277715623997419,-0.1268636974019136,-0.9770881651291765,-0.2821580830935003,0.49766370293599155,-0.3412719140242731,-0.318890246756037,-0.6243384237362437,-0.8080767280672402,0
DPP15.IN,SPL,0.0,R3-3,E3,2,0.05618931952963597,0.5728070705817395,0.0944954983063784,-0.19283422862523247,0.10635735236158012,-0.8218917800376176,-0.5096613480402892,-0.4399217118193523,0.13607407596831167,-0.32243658978068485,0.48399939803284847,-0.47503281509853756,0.3361189167931146,-0.3487052528118785,-0.32489009265784713,-0.020968908002609928,-0.1781835042617584,0.2320913906741876,-0.21157704058402804,-0.6197962493624685,0.10274276861797191,0.1858533840938488,0.5110859736496837,-1.2638562072245711,-0.5974745830971036,0.37959943585664646,-0.8953564029734099,-0.3649968678241574,-0.6811916944574,-0.33223861020433826,-0.964144511734327,-0.282275648376787,-0.013680698501429634,-0.040035731906570296,-0.2585877950664711,-1.2459171662783366,0
