B.plasma,cd4.treg,CD8.GrzmB,live.cd4tconv,Macro,B.memory,live.cd8,Mo0,DC,Neutro,NK,Target
-0.5648352624170052,1.2361131963973053,-1.1494521613808222,-1.2802012901518243,-0.3798194131298881,0.4234254405872136,-0.65802215777035,-0.8084531507452848,-1.271932242459874,0.9233531741202154,-1.1328856186016385,0
-0.14310962930038496,1.2575558688159971,-0.5789128054023127,-0.795119717331679,-0.18248203725787596,0.4161278764308155,-0.45626818103064926,-0.5801739217681986,-0.8159927363684764,0.34986144703701005,-0.9342159879969393,0
-0.4960262266324347,0.807440620103882,-0.8410575521353763,-0.913360096045549,-0.2070070101985454,0.6692811737416658,-0.18085038864008093,-0.5774685802833844,-1.0995453176688335,0.9818970302231899,-0.4340370142978122,0
-0.0885484596616763,1.0292053015240443,-0.6273548283739057,-0.21546004659820703,-0.09211330820861875,0.8279997711019993,0.1495673088599354,-0.5083037181907074,-1.2525895722293183,0.6071093473392237,-0.5470258513304241,0
-0.46587933299388434,0.6406066298828245,0.024254016319395152,-0.9520425126231469,-0.20039397115128116,0.4902647115135885,-0.6556979410754472,-0.9375140068947685,-0.7555589853469913,0.27305209905991634,-1.0795897525855354,0
-0.04415369987726406,0.6620493023015159,0.594793372297905,-0.4669609398030014,-0.00305659527926903,0.4829671473571904,-0.4539439643357465,-0.7092347779176824,-0.2996194792555931,-0.30043962802328883,-0.8809201219808361,0
-0.3970702972093138,0.21193405358940087,0.3326486255648413,-0.5852013185168717,-0.027581568219938436,0.7361204446680405,-0.1785261719451781,-0.7065294364328683,-0.5831720605559503,0.33159595516289064,-0.380741148281709,0
0.010407469761444568,0.4336987350095641,0.5463513493263118,0.11269873093047073,0.08731213376998818,0.8948390420283739,0.151891525554838,-0.6373645743401912,-0.7362163151164354,-0.04319172772107503,-0.4937299853143211,0
-0.6270146057755454,0.5881700348415216,-0.9126905625494811,-0.6125990861592698,-0.5864808000302437,0.1665264789766793,-0.10775681985776953,-0.6288700596978408,-1.3332614931549984,0.1023353791904297,-1.062883567133563,0
-0.205288972658925,0.6096127072602132,-0.3421512065709715,-0.12751751333912426,-0.3891434241582316,0.15922891482028104,0.09399715688193089,-0.40059083072075474,-0.8773219870636008,-0.4711563478927756,-0.8642139365288637,0
-0.5582055699909748,0.15949745854809808,-0.6042959533040354,-0.24575789205299442,-0.41366839709890096,0.4123822121311315,0.36941494927249935,-0.3978854892359406,-1.1608745683639579,0.16087923529340376,-0.36403496282973663,0
-0.15072780302021638,0.38126213996826147,-0.3905932295425645,0.45214215739434777,-0.29877469510897436,0.5711008094914647,0.6998326467725158,-0.32872062714326367,-1.3139188229244427,-0.21390844759056193,-0.47702379986234866,0
-0.018614050073970594,0.4887370550081088,0.10684373426921204,0.07845080510144249,0.3041159700798449,-0.14375236891844903,-0.041569625477772945,-0.5197270274615001,-0.3871319178941228,-0.9200408533714343,-0.5727640210297523,1
-0.2387999394029541,0.11589662876021345,0.3395754457201326,0.4932598827903208,-0.04951291073591772,0.48354603318186123,0.45438676422129687,-0.016982158295735236,-0.42626957840609564,-0.7694374428712771,-0.24129243060427183,1
-0.18633244447795588,0.031710612283041936,0.18432947388873525,0.42656722383375667,-0.09489547965187958,-0.4226627051830466,0.0006772750532488502,-0.632422351778491,-1.1102202904881606,-1.1134171916624453,-0.6286597538749473,1
-0.19109660907487314,0.7029507603383354,0.24401278354791126,0.36548474154555666,0.5508112054191323,-0.11572648251392752,-0.22872743604873477,-0.6510423092592169,-0.48546773173368957,-1.1453638534103292,-0.9362229745039579,1
-0.41128249840385667,0.33011033409044016,0.47674449499883215,0.780293819234435,0.19718232460336976,0.5115719195863825,0.26722895365033517,-0.14829744009345183,-0.5246053922456625,-0.9947604429101722,-0.6047513840784774,1
-0.35881500347885836,0.24592431761326872,0.32149852316743444,0.7136011602778709,0.15179975568740792,-0.39463681877852524,-0.18648053551771285,-0.7637376335762078,-1.2085561043277273,-1.3387401917013404,-0.992118707349153,1
-0.1230248781480612,0.8219116785459842,-1.367980929840255,-0.3865556319580571,0.4387084307609684,-0.14900562705489334,-0.337353146369379,-0.6466875027197795,0.0291412772171626,-0.5982045986125398,-0.764349648162438,1
-0.34321076747704476,0.4490712522980891,-1.1352492183893343,0.028253445730821742,0.08507954994520572,0.47829277504541673,0.15860324332969078,-0.14394263355401454,-0.009996383294810202,-0.44760118811238303,-0.4328780577369575,1
-0.29074327255204635,0.3648852358209173,-1.2904951902207318,-0.03843921322574282,0.0396969810292439,-0.4279159633194909,-0.29510624583835715,-0.7593828270367703,-0.693947095376875,-0.7915809369035511,-0.8202453810076332,1
