Population Definition Reported,count
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, HLA-DR+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD+, CD27+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD27+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD-, CD27+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD38+, CD24+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD+, CD27-",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD38-, CD24+",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD24dim",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD21-",401
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD27-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, 2B4+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, PD-1+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD57+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, iNKT+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127-, CD27+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127+, CD27+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127+, CD27-",401
"singlet, CD3+, viable[live/dead stain], iNKT+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127+, CD27+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD57+",401
"singlet, CD3-, viable[live/dead stain], CD56+, CD16+",401
"singlet, CD3-, viable[live/dead stain], CD56+, 2B4+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, iNKT+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, 2B4+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, PD-1+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127+, CD27-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127-, CD27+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, Ki67+, HLA-DR-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, EOMES+, T-bet-",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, Ki67+, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, Ki67-, HLA-DR+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, EOMES-, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, EOMES+, T-bet+",399
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, Ki67+, HLA-DR-",399
CD3+,371
"Lin1-, HLA-DR+, BDCA2+, CD11c-",371
"Lin1-, HLA-DR+, BDCA2-, CD11c+",371
granulocyte,371
Viable/Singlets/Lymphs/CD3+,348
Viable/Singlets/Lymphs,348
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD161-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD25hiCD127low/CD161-CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD25hiCD127low,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD25hiCD127low/CD161+CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD25hiCD127low/CD161+CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CCR7+CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CCR7+CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CCR7-CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CCR7-CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD161+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/TCRgd+,331
Intact cells/intact singlets/viable/singlets,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/HLADR-CD38-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/CD94+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/CD161-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/CD161+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/IgD-CD27+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CCR7+CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CCR7-CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/IgD+CD27-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CCR7-CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/IgD+CD27+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/CD24-CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/CD24+CD38-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/CD24+CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/HLADR-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/HLADR+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD16+CD56+/CD94-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD27+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD161-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD161+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD28+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD28-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD85j+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD85j-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD94+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD94-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/HLADR+CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/HLADR+CD38-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/HLADR-CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/HLADR-CD38-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD56+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/HLADR+CD38-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/HLADR-CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD25hiCD127low/CD161-CD45RA-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD27+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD4+/CD27-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CCR7+CD45RA+,331
Intact cells/intact singlets/viable singlets/CD14+CD33+,331
Intact cells/intact singlets/viable singlets/CD14+CD33+/CD16+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+,331
Intact cells/intact singlets/viable singlets/CD14+CD33+/CD16-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/HLADR+CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD94-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD94+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD85j-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD85j+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD28-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD28+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3+/CD8+/CD27-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD19+CD20+/IgD-CD27-,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD20-/CD27+CD38+,331
Intact cells/intact singlets/viable singlets/CD14-CD33-/CD3-/CD20-,331
"CD3-, CD56+",324
"CD45+/CD3+/CD4,Freq. of,CD45+",324
"Lin-, CD14-, CD16-, CD56-, HLA-DR+(?)",324
"CD19+, CD3-, CD14-, CD38+, CD20-",309
"CD19+, CD3-, CD14-, CD27+, IgD+",309
"CD19+, CD3-, CD14-, CD27-, IgD+",309
"CD19+, CD3-, CD14-, CD38+, CD24+",309
"CD14+, HLA-DR+, CD16-, CD11b-",309
"CD14+, HLA-DRlo, CD16+",309
"CD14+, HLA-DRhi CD16+",309
"CD14+, HLA-DRhi, CD16-",309
"CD14+, HLA-DR+, CD16+, CD11b+",309
"CD19+, CD3-, CD14-, CD27+, CD138+",309
"CD19+, CD3-, CD14-, CD27+",309
"CD14+, HLA-DR+, CD16+, CX3CR1-",309
"CD14+, HLA-DRlo, CD16-",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",309
"CD3+, CD4-, CD8+",309
"CD3+, CD4-, CD8+, CCR6+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",309
"CD14+, HLA-DR+, CD16+, SLAN-",309
"CD14+, HLA-DR+, CD16-, SLAN-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",309
"CD14+, HLA-DR+, CD16-, SLAN+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",309
"CD14+, HLA-DR+",309
"CD14+, HLA-DR+, CD40+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",309
"CD14lo, HLA-DR+, CD16+",309
SLAN+,309
CD16- granulocyte,309
"CD14+, HLA-DR+, CD16-, CD86+",309
"CD14+, HLA-DR+, CD16+, CD86+",309
"CD14+, HLA-DR+, CD16+, CD86-",309
"CD14+, HLA-DR+, CD16-, CD86-",309
"CD14+, HLA-DR+, CD16+, SLAN+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",309
"CD3+, CD4-, CD8+, CXCR3+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",309
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",309
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",309
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",309
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",309
"CD19+, CD3-, CD14-, CD20-",309
"CD14+, HLA-DR+, CD16-",309
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",309
"CD14+, HLA-DR+, CD16+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",309
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",309
"CD14lo, HLA-DR+, CD16-",309
"CD19+, CD3-, CD14-, CD20+",309
CD16+ granulocyte,309
"CD3+, ICOS+",309
"CD3+, CD4+, CD8-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",309
"CD3+, CD4+, CD8-, ICOS+",309
"CD19+, CD3-, CD14-, CD27-, IgD-",309
"CD19+, CD3-, CD14-, CD27+, IgD-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",309
"CD19+, CD3-, CD14-",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",309
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",309
"CD14+, HLA-DR+, CD16-, CX3CR1+",309
"CD14+, HLA-DR+, CD16-, CX3CR1-",309
"CD14+, HLA-DR+, CD16+, CD11b-",309
"CD14+, HLA-DR+, CD16-, CD11b+",309
"CD3+, CD4-, CD8+, CXCR5+",309
"CD14+, HLA-DR+, CD16+, CX3CR1+",309
"CD3+, CD4-, CD8+, ICOS+",309
CD3+ AND CD4+ AND small lymphocyte,301
CD3+ AND CD8+ AND small lymphocyte,301
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",269
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",269
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",269
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",269
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",269
"CD19+, CD3-, CD14-, CD86+",269
"CD19+, CD3-, CD14-, CD20+, CD86+",269
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",269
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",269
"CD19+, CD3-, CD14-, CD20-, CD86+",269
Viable/Singlets/Lymphs/CD3+/CD4+,261
Viable/Singlets/Lymphs/CD3+/CD8+,261
CD45+CD19+CD20+IgD+CD27-CD86+,245
CD45+CD19+CD20+IgD+CD27-CD80+,245
CD45+CD19+CD20+IgD+CD27-CD38+,245
CD45+CD19+CD20+IgD+CD27-CD21+,245
CD45+CD3+,245
CD45+CD14+TNFa+,245
CD45+CD3+CD8+CD4-CD45RA+,245
CD45+CD3+CD8+CD4-CD39+,245
CD45+CD3+CD8+CD4-CD38+,245
CD45+CD3+CD8+CD4-CD27+,245
CD45+CD3+CD8+CD4-CD25+,245
CD45+CD3+CD4- CD8+,245
CD45+CD3+CD4+CD8- CD161+IL17a+,245
CD45+CD3+CD4+CD8-CD161+,245
CD45+CD3+CD8+CD4-IL17a+,245
CD45+CD3+CD4- CD8-,245
CD45+CD3+CD4+CD8-HLA-DR+,245
CD45+CD3+CD4+CD8-CD127+,245
CD45+CD3+CD4+CD8-CD103+,245
CD45+CD3+CD4+CD8-CD45RA-CD27+CCR7-,245
CD45+CD3+CD4+CD8-CD45RA-CD27+CCR7+,245
CD45+CD3+CD4+CD8-CD45RA-,245
CD45+CD3+CD4+CD8-CD45RA+,245
CD45+CD3+CD4+CD8-CD39+,245
CD45+CD3+CD4+CD8-CD38+,245
CD45+CD3+CD4+CD8-CD25highFOXp3+,245
CD45+CD3+CD4+CD8-CD25+,245
CD45+CD3+CD8+CD4-CD69+,245
CD45+CD3+CD4+CD8-IL4+,245
CD45+CD3+CD4+CD8-IL2+,245
CD45+CD3+CD4+CD8-CD69+,245
CD45+CD3+CD4+CD8-CD40L+,245
CD45+CD3+CD4+CD8-IL23r+,245
CD45+CD3+CD4+CD8-IL22+,245
CD45+CD3+CD4+CD8-IL21+,245
CD45+CD3+CD4+CD8-IL17a+,245
CD45+CD3+CD4+CD8-CD196+,245
CD45+CD3+CD4+CD8- CD161-IL22+,245
CD45+CD3+CD4+CD8- CD161-IL21+,245
CD45+CD3+CD4+CD8- CD161-IL17a+,245
CD45+CD3+CD4+CD8-CD161-,245
CD45+CD3+CD8+CD4-IL23r+,245
CD45+CD3+CD4+CD8- CD161+IL22+,245
CD45+CD3+CD8+CD4-Perforin+,245
CD45+CD3+CD8+CD4-IL2+,245
CD45+CD3+CD8+CD4-IFNg+,245
CD45+CD14+CD86+,245
CD45+CD14+CD83+,245
CD45+CD14+CD40+,245
CD45+CD14+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-TNFa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-IFNa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+TNFa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+IFNa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+TNFa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+IFNa+,245
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+,245
CD45+CD3+CD4+ CD8-,245
CD45+CD3+CD4+ CD8+,245
CD45+CD3+CD8+CD4-HLA-DR+,245
CD45+CD3+CD8+CD4-CD127+,245
CD45+CD3+CD8+CD4-CD103+,245
CD45+CD3+CD8+CD4-CD45RA-CD27-CCR7-,245
CD45+CD3+CD8+CD4-CD45RA-CD27+CCR7+,245
CD45+CD3+CD8+CD4-CD45RA-,245
CD45+CD3+CD8+CD4-CD45RA+CD27-,245
CD45+CD3+CD8+CD4-CD45RA+CD27+,245
CD45+CD19+CD20+CD86+,245
CD45+CD19+CD20+IgA+,245
CD45+CD19+CD20+IgD+CD27-IgG+,245
CD45+CD19+CD20+IgD+CD27-IgA+,245
CD45+CD19+CD27highCD38++CD21+,245
CD45+CD19+CD20+CD80+,245
CD45+CD19+CD27highCD38++,245
CD45+CD19+,245
CD45+CD19+CD20+IgD-CD27-,245
CD45+CD19+CD20+IgD-CD27-CD21+,245
CD45+CD19+CD20+IgD-CD27-IgG+,245
CD45+CD19+CD20+CD27-CD10+,245
CD45+CD19+CD20+CD27-CD10+CD21+,245
CD45+CD19+CD20+CD27-CD10+CD38+,245
CD45+CD19+CD20+IgD-CD27-CD23+,245
CD45+CD19+CD20+IgD-CD27-CD80+,245
CD45+CD19+CD20+IgD-CD27-CD86+,245
CD45+CD19+CD20+IgD-CD27-IgA+,245
CD45+CD19+CD20+IgD-CD27+,245
CD45+CD19+CD20+IgM-IgD-,245
CD45+CD19+CD20+IgM+IgD+,245
CD45+CD19+CD20+IgG+,245
CD45+CD19+CD20+IgD-CD27+CD23+,245
CD45+CD19+CD20+IgD-CD27+CD38+,245
CD45+CD19+CD20+IgD-CD27+CD80+,245
CD45+CD19+CD20+IgD-CD27+CD86+,245
CD45+CD19+CD20+IgD+CD27+CD23+,245
CD45+CD19+CD20+IgD+CD27+,245
CD45+CD19+CD20+IgD-CD27+IgG+,245
CD45+CD19+CD20+IgD-CD27+IgA+,245
CD45+CD19+CD20+IgD+CD27-,245
CD45+CD19+CD20+IgD+CD27+CD86+,245
CD45+CD19+CD20+IgD+CD27+CD80+,245
CD45+CD19+CD20+IgD+CD27+CD38+,245
CD45+CD14+HLADR+,244
CXCR3 FMO: viable/singlets/Lymph/CD3-/CD19+CD20+,225
CXCR3 FMO: viable/singlets/Lymph/CD3-,225
CXCR3 FMO: viable/singlets/Mono,225
CXCR3 FMO: viable/singlets/Lymph/CD3+/CD8+/CXCR3+,225
CXCR3 FMO: viable/singlets/Lymph/CD3+/CD8+,225
CXCR3 FMO: viable/singlets/Lymph/CD16+/CD56+/CXCR3+,225
CXCR3 FMO: viable/singlets/Lymph/CD3+,225
CXCR3 FMO: viable/singlets/Lymph/CD16+/CD56+,225
CXCR3 FMO: viable/singlets/Lymph,225
CXCR3 FMO: viable/singlets,225
CXCR3 FMO: viable,225
CXCR3 FMO: viable/singlets/Lymph/CD3+/CD4+/CXCR3+,225
CXCR3 FMO: viable/singlets/Lymph/CD3+/CD4+,225
CXCR3 FMO: viable/singlets/Mono/CD33+,225
