Population Definition Reported,count
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA- CD27+ CD161lo CD38hi CD127hi,7560
CD3+ CD14- CD19- CD8+ gdTCR- CD56- CD4- CD45RA+ CD27+ CD38hi CD127lo CD141hi,7274
CD3- CD56- CD14- CD66b- CD19- HLADR+ CD141+ CD66b- CD123- CD1c- CD16-,6674
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA+ CD27+ CD38hi CD127lo CD24hi,6624
CD3+ CD14- CD19- CD4+ gdTCR- CD56- CD8- CD45RA+ CD27+ CD38hi CD127hi CD24hi,6120
CD3+ CD14- CD19- CD56+ gdTCR- CD161lo CD8lo CD38hi,5640
CD3+ CD14- CD19-,5496
CD56+ HLADR- CD3- CD14- CD66b- CD19- CD16+ CD8lo CD161hi CD38lo,4322
CD4+: pSTAT5,2687
CD8+: pSTAT1,2687
CD4+: pSTAT3,2687
Mono: pSTAT1,2687
Mono: pSTAT3,2687
Mono: pSTAT5,2687
CD8+: pSTAT3,2687
CD8+: pSTAT5,2687
B cell: pSTAT5,2687
CD4+: pSTAT1,2687
B cell: pSTAT1,2687
B cell: pSTAT3,2687
CD3+ CD14- CD19- CD8+ CD4+ gdTCR- CD56-,2472
CD4+CD45RA+: pSTAT5,2327
CD4+CD45RA+: pSTAT3,2327
CD4+CD45RA+: pSTAT1,2327
CD8+CD45RA-: pSTAT1,2327
CD4+CD45RA-: pSTAT1,2327
CD8+CD45RA+: pSTAT1,2327
CD8+CD45RA-: pSTAT3,2327
CD8+CD45RA-: pSTAT5,2327
CD8+CD45RA+: pSTAT5,2327
CD4+CD45RA-: pSTAT5,2327
CD8+CD45RA+: pSTAT3,2327
CD4+CD45RA-: pSTAT3,2327
CD19+ CD3- CD56- CD14-,2088
CD3- CD56- CD14- CD66b- CD19- CD123+ CD161- CD1c- CD127- CD16- CD141-,2064
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-",1203
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+",1203
"singlet, CD3+, viable[live/dead stain]",1203
"singlet, CD3-, viable[live/dead stain], CD56+",1203
Non BT: pSTAT5,1143
Non BT: pSTAT3,1143
Non BT: pSTAT1,1143
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA-,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA-/Infected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA-/Uninfected/SSC high,820
Live cells/CD8 T cells,820
Live cells/CD8 T cells/CD8+ CD45RA+,820
Live cells/Non T cells/B cells/Infected,820
Live cells/CD8 T cells/CD8+ CD45RA+/Infected,820
Live cells/CD8 T cells/CD8+ CD45RA+/Uninfected,820
Live cells/CD8 T cells/CD8+ CD45RA-,820
Live cells/CD8 T cells/CD8+ CD45RA-/Infected,820
Live cells/CD8 T cells/CD8+ CD45RA-/Uninfected,820
Live cells/Non T cells,820
Live cells/Non T cells/B cells,820
Live cells/Non T cells/Monocytes/Uninfected,820
Live cells/Non T cells/B cells/Uninfected,820
Live cells/Non T cells/Monocytes,820
Live cells/Non T cells/Monocytes/Infected,820
Live cells/Non T cells/Other cells/Infected,820
Live cells/Non T cells/Other cells,820
Live cells/Non T cells/Other cells/Infected/SSC high,820
Live cells/Non T cells/Other cells/Infected/SSC low,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC high,820
Live cells/Non T cells/Other cells/Uninfected,820
Live cells/Non T cells/Other cells/Uninfected/SSC high,820
Live cells/Non T cells/Other cells/Uninfected/SSC low,820
Live cells/Total infected cells,820
Live cells/CD4 T cells/CD4+ CD45RA+,820
Live cells/CD4 T cells,820
Live cells,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected/SSC high,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected,820
Live cells/CD4 T cells/CD4+ CD45RA+/Uninfected,820
Live cells/CD4 T cells/CD4+ CD45RA+/Infected/SSC low,820
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa-",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg-, IL-17+",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17-",802
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa-",802
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B-, IFNg+",802
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg-, IL-17+",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B-, TNFa+",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa+",802
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17+",802
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg-, TNFa+",802
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg+",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, IFNg+, IL-17+",802
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, Granzyme B+, TNFa-",802
"singlet, CD3-, viable[live/dead stain], CD56+, IFNg+, TNFa+",802
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, IFNg+, IL-17-",802
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B-, TNFa+",802
"singlet, CD3-, viable[live/dead stain], CD56+, Granzyme B+, IFNg-",802
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, Granzyme B+, TNFa+",802
CD45+CD3+CD4+CD8-CD27+,735
"singlet, CD3-, viable[live/dead stain]",609
CD14+CD33+,572
CD14-CD33-/CD3-/CD19+CD20+,546
CD45+CD3+CD8+CD4-TNFa+,490
CD45+CD3+CD4+CD8-TNFa+,490
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent",489
