live.cd8,CD8.CD103,CD8.Tbethi.Ly6Chi,cd4tconv.ly6c,cd4tconv.cd103,cd4tconv.tbethi,ILC2,Mo0,CD8.GrzmB,Macro,cd4tconv.th2,CD8.Ly6C,B.immature,live.cd4tconv,cd4tconv.cd44,NK.GrzmB,ILC1,CD8.VacTet,cd4.treg,treg.cd103,B.GC,CD8.Tbethi.Ly6Clo,cd4tconv.slec,NK,Neutro,CD8.CD44hi,CD8.VacTet.MFI,mo0.CD11cneg,mo0.CD11c,DC,B.naive.FO,cd4tconv.tbetmid,B.plasma,B.memory,cd4tconv.mpec,treg.ly6c,Target
-0.6673838916763333,-0.2920322317354886,-0.4547474397199388,-0.3184309166124989,0.4595866805244463,-2.3124573993672657,0.8575438746708292,-0.8370970853932692,-1.0373344513545169,-0.419432918649933,-0.4499405052970092,-0.4734354522291444,0.6612661405891578,-1.2945812128599945,-1.680723550823083,-0.6247558791488984,0.0432979381140509,-0.6664900750820519,1.1631647071427051,1.1842955070773584,0.8012841311393939,-0.2277454744167125,-1.3367128062508549,-1.1042645953683174,0.9363698100915664,-1.8396438695241557,0.0726128440133316,-0.6660371214248185,-0.6662476932411213,-1.2734053917246022,-2.3598784597448605,0.4041186717283515,-0.5443625313755077,0.547761997251695,0.3519010246162544,-0.4774129995347117,0
-0.4789511671512677,-0.2108658824656474,-0.0203025475077572,0.124611650411771,0.7077968752924113,-0.2461332753452138,0.582431948045098,-0.6083882644572379,-0.4912068219076299,-0.2227358914852544,-0.1276925780938049,-0.3348728547183954,-0.1490592072525847,-0.841618805594515,-0.5124976160104447,-0.6590504040344248,0.2165530835199154,0.1986718592556062,1.184669157928065,0.8917209221867198,0.9165212295941244,0.2288917070754366,-0.1571434637409131,-0.910779666179842,0.4024080891061776,-0.4289009495453967,0.122457111192609,-0.4566346631410414,-0.7943826498246435,-0.8138654477847532,-0.7572656068172465,1.0899469240115498,-0.1364055386577748,0.5402625058823107,0.8000039340538082,0.0509194365607798,0
-0.2217184432095175,-0.673247395245423,-0.0575478452859286,0.5183438975067831,1.1419009586093327,-0.7261983389083737,0.8474649045636754,-0.6056778318699468,-0.7421351542042632,-0.2471812822654205,-0.2197797684096284,-0.2334141116061394,-0.437825122636337,-0.952030022138654,-0.3378957286677018,-0.6618683595202004,0.4026368880342179,0.3090201206362509,0.7332570846254853,1.7543584009458422,1.2089073006750055,-0.0537411810041968,-0.4335116980790081,-0.4236539136771809,0.9908783176804294,-0.179841955021993,0.0917177896040715,-0.4537147161459342,-0.9704523251680957,-1.0996571714101346,-0.3322707495264549,1.2619685672437162,-0.4777999961484451,0.8004206802574401,0.7646728886215087,0.3093353698493752,0
0.086882695550467,-0.3367853085747009,-0.0017129775166918,0.2560708717138434,0.8784524530764228,-0.3961872600381467,0.7627598413885557,-0.5363828104599736,-0.537576151023787,-0.1326604038889878,-0.267894506049834,-0.3499475784460271,-0.4584019756268563,-0.3003406895785522,-0.3276635428094921,-0.6227657430874087,0.3145427371510919,0.1532917217452094,0.9556606910609304,1.2543759010410174,1.3175487443102425,0.3104920511983444,-0.222046643623467,-0.533694069617482,0.6419242409151447,-0.2207573135224921,0.1019218839090207,-0.4163416859839865,-0.9372474378162464,-1.2539099773666835,-0.5327979324307793,1.2601505183085004,-0.0836257004476216,0.9635310997829762,0.8070995918171235,0.1185574138912879,0
-0.5841099852762017,0.1980209845585966,-0.3962979763197319,-0.2189769550761348,0.9124144194895162,-0.9261752924325912,0.7907727093751991,-0.9497490153064718,-1.8448142183306335,-0.361393896953876,-0.1916114994249809,-0.3978439597640962,-0.0346207938736546,-0.8857915795906497,-0.819486711437684,-0.6978839936807715,0.1175370609561442,-0.4451365204607652,1.0538735586407109,0.898944836865722,0.8405402911548331,-0.2856642775417881,-0.8405105111864741,-1.0712803991189424,0.8916295529585001,-0.8763090150921607,0.1807743592913103,-0.7353194875893528,-0.6776650132062177,-1.002832590954554,-1.220573879313004,0.4416126876370473,-0.2913309811151449,0.3206320493235383,0.4363454637338249,-0.0469905709981826,0
-0.665213136525508,-0.2313008918833125,-0.3692596296335451,-0.8541962488205205,-0.4749069834808936,-2.3231611435783415,0.7869907159128195,-0.966400817367526,0.0861522385255246,-0.2405897021586471,-0.3507837644626844,-0.8075219641223778,0.4194020166387401,-0.9881511232350492,-1.5830856367121926,-0.6947594865145658,0.1795354391727341,-0.5664718616596206,0.5659424299042517,-0.2825366029318997,-0.3732860894997098,-0.1391021196341282,-1.4294554001705997,-1.052359596950707,0.3308931051983731,-1.5110792788318017,0.1164054550863509,-0.8507756269170301,-0.4016530925931497,-0.7529544668641376,-2.5752831230327584,-0.0823700293210528,-0.4486373484391384,0.6164507438944788,0.1002237012577819,-0.5878070135587126,0
-0.4767804120004426,-0.1501345426134715,0.0651852625786365,-0.4111536817962504,-0.2266967887129287,-0.256837019556289,0.5118787892870883,-0.7376919964314949,0.6322798679724113,-0.0438926749939685,-0.02853583725948,-0.6689593666116289,-0.3909233312030025,-0.53518871596957,-0.4148597018995543,-0.7290540114000923,0.3527905845785986,0.2986900726780376,0.5874468806896113,-0.5751111878225381,-0.2580489910449793,0.3175350618580209,-0.2498860576606578,-0.8588746677622316,-0.2030686157870158,-0.1003363588530426,0.1662497222656284,-0.6413731686332529,-0.5297880491766719,-0.293414522924288,-0.9726702701051442,0.6034582229621456,-0.0406803557214056,0.6089512525250945,0.5483266106953356,-0.059474577463221,0
-0.2195476880586923,-0.6125160553932469,0.027939964800465,-0.0174214347012384,0.2074072946039924,-0.7369020831194489,0.7769117458056657,-0.7349815638442039,0.381351535675778,-0.0683380657741346,-0.1206230275753036,-0.567500623499373,-0.6796892465867547,-0.6455999325137088,-0.2402578145568115,-0.7318719668858678,0.5388743890929011,0.4090383340586823,0.1360348073870319,0.2875262909365845,0.0343370800359018,0.0349021737783874,-0.526254291998753,-0.3717489152595704,0.385401612787236,0.1487226356703611,0.1355104006770909,-0.6384532216381456,-0.7058577245201242,-0.5792062465496693,-0.547675412814353,0.7754798661943118,-0.3820748132120759,0.8691094269002241,0.5129955652630362,0.1989413558253745,0
0.089053450701292,-0.2760539687225249,0.0837748325697018,-0.2796944604941783,-0.0560412109289175,-0.4068910042492218,0.692206682630546,-0.6656865424342305,0.5859105388562543,0.046182812602298,-0.1687377652155092,-0.6840340903392605,-0.700266099577274,0.0060894000463932,-0.2300256286986017,-0.6927693504530762,0.450780238209775,0.2533099351676408,0.3584384138224773,-0.2124562089682407,0.1429785236711388,0.3991354059809286,-0.3147892375432118,-0.4817890711998714,0.0364475360219515,0.1078072771698622,0.1457144949820401,-0.601080191476198,-0.672652837168275,-0.7334590525062187,-0.7482025957186773,0.7736618172590962,0.0120994824887475,1.03221984642576,0.5554222684586512,0.0081633998672869,0
-0.5819392301253767,0.2587523244107726,-0.3108101662333382,-0.7547422872841564,-0.0220792445158239,-0.9368790366436666,0.7202195506171893,-1.0790527472807288,-0.7213275284505923,-0.1825506804625901,-0.0924547585906559,-0.7319304716573297,-0.2764849178240722,-0.5793614899657044,-0.7218487973267936,-0.7678876010464388,0.2537745620148274,-0.3451183070383338,0.4566512814022572,-0.5678872731435362,-0.3340299294842705,-0.1970209227592039,-0.9332531051062188,-1.0193754007013318,0.2861528480653069,-0.5477444243998066,0.2245669703643296,-0.9200579930815642,-0.413070412558246,-0.4823816660940888,-1.4359785426009015,-0.0448760134123569,-0.1956057981787756,0.3893207959663222,0.1846681403753524,-0.1573845850221835,0
