Experiment,Treatment,Tissue,Mouse,Target,Timepoint_pre,Timepoint_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
BALB/c,Intramuscular ,Lung,2,Yes,PBS,4.50E+06,-0.4462669746927712,0.38363951518410067,,,,,,,,,,,0.41773446356655425,,,1.5205704774910402,,,,,,,,,,,-1.2672625513626001,,,-1.0184721195094035,,-2.6365011244863195,,,,
BALB/c,Intramuscular ,Lung,3,no,PBS,4.50E+02,1.9076109330693913,-1.122098172132757,,,,,,,,,,,-1.226574286167117,,,-0.5980959156737996,,,,,,,,,,,0.02564019384929019,,,-0.9216524658872693,,0.5839602876903752,,,,
BALB/c,Intramuscular ,Lung,3,maybe,PBS,4.50E+04,1.6368765889351817,-0.8173929187685269,,,,,,,,,,,-1.8448805724041515,,,2.0551720114288607,,,,,,,,,,,0.24145563504158793,,,-0.017176879931083848,,2.6946589964809635,,,,
BALB/c,Intramuscular ,Lung,3,Yes,PBS,4.50E+06,0.8928058878549469,-0.28946983307019675,,,,,,,,,,,-1.8568320212741416,,,1.9026087204378528,,,,,,,,,,,-4.6891765415599345,,,-4.300487975761593,,2.4038068320105195,,,,
BALB/c,Intranasal,Lung,1,no,PBS,4.50E+02,-0.4654724869457343,0.48712523267072383,,,,,,,,,,,-0.9719767900894668,,,-0.5980959156737996,,,,,,,,,,,0.6408349322039086,,,-0.5370181084813043,,1.5959874046312261,,,,
BALB/c,Intranasal,Lung,1,maybe,PBS,4.50E+04,0.37188150978309326,-0.06749192803201472,,,,,,,,,,,-2.501415057907603,,,-0.5980959156737996,,,,,,,,,,,0.6408349322039086,,,0.3011251385734767,,-0.48945183798714764,,,,
BALB/c,Intranasal,Lung,1,Yes,PBS,4.50E+06,0.16589966717615245,0.024655441802355835,,,,,,,,,,,0.4376822938217943,,,2.008628181654267,,,,,,,,,,,-1.5419611253591576,,,-0.7891900899297931,,-0.23742426849291606,,,,
BALB/c,Intranasal,Lung,2,no,PBS,4.50E+02,-0.10430799642946995,0.16607783254197625,,,,,,,,,,,-0.3299260703340103,,,1.7028352693284328,,,,,,,,,,,-0.7369432495769445,,,-0.2560304881092627,,-0.616143237155243,,,,
BALB/c,Intranasal,Lung,2,maybe,PBS,4.50E+04,0.3099226411057635,-0.00324716720860721,,,,,,,,,,,0.8243741893774272,,,1.8525545500334455,,,,,,,,,,,-0.7369432495769445,,,-0.03393415737568204,,-2.28464542616987,,,,
BALB/c,Intranasal,Lung,2,Yes,PBS,4.50E+06,2.396749898718576,-1.0501712600001698,,,,,,,,,,,2.065347368718849,,,2.019953677961721,,,,,,,,,,,-3.4915064151199737,,,-2.0046467923036553,,-1.4226283217562712,,,,
BALB/c,Intranasal,Lung,3,no,PBS,4.50E+02,-0.34705174790114696,0.35611727754645345,,,,,,,,,,,0.1477152184279829,,,-2.719318157267599,,,,,,,,,,,1.446763205891377,,,1.4148733615768203,,0.33699433482225194,,,,
BALB/c,Intranasal,Lung,3,maybe,PBS,4.50E+04,0.9974682561335194,-0.6607023415607062,,,,,,,,,,,0.5328986293105121,,,-0.22261333887397128,,,,,,,,,,,0.06906782422394543,,,1.2020961251981739,,0.84225799726183,,,,
BALB/c,Intranasal,Lung,3,Yes,PBS,4.50E+06,0.8649071825223209,-0.6352439925991507,,,,,,,,,,,1.3167006762591635,,,-0.8525700152987784,,,,,,,,,,,-2.1137282333391205,,,-0.867407608856414,,-1.3135566733657111,,,,
C57BL/6,Intramuscular ,Spleen,1,no,PBS,4.50E+02,-0.4413447239824861,0.5762860245127985,,,,,,,,,,,-0.3986595728962452,,,-0.6706359698485113,,,,,,,,-0.13127867032880233,0.11421611319437636,-0.21631100258120367,0.32563484109989754,,,0.519569279203562,,0.24280144732196532,1.2032119965159174,,,
C57BL/6,Intramuscular ,Spleen,1,no,PBS,4.50E+04,-0.4166875038797609,0.5210057888403531,,,,,,,,,,,-0.19443831571101874,,,-0.5581741309943509,,,,,,,,-1.32122984745724,-0.7364759421856982,-0.679037125131972,-0.18043502240394907,,,0.3446834538455562,,0.8513272926695851,2.5726674608150386,,,
C57BL/6,Intramuscular ,Spleen,1,Yes,PBS,4.50E+06,-0.1784575488044209,0.26157169501296124,,,,,,,,,,,-0.14491117523253555,,,-0.2740923609172667,,,,,,,,1.3269726588510884,-0.2003749507055476,1.114707689899749,0.06153102259086731,,,1.2749565981215547,,0.9236589183514865,2.0288251723331423,,,
C57BL/6,Intramuscular ,Spleen,2,no,PBS,4.50E+02,-1.1325710408778682,0.9881790869051178,,,,,,,,,,,-0.301294413036842,,,-0.6184812464321481,,,,,,,,-1.0230069745138992,-0.7015469242076201,-1.3677644286428234,0.794359774416679,,,0.14867917989825635,,0.04321241547319131,-0.9327126279918598,,,
C57BL/6,Intramuscular ,Spleen,2,no,PBS,4.50E+04,-0.5969514499987784,0.737874135195065,,,,,,,,,,,-0.03443651302352254,,,-0.5490524582644921,,,,,,,,-1.577160847156677,-0.60561063983923,-0.4148562363510068,0.3745109601864906,,,0.8738349999407924,,1.2247453668346169,1.2035351344731895,,,
C57BL/6,Intramuscular ,Spleen,2,Yes,PBS,4.50E+06,-0.6462630673713055,0.5994144822906804,,,,,,,,,,,-0.049427231667546444,,,-0.359255059158243,,,,,,,,1.5494373355257185,-0.13490847408590997,1.712473526036516,0.690139974713663,,,1.2749520412910291,,0.6650864643329818,0.37788604566317385,,,
C57BL/6,Intramuscular ,Spleen,3,no,PBS,4.50E+02,-0.5146018044321286,0.5347628199749521,,,,,,,,,,,-0.39486743825022635,,,-0.48626261256549785,,,,,,,,-0.8883645893812502,-1.036180738573662,-2.296828937117005,0.4695727406445541,,,-0.1693793354139691,,-0.3513188611966456,-1.3975998727353014,,,
C57BL/6,Intramuscular ,Spleen,3,no,PBS,4.50E+04,-0.649150545185299,0.7376895365940965,,,,,,,,,,,-0.3845218476524791,,,-0.42261906408414973,,,,,,,,0.9412114234236323,-0.9874130058893195,-1.1634934509425667,0.36276058651511994,,,0.7461858666298605,,0.3148561771948429,0.18751883313334916,,,
C57BL/6,Intramuscular ,Spleen,3,Yes,PBS,4.50E+06,-1.0102744428711072,0.8907328996256354,,,,,,,,,,,-0.5207251100859802,,,-0.26589331628811136,,,,,,,,-1.0275172028124737,-2.0837417245851384,-0.859484055056221,0.41427340457370077,,,0.03657490412634706,,-0.0969973087407875,-0.028298300501980723,,,
C57BL/6,Intranasal,Spleen,1,no,PBS,4.50E+02,-0.4424317831444319,0.35508417803433673,,,,,,,,,,,-0.1839713447481992,,,-0.6506509090708602,,,,,,,,0.3982398878991659,-0.6368816804272366,-2.0783288550207812,0.4665418644870475,,,-0.16476486714289895,,0.05985605103303373,-0.5720944167481539,,,
C57BL/6,Intranasal,Spleen,1,Maybe,PBS,4.50E+04,-0.1508841957407716,0.1231684646113119,,,,,,,,,,,0.0391699907397738,,,-0.5099893822159173,,,,,,,,0.3982398878991659,-0.7520232364849582,-1.2375499822929523,0.6082012492889172,,,-0.5980005249334465,,-0.5419928131508567,-0.7624616292779786,,,
C57BL/6,Intranasal,Spleen,1,Yes,PBS,4.50E+06,-0.2710732315776228,0.25466867838424545,,,,,,,,,,,-0.09209496919841756,,,-0.40593853316186407,,,,,,,,0.6126576134860037,0.3876252822839144,-1.3806165806556612,0.5813325177900482,,,-0.1997096538226597,,0.15704789142442768,-0.5720944167481539,,,
C57BL/6,Intranasal,Spleen,2,no,PBS,4.50E+02,-0.634981965542325,0.4941547632130297,,,,,,,,,,,-0.25013700128675054,,,-0.5925908007114596,,,,,,,,-2.0128985109346513,-1.125326594620704,-0.45685415431335413,0.6571235925522003,,,0.00729642902840848,,-0.4746287932586006,0.18751883313334916,,,
C57BL/6,Intranasal,Spleen,2,Maybe,PBS,4.50E+04,-0.835184408111539,0.6567662625637505,,,,,,,,,,,-0.3922379884491785,,,-0.46589384487504154,,,,,,,,-1.7393096418918434,-0.43927343709053984,0.3428883872903693,0.55514883780075,,,-0.052890999980891334,,-0.08661162451510157,-0.5720944167481539,,,
C57BL/6,Intranasal,Spleen,2,Yes,PBS,4.50E+06,-0.766701718764353,0.612151725129281,,,,,,,,,,,-0.4220951699029134,,,-0.4481156041582689,,,,,,,,-1.1280082855623603,-0.2534007357154403,-0.11984291920130435,0.44305196538105873,,,0.22795726713048292,,-0.016920680141427134,1.092019730319386,,,
