Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH17, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent",cells/ul,480,2,77,9,"-7.0, 1.0, 120.0, 28.0, 3.0, 7.0, 0.0, 240.0, -5.0","296, 301","CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",cells/ul,477,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
