Population Definition Reported,Normalized_Definition
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-","CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"CD14+, HLA-DRlo, CD16-","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRhi, CD16-","CD14+, CD16-, HLA-DR+"
"CD14lo, HLA-DR+, CD16-","CD14+, CD16-, HLA-DR+"
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+","CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-","CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC"
"CD14+, HLA-DR+, CX3CR1lo","CD14+, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CX3CR1hi","CD14+, CX3CR1+, HLA-DR+"
"CD14+, HLADR+","CD14+, HLA-DR+"
"CD14+, HLA-DR+","CD14+, HLA-DR+"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent","CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3","CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19","CD19+, CD27+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+,"CD19+, CD27+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD86+,"CD19+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19","CD19+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19,"CD19+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph","CD19+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+","CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+","CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+","CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+","CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent","CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+","CD3+, CD38+, CD4+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+","CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"sing/CD45+/CD3+/CD4+,Freq. of,CD45+","CD3+, CD4+, CD45+, singlet"
"sing/CD45+/CD3+/CD4,Freq. of,CD45+","CD3+, CD4+, CD45+, singlet"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3","CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4/ICOS+,"CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
CD3+ AND CD4+ AND small lymphocyte,"CD3+, CD4+, lymphocyte"
"ly/CD3+/CD4+,Freq. of,ly","CD3+, CD4+, lymphocyte"
"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+","CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+","CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+","CD3+, CD4+, lymphocyte, naive"
"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+","CD3+, CD4+, lymphocyte, naive"
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3","CD3+, CD4+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4,"CD3+, CD4+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8","CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8","CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,"CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8","CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/ICOS+,"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
CD3+ AND CD8+ AND small lymphocyte,"CD3+, CD8+, lymphocyte"
"ly/CD3+/CD8+,Freq. of,ly","CD3+, CD8+, lymphocyte"
"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+","CD3+, CD8+, lymphocyte, naive"
"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+","CD3+, CD8+, lymphocyte, naive"
"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+","CD3+, CD8+, lymphocyte, naive"
"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+","CD3+, CD8+, lymphocyte, naive"
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3","CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8,"CD3+, CD8+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent","CD3+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/ICOS+,"CD3+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph","CD3+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3,"CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph","CD3+, lymphocyte, singlet, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+","CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+","CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+","CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+","CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+","bcl2+, CD3+, CD4+, K1-67+, lymphocyte"
"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+","bcl2+, CD3+, CD4+, K1-67+, lymphocyte"
"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+","bcl2+, CD3+, CD4+, K1-67, lymphocyte"
"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+","bcl2+, CD3+, CD4+, K1-67, lymphocyte"
"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+","bcl2+, CD3+, CD8+, K1-67+, lymphocyte"
"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+","bcl2+, CD3+, CD8+, K1-67+, lymphocyte"
"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+","bcl2+, CD3+, CD8+, K1-67, lymphocyte"
"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+","bcl2+, CD3+, CD8+, K1-67, lymphocyte"
