mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__shrinkage,param_classify__solver,param_select,param_transform,param_select__k,param_transform__n_components,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,split5_test_f1_weighted_scorer,split6_test_f1_weighted_scorer,split7_test_f1_weighted_scorer,split8_test_f1_weighted_scorer,split9_test_f1_weighted_scorer,split10_test_f1_weighted_scorer,split11_test_f1_weighted_scorer,split12_test_f1_weighted_scorer,split13_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,split5_test_roc_auc_scorer,split6_test_roc_auc_scorer,split7_test_roc_auc_scorer,split8_test_roc_auc_scorer,split9_test_roc_auc_scorer,split10_test_roc_auc_scorer,split11_test_roc_auc_scorer,split12_test_roc_auc_scorer,split13_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,split5_test_accuracy_scorer,split6_test_accuracy_scorer,split7_test_accuracy_scorer,split8_test_accuracy_scorer,split9_test_accuracy_scorer,split10_test_accuracy_scorer,split11_test_accuracy_scorer,split12_test_accuracy_scorer,split13_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.14350201402391707,0.03309395074867028,0.006430813244410923,0.001977557443836597,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),LinearDiscriminantAnalysis(),30.0,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 30, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.74,0.8,0.94858934169279,0.7333333333333333,0.6,0.85423197492163,0.8492424242424242,0.934609250398724,0.849624060150376,0.8952380952380953,0.8020202020202021,1.0,0.9066666666666666,0.7885167464114832,0.8358622925054089,0.09951666068559167,1,0.9595959595959596,0.875,0.9880952380952381,0.97,0.6250000000000001,0.9333333333333333,0.9348370927318296,0.92,0.9,0.967032967032967,0.8645833333333333,1.0,1.0,0.8571428571428571,0.9139014843761085,0.0926075280059451,2,0.75,0.8,0.95,0.75,0.6,0.85,0.85,0.9333333333333333,0.85,0.9,0.8,1.0,0.9,0.8,0.8380952380952381,0.09726999150388331,1
0.1165332453591483,0.0021215031175750307,0.004889369010925293,0.00012035317481030339,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),,30.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 30, 'transform': None}",0.848849104859335,0.8,0.94858934169279,0.6703296703296703,0.5888888888888888,0.85423197492163,0.9,0.934609250398724,0.7493734335839599,0.9,0.8020202020202021,1.0,0.9519713261648747,0.725925925925926,0.8339135084847145,0.11400366491589044,2,0.9494949494949494,0.875,0.9761904761904763,0.97,0.6071428571428571,0.9466666666666667,0.9273182957393484,0.96,0.9099999999999999,0.9780219780219781,0.9270833333333334,1.0,0.984375,0.8392857142857142,0.9178985193482374,0.09610649415237303,1,0.85,0.8,0.95,0.7,0.6,0.85,0.9,0.9333333333333333,0.75,0.9,0.8,1.0,0.95,0.7333333333333333,0.8369047619047618,0.10877721725249861,2
0.11554755483354841,0.0025818183587135463,0.00497232164655413,0.00020876112042681144,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),LinearDiscriminantAnalysis(),10.0,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 10, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.7958333333333334,0.7981900452488688,0.94858934169279,0.7493734335839599,0.45185185185185184,0.85423197492163,0.89846547314578,0.934609250398724,0.846547314578005,0.847008547008547,0.5868131868131867,0.949616368286445,0.9,0.7885167464114832,0.8106890619481861,0.13558556340061784,3,0.9494949494949494,0.8392857142857142,1.0,0.7200000000000001,0.5535714285714285,0.9466666666666667,0.9924812030075187,0.96,0.85,0.9670329670329669,0.71875,1.0,0.96875,0.9464285714285714,0.8866043928919868,0.13013571052720566,9,0.8,0.8,0.95,0.75,0.4666666666666667,0.85,0.9,0.9333333333333333,0.85,0.85,0.6,0.95,0.9,0.8,0.8142857142857143,0.13121186412814145,3
0.11969981874738421,0.009064410721356239,0.0051119838442121234,0.00017148851162601135,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",10.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.7958333333333334,0.7333333333333333,0.94858934169279,0.7442455242966752,0.45185185185185184,0.8589743589743589,0.84769820971867,0.8666666666666667,0.7,0.7904761904761904,0.8480000000000001,0.8979166666666666,1.0,0.8629629629629629,0.8104677457123929,0.12690449467760026,4,0.9696969696969697,0.8392857142857142,1.0,0.92,0.44642857142857145,1.0,0.9724310776942356,0.96,0.85,0.956043956043956,0.8854166666666666,1.0,1.0,0.9464285714285714,0.9104093948031917,0.13887543950546757,3,0.8,0.7333333333333333,0.95,0.75,0.4666666666666667,0.85,0.85,0.8666666666666667,0.7,0.8,0.85,0.9,1.0,0.8666666666666667,0.8130952380952382,0.12379235228906821,4
0.12138821397508893,0.010722144157101507,0.004908902304513114,6.899387581979296e-05,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),,10.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 10, 'transform': None}",0.74,0.7885167464114832,0.832258064516129,0.7916666666666667,0.36555023923444974,0.78125,0.8738095238095237,0.8666666666666667,0.7493734335839599,0.847008547008547,0.7518796992481203,1.0,0.8626959247648903,0.8629629629629629,0.7938313196338143,0.13582634206130584,5,0.9494949494949494,0.875,0.9761904761904763,0.83,0.5178571428571429,0.96,0.9699248120300752,0.96,0.8599999999999999,0.967032967032967,0.7083333333333334,1.0,1.0,0.9642857142857143,0.8955799568017613,0.13054584558299948,6,0.75,0.8,0.85,0.8,0.4,0.8,0.875,0.8666666666666667,0.75,0.85,0.75,1.0,0.85,0.8666666666666667,0.8005952380952381,0.1280370840731668,5
0.12793009621756418,0.010788988654767512,0.005529352596827916,0.0011759284587027506,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),LinearDiscriminantAnalysis(),50.0,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 50, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.7958333333333334,0.6576168929110106,0.7866666666666666,0.7333333333333333,0.5888888888888888,0.85423197492163,0.8994949494949495,0.8666666666666667,0.7442455242966752,0.847008547008547,0.7,1.0,0.819047619047619,0.725925925925926,0.7870685944639462,0.10197768596320994,6,0.9595959595959596,0.8571428571428571,0.9166666666666666,0.95,0.6428571428571428,0.8933333333333333,0.9523809523809523,0.96,0.8700000000000001,0.956043956043956,0.8645833333333333,1.0,0.984375,0.8035714285714286,0.9007536164232592,0.08959503041056961,4,0.8,0.6666666666666666,0.8,0.75,0.6,0.85,0.9,0.8666666666666667,0.75,0.85,0.7,1.0,0.8,0.7333333333333333,0.7904761904761904,0.09834226870506374,6
0.1280851193836757,0.031235322708867537,0.005342211042131696,0.0010899632082828523,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),,50.0,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 50, 'transform': None}",0.74,0.6576168929110106,0.7866666666666666,0.6703296703296703,0.6636500754147813,0.85423197492163,0.8994949494949495,0.8666666666666667,0.7442455242966752,0.8373040752351096,0.7518796992481203,0.949616368286445,0.819047619047619,0.725925925925926,0.7833340077460909,0.08779163744849584,7,0.9595959595959596,0.8214285714285714,0.9404761904761905,0.9600000000000001,0.5714285714285714,0.8933333333333333,0.949874686716792,0.96,0.8700000000000001,0.9780219780219781,0.8958333333333334,1.0,0.984375,0.7857142857142857,0.8978629935749297,0.1089481535955498,5,0.75,0.6666666666666666,0.8,0.7,0.6666666666666666,0.85,0.9,0.8666666666666667,0.75,0.85,0.75,0.95,0.8,0.7333333333333333,0.788095238095238,0.08343531175207254,7
0.00532811028616769,0.0010988693815048342,0.007059352738516671,0.000480018556749332,,,svd,,,,,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': None}",0.7958333333333334,0.730952380952381,0.8457680250783699,0.6011396011396011,0.5888888888888888,0.85423197492163,0.9,0.8666666666666667,0.7442455242966752,0.9490028490028489,0.6456140350877193,0.949616368286445,0.819047619047619,0.6475279106858054,0.7813239412419989,0.1191147315342488,8,0.9595959595959596,0.8571428571428571,0.9285714285714286,0.9199999999999999,0.6607142857142857,0.9066666666666667,0.9573934837092732,0.96,0.86,0.9230769230769231,0.8333333333333333,1.0,0.96875,0.7678571428571428,0.8930787200477049,0.0881943784623877,7,0.8,0.7333333333333333,0.85,0.65,0.6,0.85,0.9,0.8666666666666667,0.75,0.95,0.65,0.95,0.8,0.6666666666666666,0.7869047619047619,0.1107654771564914,8
0.006535240582057408,0.0018459121685573026,0.005593487194606236,0.0006338771371639108,,,svd,,LinearDiscriminantAnalysis(),,1.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': LinearDiscriminantAnalysis(), 'transform__n_components': 1}",0.7958333333333334,0.730952380952381,0.8457680250783699,0.6011396011396011,0.5888888888888888,0.85423197492163,0.9,0.8666666666666667,0.7442455242966752,0.9490028490028489,0.6456140350877193,0.949616368286445,0.819047619047619,0.6475279106858054,0.7813239412419989,0.1191147315342488,8,0.9595959595959596,0.8571428571428571,0.9285714285714286,0.9199999999999999,0.6607142857142857,0.9066666666666667,0.9573934837092732,0.96,0.86,0.9230769230769231,0.8333333333333333,1.0,0.96875,0.7678571428571428,0.8930787200477049,0.0881943784623877,7,0.8,0.7333333333333333,0.85,0.65,0.6,0.85,0.9,0.8666666666666667,0.75,0.95,0.65,0.95,0.8,0.6666666666666666,0.7869047619047619,0.1107654771564914,8
0.1217189005443028,0.0058105200766232525,0.005214333534240723,0.0001839668617813887,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",30.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.7868131868131869,0.7981900452488688,0.94858934169279,0.7979797979797979,0.36555023923444974,0.8,0.8750781738586617,0.8038277511961722,0.8,0.8,0.6453333333333333,0.6571428571428571,0.6826666666666666,0.8629629629629629,0.7588667397235531,0.1349688259253201,10,0.9797979797979797,0.9107142857142857,0.9880952380952381,0.8200000000000001,0.5,0.8800000000000001,0.9598997493734336,0.8800000000000001,0.92,0.8681318681318682,0.7187499999999999,0.8787878787878788,0.90625,0.9642857142857143,0.8696223367275999,0.12276599123713004,10,0.8,0.8,0.95,0.8,0.4,0.8,0.875,0.8,0.8,0.8,0.65,0.7,0.65,0.8666666666666667,0.7636904761904761,0.1279263468827175,10
