mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__ccp_alpha,param_classify__criterion,param_classify__max_features,param_classify__n_estimators,param_classify__n_jobs,param_classify__random_state,param_impute,param_select,param_transform,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.38963258266448975,0.02377164363861084,0.17551612854003906,0.0013227462768554688,,0.0,entropy,log2,100,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'entropy', 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.4225759506225586,0.00985574722290039,0.13542664051055908,0.006876111030578613,,0.0,entropy,log2,100,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'entropy', 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.3339805603027344,0.005518436431884766,0.07640302181243896,0.0017639398574829102,,0.0,log_loss,sqrt,100,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.33242714405059814,0.03989970684051514,0.111031174659729,0.01345837116241455,,0.0,log_loss,sqrt,100,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.3360862731933594,0.014506340026855469,0.10681569576263428,0.02136671543121338,,0.0,log_loss,log2,100,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.3180159330368042,0.0023435354232788086,0.10354971885681152,0.0003502368927001953,,0.0,log_loss,log2,100,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.3354860544204712,0.012739777565002441,0.12427854537963867,0.006402730941772461,,0.0,entropy,sqrt,100,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'entropy', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.3254969120025635,0.02724313735961914,0.11030519008636475,0.0036700963973999023,,0.0,entropy,sqrt,100,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'entropy', 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6817927792165995,0.6941953630589351,0.6879940711377673,0.006201291921167806,1,0.6941428571428571,0.6986231884057971,0.6963830227743271,0.0022401656314700036,167,0.6882352941176471,0.6982248520710059,0.6932300730943265,0.004994778976679437,1
0.7885900735855103,0.0032662153244018555,0.24628198146820068,0.023983359336853027,,0.0,log_loss,log2,250,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'log2', 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.7031363292760062,0.6713638227335283,0.6872500760047673,0.015886253271238937,9,0.707,0.6950724637681159,0.701036231884058,0.005963768115942014,93,0.711764705882353,0.6745562130177515,0.6931604594500522,0.01860424643230074,17
0.679306149482727,0.046039700508117676,0.20891785621643066,0.023926734924316406,,0.0,log_loss,log2,250,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.0, 'classify__criterion': 'log_loss', 'classify__max_features': 'log2', 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.7031363292760062,0.6713638227335283,0.6872500760047673,0.015886253271238937,9,0.707,0.6950724637681159,0.701036231884058,0.005963768115942014,93,0.711764705882353,0.6745562130177515,0.6931604594500522,0.01860424643230074,17
