Fold,Model,MAE_Real,RMSE_Real,MAPE_Perc,R2_LogScale
1,GradientBoosting,105.23429886633852,398.32931019962524,0.8712926100490589,0.6836564322376519
2,GradientBoosting,103.57774624257668,328.66377481073147,0.9414604557968428,0.6155833026726616
3,GradientBoosting,108.03537093688514,384.0160938124411,1.0829040138354467,0.6041378574989564
4,GradientBoosting,110.87876733608825,433.0920774416455,0.8169233342471091,0.6481429672979409
5,GradientBoosting,116.98402745708167,461.23772829023306,1.1442612481448367,0.5639109515775631
6,GradientBoosting,119.30325641036087,365.51061628355825,0.8007279746325238,0.6388955457376781
7,GradientBoosting,94.09320734278927,225.56097693031302,0.9645025659070461,0.6200900812224988
8,GradientBoosting,102.87908785794225,461.5243522419429,1.0986118629873818,0.6094967320538951
9,GradientBoosting,95.00522187963621,232.9984676093506,0.9324731935820201,0.6328513881984505
10,GradientBoosting,94.7040023881576,227.10161801177767,0.9893072058552265,0.6447175829291729
