mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__n_components,param_classify__shrinkage,param_classify__solver,param_classify__store_covariance,param_classify__tol,param_select,param_transform,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.01434030532836914,0.0034818143215330946,0.03516678810119629,0.009794801983504854,,1,,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': 1, 'classify__shrinkage': None, 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5433390531856895,0.5875433125433125,0.5656108597285068,0.553766037576229,0.05249684164547613,1,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.6057692307692307,0.6346153846153846,0.5961538461538461,0.5961538461538461,0.05124197151720857,1
0.012977170944213866,0.00543677809316483,0.029401063919067383,0.007709370275854449,,1,0.0,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': 1, 'classify__shrinkage': 0.0, 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5433390531856895,0.5875433125433125,0.5656108597285068,0.553766037576229,0.05249684164547613,1,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.6057692307692307,0.6346153846153846,0.5961538461538461,0.5961538461538461,0.05124197151720857,1
0.01898031234741211,0.0049744045220912305,0.039202642440795896,0.004320626098866958,,,,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': None, 'classify__shrinkage': None, 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5433390531856895,0.5875433125433125,0.5656108597285068,0.553766037576229,0.05249684164547613,1,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.6057692307692307,0.6346153846153846,0.5961538461538461,0.5961538461538461,0.05124197151720857,1
0.012496089935302735,0.0024899690024060795,0.022009658813476562,0.0033890622500011517,,,0.0,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': None, 'classify__shrinkage': 0.0, 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5433390531856895,0.5875433125433125,0.5656108597285068,0.553766037576229,0.05249684164547613,1,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.6057692307692307,0.6346153846153846,0.5961538461538461,0.5961538461538461,0.05124197151720857,1
0.04176416397094727,0.007458775695629384,0.03426685333251953,0.004784356251160804,,,auto,eigen,True,0.0001,,,"{'balance': None, 'classify__n_components': None, 'classify__shrinkage': 'auto', 'classify__solver': 'eigen', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4937851658239083,0.5875433125433125,0.5053499132446502,0.6207932692307693,0.5466379774072081,0.5508219276499696,0.04813076040208861,5,0.4614944719786504,0.6301944338543652,0.6092260770110559,0.5882577201677469,0.5765151515151514,0.5731375709053939,0.05875725382448363,33,0.5288461538461539,0.6346153846153846,0.5769230769230769,0.6538461538461539,0.5865384615384616,0.5961538461538461,0.04427255551238976,1
0.029739952087402342,0.0035603903011852964,0.03357291221618652,0.006605414482757878,,,auto,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': None, 'classify__shrinkage': 'auto', 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4937851658239083,0.5875433125433125,0.5053499132446502,0.6207932692307693,0.5466379774072081,0.5508219276499696,0.04813076040208861,5,0.4614944719786504,0.6301944338543652,0.6092260770110559,0.5882577201677469,0.5765151515151514,0.5731375709053939,0.05875725382448363,33,0.5288461538461539,0.6346153846153846,0.5769230769230769,0.6538461538461539,0.5865384615384616,0.5961538461538461,0.04427255551238976,1
0.011694097518920898,0.008246684600432116,0.012894201278686523,0.008051062545978073,,1,auto,lsqr,True,0.0001,,,"{'balance': None, 'classify__n_components': 1, 'classify__shrinkage': 'auto', 'classify__solver': 'lsqr', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4937851658239083,0.5875433125433125,0.5053499132446502,0.6207932692307693,0.5466379774072081,0.5508219276499696,0.04813076040208861,5,0.4614944719786504,0.6301944338543652,0.6092260770110559,0.5882577201677469,0.5765151515151514,0.5731375709053939,0.05875725382448363,33,0.5288461538461539,0.6346153846153846,0.5769230769230769,0.6538461538461539,0.5865384615384616,0.5961538461538461,0.04427255551238976,1
0.021181917190551756,0.00175747292898,0.01720256805419922,0.0023639333645737973,,1,auto,eigen,True,0.0001,,,"{'balance': None, 'classify__n_components': 1, 'classify__shrinkage': 'auto', 'classify__solver': 'eigen', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4937851658239083,0.5875433125433125,0.5053499132446502,0.6207932692307693,0.5466379774072081,0.5508219276499696,0.04813076040208861,5,0.4614944719786504,0.6301944338543652,0.6092260770110559,0.5882577201677469,0.5765151515151514,0.5731375709053939,0.05875725382448363,33,0.5288461538461539,0.6346153846153846,0.5769230769230769,0.6538461538461539,0.5865384615384616,0.5961538461538461,0.04427255551238976,1
0.019305944442749023,0.00823521865670083,0.04021148681640625,0.014042530527575783,,1,,svd,True,0.0001,,,"{'balance': None, 'classify__n_components': 1, 'classify__shrinkage': None, 'classify__solver': 'svd', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5278340080971661,0.5875433125433125,0.5656108597285068,0.5506650285585243,0.05347010151203005,9,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.5961538461538461,0.6346153846153846,0.5961538461538461,0.5942307692307692,0.05102499677469846,9
0.025458669662475585,0.008396211012540013,0.0426750659942627,0.0060915781390418625,,,,svd,True,0.0001,,,"{'balance': None, 'classify__n_components': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'classify__store_covariance': True, 'classify__tol': 0.0001, 'select': None, 'transform': None}",0.4594536918480581,0.6128832705755782,0.5278340080971661,0.5875433125433125,0.5656108597285068,0.5506650285585243,0.05347010151203005,9,0.44891345787266496,0.6416317194052612,0.6244757910789173,0.5833015630956919,0.5643939393939394,0.572543294169295,0.06772988039725517,37,0.5,0.6442307692307693,0.5961538461538461,0.6346153846153846,0.5961538461538461,0.5942307692307692,0.05102499677469846,9
