Treatment,Tissue,Protection,Mouse_pre,Mouse_peak,Age_prime_peak,Age_challenge_peak,Body_score_peak,Weight_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
DPP15.IN,Lung,0.0,R3-4,E3,2.0,10.0,3.0,-15.4,-1.1121201136241452,0.6191822332389222,0.5771229041934038,3.5649085022633655,0.07579104916153884,2.7657717155255295,-2.971539243315817,-3.147646927817268,-1.652744694413317,0.08134795375351825,-0.9633189499293392,4.1963896263081155,-0.4935102846792073,-3.6540633072734754,-1.6575683113963782,3.9307658899745612,-3.6468219608019465,-6.987068572935496,0.7965290777504674,2.1653982349421885,3.604932246687674,-5.590115161810718,-4.307041317328998,2.0959134826669295,2.9189032546609464,2.3620032134872564,3.962975050573405,-1.5174219776053324,6.810402063155544,0.11727598314619866,0.6907446708313705,-0.27878194643751897,3.3107907005334063,2.561014110085767,4.636400908660599,3.2397409389158476
DPP15.IN,Lung,0.0,R3-5,E1,2.0,10.0,3.0,-14.6,-1.9468069266900776,-0.6237795392199392,-0.011623415849304593,3.642771285711598,-1.3268030652056912,3.963774015856186,-1.507072887441159,-14.628384805316447,-1.6946342561280718,-0.024330852526687215,0.21562383313428699,5.898546144701806,-2.0977319356312862,-2.118567077773636,-1.9297075785738194,2.985218562877598,-15.519188948044711,-19.5914303395416,0.3267149125560248,2.7149309344814503,1.9424926538306397,-13.42083126576446,-4.165972204182887,1.746924072235878,2.4609715386779825,2.933067289472901,3.563626418858132,-0.5397506636520532,5.140365604902097,0.677232846931322,0.44868378678091536,-0.2873741091390021,4.785050592126686,-0.2341749813715312,3.67749557712892,2.8376920597255784
DPP15.IN,Lung,0.0,R3-5,E2,2.0,10.0,3.0,-16.2,-1.5065647511579634,-0.5802926142185638,-0.19766706811365792,4.180573599329492,-1.4753171046060516,4.186163605539727,-1.7879122388162418,0.05953549767557207,0.8719013013034292,-0.06717512425927043,1.573800281990237,8.968141653018296,-1.3480006315173991,-1.8687591316513377,-1.8421687635441184,3.409640050361482,1.3866980960468502,-5.685461055124748,-0.23079939876919534,2.8302966755371486,1.6354565784628452,-3.9944635046362373,-3.1706676761288985,2.3120091455283673,1.9147429521837653,3.4497827711815963,3.9396608697141478,-0.239236030397173,5.4054557633750075,1.0454347165910822,0.40616071830647565,-0.24276056655133132,-6.727051837704498,0.30410658853274425,3.6244569775068354,2.7068445961000265
DPP15.IN,Lung,0.0,R3-5,E3,2.0,10.0,3.0,-15.4,-1.273518077354169,0.031863323034656055,0.31553829374433934,3.454565818324625,-0.3742980435725594,4.024026924760454,-1.6133999549578104,-0.9653639637638534,-0.1845887040490535,-0.09300275401817884,0.7397307529578389,7.877899080652541,-0.7117588989841516,-2.3493747435947347,-2.610767747213884,3.544506458689236,-0.6084609062325811,-5.680655460511449,0.18902027623563747,2.887154410237135,2.6738665722930057,-5.2573612865313315,-3.825055426436965,2.1629830555466567,1.7610959099481986,2.552764476665646,4.026593105005266,-0.8308236267564097,5.916875606792636,0.6759811400851604,0.3811244479638985,0.0790613335945542,5.685145189121637,1.4546138517915685,3.444710866788956,2.8460073269790445
prime,SPL,1.0,C2.1,C3.2,2.0,20.0,0.0,4.3,0.05808008351887379,-0.7747757787775306,-0.3731723750709839,3.2714292990792644,-1.7930073535671547,0.468414021065661,1.5876358563696118,-1.3375996855093404,-1.180583337052686,0.8331512061585776,-2.332585946815748,-1.8761275080299473,0.33995039531413945,1.3172073455048738,0.3704291942084082,1.6548506563014533,0.013818435094000403,-2.3466749154379922,-0.015705380188578914,0.3589519366104002,1.4143318509180474,-0.5657348331942383,-0.7202671194658208,0.6296121510563047,1.741845648004809,0.1139820602449567,0.17364981484904082,0.523389358629613,0.006243683832445644,0.667125833774458,0.907749165214886,0.6945801963387335,-2.362562339102873,-2.717038363921834,-0.32058625799235113,
prime,SPL,1.0,C2.1,C3.3,2.0,20.0,3.0,-13.6,0.6466982965086622,-0.35440581328289245,-0.5892978006783341,2.1303789347910445,-1.5384554919600049,0.32796185716147636,1.059994304830193,-1.6393437802257114,-1.472117724548918,0.7368961207478214,-2.896698400468191,-1.753366364566855,0.6712315168193111,-0.4039736457914164,0.5721286370316484,1.0583159866612788,-1.1204444049990032,-2.2420858002095687,0.367189449082383,-0.1009140040991576,2.8472781868481136,-0.43478523914686784,-0.2930847006928263,0.9161677320893316,1.772437335255144,-0.6483951923646687,1.1851492815615214,-0.12527989910104814,1.842713520308008,0.13704256076017218,0.7703244685951887,0.017390913748330246,-1.9618429833109439,-1.4000277495244613,-0.15250787179166483,
prime,SPL,1.0,C2.1,C3.4,2.0,20.0,0.0,-1.3,-0.44471465069007954,-0.5675060157146586,0.22661424020109927,3.4359058684441863,0.08710197103544232,0.6671310665118138,1.5841730005758647,-0.12340684517074839,-0.11718005138545705,0.5766688953937316,-0.9876640074991919,-0.387338440895323,-0.0643488979243681,1.4613736882673938,0.5916610750607174,1.1930746724164354,0.19937994806341114,-0.710160819606443,-0.4962434845471809,0.17668305444841442,1.189879319368792,-0.3947149303719665,-0.585962358216195,0.18872544262295188,1.1308959205782836,-0.8831218966302233,0.21833349452009349,-0.2782294813785817,0.5312039685652793,-0.23444156307029754,0.0021034158015118256,1.4778361427609623,-1.8542779997072336,-1.640376257924827,1.2959873269409703,
prime,SPL,1.0,C2.1,C3.5,2.0,20.0,1.0,-8.6,0.5641437478202848,-0.4203021581833268,-0.5152177645301088,2.5124297508778684,-1.3098880203923309,0.2485713005350275,1.7729444305552973,0.07645953167906587,-0.8434859500443401,0.6004004319714307,-1.366842552623696,0.02039168825584579,0.7807356556531246,1.6862068592080093,0.13957771108434192,0.8989131612887776,0.3393829315097375,-1.9447138011536338,-1.8082308783159968,0.1964181773414473,2.236083994831083,1.029142298991925,-0.9133837842804008,1.0604218584244005,0.7079266242596384,0.08719275678975329,0.5112953497484616,0.58794012836304,0.8323213072429795,0.7229878286131997,0.8462538027774171,-0.36186729970588755,-0.33535543637777415,-1.1217740611278026,-0.0005146990632732172,
prime,SPL,1.0,C2.2,C3.2,2.0,20.0,0.0,4.3,-0.3798673702825501,-0.41633687855683416,-0.26154917496903735,4.731414534159964,-1.4407927500889706,0.26749101168144596,1.0345638163918323,-2.0577762665833124,-1.1306988132709868,0.7615765877460879,-2.2056233565378776,-2.428362142265684,0.2447936516914102,0.8052863969316978,-0.6877839423153137,2.7226751433365317,0.17828865437027602,-1.1642285013617297,-0.22128892213336518,0.21380326364066823,1.535188528677261,-0.7444612211193924,-1.2133111189197954,0.7685132829030581,1.9867387216135999,0.40136223783093067,0.4662261631976564,1.1456714080426387,-0.13850519398110386,1.1318567727158582,0.8264046652127082,-0.1367112761489814,-2.0973053926667387,-2.4549007459472336,0.5918781826690542,
prime,SPL,1.0,C2.2,C3.3,2.0,20.0,3.0,-13.6,0.20875084270723834,0.004033086937803987,-0.47767460057638766,3.5903641698717443,-1.1862408884818207,0.12703884777726132,0.5069222648524132,-2.3595203612996833,-1.422233200767219,0.6653215023353316,-2.76973581019032,-2.3056009988025914,0.576074773196582,-0.9158945943645926,-0.48608449949207366,2.126140473696357,-0.955974185722728,-1.0596393861333058,0.1616059071375966,-0.24606267706888965,2.9681348646073276,-0.613511627072022,-0.7861287001468008,1.055068863936085,2.0173304088639346,-0.36101501477869485,1.477725629910137,0.49700215031197786,1.6979646424944586,0.6017734997015725,0.6889799685930108,-0.8139005587393846,-1.6965860368748096,-1.137890131549861,0.7599565688697404,
