mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__colsample_bytree,param_classify__learning_rate,param_classify__max_depth,param_classify__n_estimators,param_classify__subsample,param_impute,param_select,param_transform,param_select__k,params,split0_test_balanced_accuracy_scorer,split1_test_balanced_accuracy_scorer,split2_test_balanced_accuracy_scorer,split3_test_balanced_accuracy_scorer,split4_test_balanced_accuracy_scorer,mean_test_balanced_accuracy_scorer,std_test_balanced_accuracy_scorer,rank_test_balanced_accuracy_scorer,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.27670955657958984,0.032301336023712345,0.01885523796081543,0.0014192091178227872,,0.8,0.05,-1,50,1.0,,SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.05, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 1.0, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.7226386806596702,0.5052473763118441,0.55,0.7575757575757576,0.6106060606060606,0.6292135750306664,0.0971532282083568,1,0.7291375291375292,0.49657401422107306,0.5588584673330436,0.7674583481035094,0.6252465483234714,0.6354549814237254,0.10144995780117133,2,0.7346326836581708,0.5622188905547226,0.556060606060606,0.7848484848484849,0.5590909090909092,0.6393703148425787,0.09957554890177438,101,0.7307692307692307,0.5384615384615384,0.5576923076923077,0.7692307692307693,0.6346153846153846,0.6461538461538462,0.09150290194900247,2
0.3923940181732178,0.06348869617926753,0.027801942825317384,0.007945538808237269,,1.0,0.01,5,200,1.0,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 1.0, 'classify__learning_rate': 0.01, 'classify__max_depth': 5, 'classify__n_estimators': 200, 'classify__subsample': 1.0, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.7008995502248876,0.5442278860569715,0.6227272727272727,0.706060606060606,0.5651515151515152,0.6278133660442506,0.06693747717908015,2,0.7085691662512097,0.5385261797026503,0.6333616821607672,0.7217519322782481,0.5790486238247432,0.6362515168435238,0.07123331676803,1,0.7496251874062968,0.5307346326836582,0.5598484848484848,0.7454545454545455,0.5151515151515151,0.6201628731089001,0.10499629983884529,557,0.7115384615384616,0.5769230769230769,0.6346153846153846,0.7307692307692307,0.5961538461538461,0.65,0.06129760557888165,1
0.08006296157836915,0.020082854660897927,0.024094533920288087,0.009038119232628263,SMOTE(random_state=42),0.8,0.1,-1,50,1.0,SimpleImputer(strategy='median'),,StandardScaler(),,"{'balance': SMOTE(random_state=42), 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.1, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 1.0, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': StandardScaler()}",0.6446776611694153,0.6011994002998501,0.5166666666666666,0.7469696969696971,0.6166666666666667,0.6252360183544592,0.07434455313780852,3,0.6517482517482518,0.6094765449604159,0.5219226462227582,0.7506591337099812,0.6299472884838739,0.6327507730250563,0.07361482000973502,3,0.661169415292354,0.5922038980509745,0.5196969696969698,0.7924242424242425,0.553030303030303,0.6237049656989686,0.09661745987209541,437,0.6538461538461539,0.6153846153846154,0.5192307692307693,0.75,0.6346153846153846,0.6346153846153846,0.07398224639104362,33
0.06794214248657227,0.011542275393502157,0.01964421272277832,0.003169502244054193,SMOTE(random_state=42),0.8,0.1,-1,50,1.0,,,StandardScaler(),,"{'balance': SMOTE(random_state=42), 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.1, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 1.0, 'impute': None, 'select': None, 'transform': StandardScaler()}",0.6446776611694153,0.6011994002998501,0.5166666666666666,0.7469696969696971,0.6166666666666667,0.6252360183544592,0.07434455313780852,3,0.6517482517482518,0.6094765449604159,0.5219226462227582,0.7506591337099812,0.6299472884838739,0.6327507730250563,0.07361482000973502,3,0.661169415292354,0.5922038980509745,0.5196969696969698,0.7924242424242425,0.553030303030303,0.6237049656989686,0.09661745987209541,437,0.6538461538461539,0.6153846153846154,0.5192307692307693,0.75,0.6346153846153846,0.6346153846153846,0.07398224639104362,33
0.07794785499572754,0.028722134162900557,0.02710733413696289,0.010180491043852638,SMOTE(random_state=42),0.8,0.1,-1,50,0.8,SimpleImputer(strategy='median'),,StandardScaler(),,"{'balance': SMOTE(random_state=42), 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.1, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 0.8, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': StandardScaler()}",0.6446776611694153,0.6011994002998501,0.5166666666666666,0.7469696969696971,0.6166666666666667,0.6252360183544592,0.07434455313780852,3,0.6517482517482518,0.6094765449604159,0.5219226462227582,0.7506591337099812,0.6299472884838739,0.6327507730250563,0.07361482000973502,3,0.661169415292354,0.5922038980509745,0.5196969696969698,0.7924242424242425,0.553030303030303,0.6237049656989686,0.09661745987209541,437,0.6538461538461539,0.6153846153846154,0.5192307692307693,0.75,0.6346153846153846,0.6346153846153846,0.07398224639104362,33
0.06122007369995117,0.009491646603989554,0.018335580825805664,0.0013931410972008447,SMOTE(random_state=42),0.8,0.1,-1,50,0.8,,,StandardScaler(),,"{'balance': SMOTE(random_state=42), 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.1, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 0.8, 'impute': None, 'select': None, 'transform': StandardScaler()}",0.6446776611694153,0.6011994002998501,0.5166666666666666,0.7469696969696971,0.6166666666666667,0.6252360183544592,0.07434455313780852,3,0.6517482517482518,0.6094765449604159,0.5219226462227582,0.7506591337099812,0.6299472884838739,0.6327507730250563,0.07361482000973502,3,0.661169415292354,0.5922038980509745,0.5196969696969698,0.7924242424242425,0.553030303030303,0.6237049656989686,0.09661745987209541,437,0.6538461538461539,0.6153846153846154,0.5192307692307693,0.75,0.6346153846153846,0.6346153846153846,0.07398224639104362,33
0.2927543163299561,0.0460152233092106,0.027570152282714845,0.00950884212161042,,1.0,0.05,-1,50,1.0,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 1.0, 'classify__learning_rate': 0.05, 'classify__max_depth': -1, 'classify__n_estimators': 50, 'classify__subsample': 1.0, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.7181409295352323,0.5052473763118441,0.5484848484848485,0.7469696969696971,0.6045454545454546,0.6246776611694153,0.09398400708981722,7,0.7266335814722911,0.49657401422107306,0.562753036437247,0.7506591337099812,0.6191392310795295,0.6311517993840243,0.09626281369016007,8,0.7361319340329835,0.6071964017991004,0.48030303030303034,0.7636363636363637,0.48636363636363633,0.6147262732270229,0.11959667490854033,778,0.7307692307692307,0.5384615384615384,0.5769230769230769,0.75,0.6346153846153846,0.6461538461538461,0.08302705055739579,4
0.37300992012023926,0.11475022077054256,0.02793283462524414,0.009748124644200861,,0.8,0.05,3,200,0.8,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.05, 'classify__max_depth': 3, 'classify__n_estimators': 200, 'classify__subsample': 0.8, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.6139430284857571,0.5749625187406296,0.6227272727272727,0.7575757575757576,0.5378787878787878,0.621417473081641,0.07447608480815336,8,0.6214990138067061,0.5816568047337278,0.6333616821607672,0.7674583481035094,0.5520414544804789,0.6312034606570379,0.07400773324033258,7,0.656671664167916,0.6371814092953523,0.6204545454545455,0.7590909090909091,0.5166666666666666,0.638013038935078,0.07751377851829862,109,0.6346153846153846,0.5961538461538461,0.6346153846153846,0.7692307692307693,0.5576923076923077,0.6384615384615385,0.07133552688842851,15
0.30953278541564944,0.04898120739281859,0.02064671516418457,0.0006659770986595235,,1.0,0.05,3,50,0.8,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 1.0, 'classify__learning_rate': 0.05, 'classify__max_depth': 3, 'classify__n_estimators': 50, 'classify__subsample': 0.8, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.631184407796102,0.5487256371814093,0.6439393939393939,0.7181818181818183,0.5590909090909091,0.6202244332379265,0.06185071589011591,9,0.638387927861612,0.549270990447461,0.659229838334316,0.728701406120761,0.5705685618729097,0.629231744927412,0.06436307341167381,10,0.732383808095952,0.5127436281859071,0.5734848484848485,0.7787878787878789,0.48787878787878786,0.6170557902866749,0.11740866426759183,679,0.6538461538461539,0.5769230769230769,0.6730769230769231,0.7307692307692307,0.5961538461538461,0.6461538461538462,0.05520269267079741,2
0.35273470878601076,0.08813378138962938,0.02426118850708008,0.008353097666357145,,0.8,0.01,-1,200,1.0,,SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,20,"{'balance': None, 'classify__colsample_bytree': 0.8, 'classify__learning_rate': 0.01, 'classify__max_depth': -1, 'classify__n_estimators': 200, 'classify__subsample': 1.0, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 20, 'transform': None}",0.6964017991004497,0.5097451274362819,0.5606060606060606,0.7121212121212122,0.6212121212121212,0.6200172640952252,0.07747102340466076,10,0.7053962297864736,0.5082956259426847,0.5736736381897672,0.7257211538461538,0.6357466063348417,0.6297666508199842,0.08107341818904949,9,0.7136431784107946,0.5704647676161919,0.5636363636363636,0.7257575757575758,0.4954545454545455,0.6137912861750944,0.09044682200672549,819,0.7115384615384616,0.5384615384615384,0.5769230769230769,0.7307692307692307,0.6538461538461539,0.6423076923076922,0.07457969011409739,6
