mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__max_depth,param_classify__max_features,param_classify__n_estimators,param_impute,param_select,param_transform,param_select__k,params,split0_test_balanced_accuracy_scorer,split1_test_balanced_accuracy_scorer,split2_test_balanced_accuracy_scorer,split3_test_balanced_accuracy_scorer,split4_test_balanced_accuracy_scorer,mean_test_balanced_accuracy_scorer,std_test_balanced_accuracy_scorer,rank_test_balanced_accuracy_scorer,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
1.027665090560913,0.06709755974606757,0.09021201133728027,0.0022178424728098198,SMOTE(random_state=42),,log2,200,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,10,"{'balance': SMOTE(random_state=42), 'classify__max_depth': None, 'classify__max_features': 'log2', 'classify__n_estimators': 200, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 10, 'transform': None}",0.6964017991004497,0.5359820089955023,0.4318181818181818,0.7803030303030303,0.5257575757575758,0.5940525191949481,0.12611184850220283,1,0.7053962297864736,0.5418145956607495,0.44377806750688104,0.7877357107246546,0.5389580165699569,0.6035365240497431,0.12474572901210096,1,0.6326836581709145,0.4910044977511244,0.42348484848484846,0.8106060606060606,0.4492424242424242,0.5614042978510744,0.1440419786220647,52,0.7115384615384616,0.5576923076923077,0.4423076923076923,0.7884615384615384,0.5576923076923077,0.6115384615384615,0.12307692307692307,1
0.5859182834625244,0.06172950687944229,0.07659893035888672,0.025120648188382673,SMOTE(random_state=42),10,sqrt,100,,SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,10,"{'balance': SMOTE(random_state=42), 'classify__max_depth': 10, 'classify__max_features': 'sqrt', 'classify__n_estimators': 100, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 10, 'transform': None}",0.6836581709145427,0.553223388305847,0.42121212121212126,0.7242424242424242,0.5257575757575758,0.5816187360865023,0.1099187061309948,2,0.6904428904428905,0.558029689608637,0.42651098901098905,0.7307692307692307,0.5389580165699569,0.5889421632803409,0.10977722624698985,2,0.6401799100449775,0.5329835082458771,0.4643939393939394,0.75,0.5121212121212121,0.5799357139612012,0.10266882925129595,8,0.6923076923076923,0.5769230769230769,0.4230769230769231,0.7307692307692307,0.5576923076923077,0.5961538461538461,0.10878565864408422,11
0.344036865234375,0.06080284740553828,0.056078004837036136,0.009404330463992912,,5,log2,100,,,,,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': None, 'select': None, 'transform': None}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
0.39476165771484373,0.037001355264112606,0.05840754508972168,0.007879525481968559,,5,log2,100,SimpleImputer(strategy='median'),,,,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
0.5249048709869385,0.06887607237889075,0.05235109329223633,0.018844455797679262,,5,log2,100,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,all,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 'all', 'transform': None}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
0.558179521560669,0.07823135614814826,0.06031322479248047,0.019304964039774827,,5,log2,100,,SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,all,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': None, 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 'all', 'transform': None}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
0.268433141708374,0.04025585038147811,0.0535064697265625,0.015631428141411097,,5,log2,100,SimpleImputer(strategy='median'),,StandardScaler(),,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': StandardScaler()}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
0.27649917602539065,0.0363841383327334,0.04626874923706055,0.0121562778089212,,5,log2,100,,,StandardScaler(),,"{'balance': None, 'classify__max_depth': 5, 'classify__max_features': 'log2', 'classify__n_estimators': 100, 'impute': None, 'select': None, 'transform': StandardScaler()}",0.5794602698650675,0.4835082458770615,0.5606060606060606,0.7393939393939394,0.5363636363636364,0.5798664304211532,0.08602039961580948,3,0.5875547217010632,0.46854788404084186,0.5736736381897672,0.7571644042232276,0.5449256625727215,0.5863732621455243,0.09479769379406236,4,0.5832083958020989,0.502248875562219,0.4666666666666667,0.7954545454545454,0.47424242424242424,0.5643641815455909,0.12270526271750094,39,0.5961538461538461,0.5192307692307693,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6076923076923076,0.08479002955787925,2
1.0944921970367432,0.15669665086130466,0.1000138759613037,0.014680247254441156,SMOTE(random_state=42),,sqrt,200,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,10,"{'balance': SMOTE(random_state=42), 'classify__max_depth': None, 'classify__max_features': 'sqrt', 'classify__n_estimators': 200, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 10, 'transform': None}",0.6791604197901049,0.5187406296851574,0.4772727272727273,0.7015151515151515,0.5196969696969698,0.5792771795920222,0.09223683324038373,9,0.6875812359683328,0.5254807692307693,0.48367645792057884,0.7105486964427109,0.5296703296703297,0.5873914978465442,0.09287320417771294,3,0.6581709145427287,0.5142428785607196,0.4666666666666667,0.7757575757575758,0.5318181818181819,0.5893312434691745,0.11268211117231967,4,0.6923076923076923,0.5384615384615384,0.4807692307692308,0.7115384615384616,0.5576923076923077,0.5961538461538461,0.09020030307352749,11
0.7711291313171387,0.07547823130040283,0.07173576354980468,0.001882489536926401,,10,log2,200,SimpleImputer(strategy='median'),SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>),,10,"{'balance': None, 'classify__max_depth': 10, 'classify__max_features': 'log2', 'classify__n_estimators': 200, 'impute': SimpleImputer(strategy='median'), 'select': SelectKBest(score_func=<function mutual_info_classif at 0x7a970c879120>), 'select__k': 10, 'transform': None}",0.6356821589205397,0.4880059970014992,0.5272727272727272,0.7015151515151515,0.5424242424242425,0.5789800554268321,0.07812327805395428,10,0.6441105769230769,0.4820035037426341,0.5384615384615384,0.7105486964427109,0.5548014077425842,0.585985144662509,0.08116371670962674,10,0.6701649175412293,0.4782608695652174,0.4833333333333334,0.7545454545454545,0.5424242424242425,0.5857457634818954,0.10912194255163242,5,0.6538461538461539,0.5192307692307693,0.5384615384615384,0.7115384615384616,0.5769230769230769,0.6,0.07236495277779531,10
