Treatment,Tissue,Target,Mouse_pre,Mouse_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
PBS,SPL,0.0,R1-2,A1,-1.2945812128599943,1.1631647071427051,1.1842955070773584,-0.4774129995347117,0.45958668052444634,-0.31843091661249895,-1.680723550823083,-2.3124573993672657,0.40411867172835153,-0.44994050529700924,0.35190102461625444,-1.3367128062508549,-0.6673838916763333,-1.8396438695241555,-0.2920322317354886,-1.0373344513545169,-0.4547474397199388,-0.22774547441671256,-0.6664900750820519,-0.4734354522291444,0.07261284401333165,0.04329793811405095,0.8575438746708292,-1.1042645953683174,0.9363698100915665,-0.419432918649933,-0.8370970853932692,-0.6662476932411213,-0.6660371214248185,-1.2734053917246022,-2.3598784597448605,0.547761997251695,-0.5443625313755077,0.8012841311393939,0.6612661405891578,-0.6247558791488984
PBS,SPL,0.0,R1-2,A2,-0.841618805594515,1.184669157928065,0.8917209221867198,0.05091943656077984,0.7077968752924113,0.12461165041177108,-0.5124976160104447,-0.24613327534521381,1.0899469240115498,-0.1276925780938049,0.8000039340538082,-0.1571434637409131,-0.47895116715126773,-0.42890094954539676,-0.21086588246564741,-0.49120682190762993,-0.020302547507757215,0.22889170707543668,0.1986718592556062,-0.33487285471839545,0.122457111192609,0.21655308351991548,0.582431948045098,-0.9107796661798421,0.4024080891061776,-0.2227358914852544,-0.6083882644572379,-0.7943826498246435,-0.45663466314104145,-0.8138654477847532,-0.7572656068172465,0.5402625058823107,-0.13640553865777483,0.9165212295941243,-0.14905920725258476,-0.6590504040344248
PBS,SPL,0.0,R1-2,A3,-0.9520300221386541,0.7332570846254853,1.7543584009458422,0.3093353698493752,1.1419009586093327,0.5183438975067831,-0.3378957286677018,-0.7261983389083737,1.2619685672437162,-0.21977976840962843,0.7646728886215087,-0.43351169807900813,-0.22171844320951753,-0.179841955021993,-0.673247395245423,-0.7421351542042632,-0.05754784528592866,-0.05374118100419682,0.3090201206362509,-0.23341411160613945,0.09171778960407159,0.40263688803421793,0.8474649045636754,-0.4236539136771809,0.9908783176804294,-0.24718128226542052,-0.6056778318699468,-0.9704523251680957,-0.4537147161459342,-1.0996571714101346,-0.33227074952645497,0.8004206802574401,-0.4777999961484451,1.2089073006750055,-0.43782512263633705,-0.6618683595202004
PBS,SPL,0.0,R1-2,A4,-0.30034068957855226,0.9556606910609305,1.2543759010410174,0.11855741389128795,0.8784524530764228,0.2560708717138434,-0.32766354280949217,-0.3961872600381467,1.2601505183085004,-0.26789450604983406,0.8070995918171235,-0.22204664362346707,0.08688269555046702,-0.22075731352249212,-0.33678530857470096,-0.537576151023787,-0.0017129775166918745,0.31049205119834444,0.1532917217452094,-0.34994757844602714,0.10192188390902078,0.3145427371510919,0.7627598413885557,-0.533694069617482,0.6419242409151447,-0.1326604038889878,-0.5363828104599736,-0.9372474378162464,-0.4163416859839865,-1.2539099773666837,-0.5327979324307793,0.9635310997829762,-0.08362570044762165,1.3175487443102425,-0.4584019756268563,-0.6227657430874087
PBS,SPL,0.0,R1-2,A5,-0.8857915795906497,1.0538735586407109,0.898944836865722,-0.04699057099818266,0.9124144194895162,-0.21897695507613485,-0.819486711437684,-0.9261752924325913,0.44161268763704736,-0.19161149942498099,0.4363454637338249,-0.8405105111864741,-0.5841099852762017,-0.8763090150921607,0.19802098455859668,-1.8448142183306337,-0.3962979763197319,-0.28566427754178814,-0.4451365204607652,-0.39784395976409626,0.18077435929131033,0.11753706095614425,0.7907727093751991,-1.0712803991189424,0.8916295529585001,-0.361393896953876,-0.9497490153064718,-0.6776650132062177,-0.7353194875893528,-1.002832590954554,-1.2205738793130039,0.32063204932353834,-0.29133098111514494,0.8405402911548331,-0.034620793873654604,-0.6978839936807715
PBS,SPL,0.0,R1-3,A1,-0.9881511232350492,0.5659424299042517,-0.2825366029318997,-0.5878070135587126,-0.47490698348089366,-0.8541962488205205,-1.5830856367121926,-2.3231611435783415,-0.08237002932105289,-0.35078376446268444,0.10022370125778193,-1.4294554001705997,-0.665213136525508,-1.5110792788318015,-0.23130089188331254,0.08615223852552464,-0.3692596296335451,-0.13910211963412825,-0.5664718616596206,-0.8075219641223778,0.11640545508635096,0.1795354391727341,0.7869907159128195,-1.052359596950707,0.3308931051983731,-0.24058970215864717,-0.966400817367526,-0.40165309259314974,-0.8507756269170301,-0.7529544668641376,-2.5752831230327584,0.6164507438944788,-0.4486373484391384,-0.37328608949970987,0.4194020166387401,-0.6947594865145658
PBS,SPL,0.0,R1-3,A2,-0.53518871596957,0.5874468806896113,-0.5751111878225381,-0.059474577463221046,-0.22669678871292875,-0.41115368179625045,-0.41485970189955435,-0.256837019556289,0.6034582229621456,-0.028535837259480033,0.5483266106953356,-0.24988605766065783,-0.4767804120004426,-0.10033635885304269,-0.1501345426134715,0.6322798679724113,0.0651852625786365,0.3175350618580209,0.29869007267803765,-0.6689593666116289,0.1662497222656284,0.35279058457859863,0.5118787892870883,-0.8588746677622316,-0.2030686157870158,-0.04389267499396853,-0.7376919964314949,-0.5297880491766719,-0.6413731686332529,-0.29341452292428805,-0.9726702701051442,0.6089512525250945,-0.040680355721405645,-0.25804899104497936,-0.3909233312030025,-0.7290540114000923
PBS,SPL,0.0,R1-3,A3,-0.6455999325137088,0.13603480738703194,0.2875262909365845,0.1989413558253745,0.2074072946039924,-0.01742143470123846,-0.24025781455681158,-0.7369020831194489,0.7754798661943118,-0.12062302757530367,0.5129955652630362,-0.526254291998753,-0.21954768805869235,0.1487226356703611,-0.6125160553932469,0.38135153567577806,0.027939964800465098,0.034902173778387426,0.4090383340586823,-0.567500623499373,0.1355104006770909,0.5388743890929011,0.7769117458056657,-0.3717489152595704,0.38540161278723606,-0.06833806577413463,-0.7349815638442039,-0.7058577245201242,-0.6384532216381456,-0.5792062465496693,-0.547675412814353,0.8691094269002241,-0.3820748132120759,0.03433708003590184,-0.6796892465867547,-0.7318719668858678
PBS,SPL,0.0,R1-3,A4,0.006089400046393268,0.3584384138224773,-0.21245620896824075,0.008163399867286912,-0.05604121092891755,-0.2796944604941783,-0.23002562869860177,-0.40689100424922187,0.7736618172590962,-0.16873776521550923,0.5554222684586512,-0.3147892375432118,0.08905345070129203,0.10780727716986221,-0.27605396872252497,0.5859105388562543,0.08377483256970183,0.39913540598092867,0.25330993516764083,-0.6840340903392605,0.14571449498204017,0.45078023820977503,0.692206682630546,-0.48178907119987147,0.03644753602195157,0.046182812602298076,-0.6656865424342305,-0.672652837168275,-0.601080191476198,-0.7334590525062187,-0.7482025957186773,1.03221984642576,0.012099482488747529,0.1429785236711388,-0.700266099577274,-0.6927693504530762
PBS,SPL,0.0,R1-3,A5,-0.5793614899657044,0.4566512814022572,-0.5678872731435362,-0.15738458502218353,-0.022079244515823993,-0.7547422872841564,-0.7218487973267936,-0.9368790366436666,-0.04487601341235695,-0.09245475859065592,0.18466814037535242,-0.9332531051062187,-0.5819392301253767,-0.5477444243998066,0.2587523244107726,-0.7213275284505923,-0.31081016623333824,-0.19702092275920394,-0.3451183070383338,-0.7319304716573297,0.22456697036432963,0.2537745620148274,0.7202195506171893,-1.0193754007013318,0.28615284806530694,-0.18255068046259015,-1.0790527472807288,-0.413070412558246,-0.9200579930815642,-0.48238166609408883,-1.4359785426009015,0.38932079596632224,-0.19560579817877569,-0.33402992948427057,-0.27648491782407225,-0.7678876010464388
PBS,SPL,0.0,R1-4,A1,-0.6711835858214429,0.5133547600746934,-0.041091879092460946,-0.6532307175536787,-0.2204673839970637,-0.63864002610113,-1.4682681481747981,-2.2730641895908894,-0.32585948660541797,-0.5581013012031332,-0.07437404668861897,-1.4052378680039574,-0.1534510388515793,-1.7817837406951242,-0.596094983213717,-0.8107031955806636,-0.539808066658126,-0.4665406630524164,-0.7826834282303031,-0.6188383124874093,0.0732451223915108,-0.016124131162100066,0.6568345956208469,-1.0360893945078582,0.17194365704135325,-0.6254237009505639,-0.65717604221491,-0.552381989307831,-0.4679314826582884,-1.3352189438511004,-1.8253391219395265,0.2837545141913567,-0.6045118226060426,0.40511327221294147,0.2971038074634124,-0.6567742556876154
PBS,SPL,0.0,R1-4,A2,-0.2182211785559635,0.534859210860053,-0.3336664639830996,-0.12489828145818711,0.027742810770901245,-0.19559745907686,-0.3000422133621599,-0.2067400655688369,0.35996876567778047,-0.23585337399992884,0.37372886274893463,-0.22566852549401542,0.03498168567348621,-0.3710408207163654,-0.5149286339438758,-0.26457556613377675,-0.10536317444594445,-0.009903481560267217,0.08247850610735506,-0.4802757149766602,0.12308938957078816,0.15713101424376447,0.3817226689951157,-0.8426044653193829,-0.3620180639440357,-0.4287266737858852,-0.4284672212788788,-0.680516945891353,-0.25852902437451136,-0.8756789999112513,-0.22272626901191275,0.2762550228219723,-0.19655482988830983,0.5203503706676719,-0.5132215403783301,-0.6910687805731419
