live.cd8,cd4.treg,Macro,B.memory,CD8.GrzmB,B.plasma,NK,live.cd4tconv,Mo0,Target
-0.2544387842416121,0.0235851832721202,-0.6433195425198898,0.8778393389913676,-0.895992974795593,-0.3933150120727755,-0.6513329698166335,0.621088413734649,-0.5764773336764809,0
-0.0274694859903883,-1.3996429131409802,-0.8518647097051268,-0.9647439716349226,-0.7638644352961602,-0.3190701021385786,-1.25753858598685,-0.7847569440746927,-2.665468055180105,0
-0.3095106898581641,-0.8512010148308256,-0.6589897954008156,0.0397054264699811,-0.8298805324612353,-0.3974059971603991,-0.7558340688316358,0.6732963154824151,-0.9537345279497808,1
-0.3086472743847906,-0.2341200629643575,-0.815887596384346,-0.3889594831992519,-1.058638996974265,-0.3919259558649036,-0.7315516592278462,0.7889636131970597,-1.4922296575068446,0
-0.1601141719281653,-0.1652956928510858,-0.5685487233855675,-0.4082139699570757,-0.8808163325330606,-0.6835639113870405,-0.3214783986920125,0.4326628954533087,-0.939225870783896,0
0.0654878032354368,0.532606428633207,-0.6447261828670844,-0.223619942345589,-1.1058530323331328,-0.2219034860767582,-0.234928424760044,0.1823764128920313,-0.0646550301975002,0
-0.2267782761762306,-0.102331260394608,-0.6091440418860319,0.1122589908758387,-0.9375274959450826,-0.2599462451858123,-0.081775304649818,0.5513673110573108,-1.1119200441740529,0
0.0175696994018196,-0.9959386272217022,-0.5957863263826755,-1.3757833901394614,-0.8057886544055796,-0.4070105854848164,-0.1056303239903632,0.369383357320192,-2.174401516440307,0
-0.3234786617658007,0.8983132821302128,-0.6622196601956593,-0.9371990558390524,-0.7178428887579209,-0.3685140054604605,-0.6264999467410487,0.2657840009726614,-0.6643798863546371,0
0.1581995152698612,-0.0789280288860716,-0.5093000613889535,0.1927954387168808,-0.5081871626939757,-0.5309358656020456,-0.4342529253663687,0.3053211617341082,-1.0131906047892458,0
-0.1447076938832033,0.1894297348525632,0.3536565955562019,-0.9126771380260726,-0.9346908209410368,-0.4030910690194311,-0.8066970945552078,0.3324323344894962,0.2030728554213158,0
0.1545946494939572,-1.0146347139109555,-0.0742747122089879,0.0712614950352202,-0.7045725492118659,-0.0845884610285498,-0.7969952582135845,-0.029104077081375,-0.7666475114099225,1
0.0271103234654546,-0.1521750637390625,-0.542539566857895,-0.7909383446894438,-0.7815369245771607,-0.4122224486242077,-0.2235730285572597,0.3298657276757358,-0.7726334831350357,0
-0.0536281351591582,-0.4267271724316895,0.5473771822738775,-0.1256124203056568,-0.7324946295790671,-1.041328434601548,-0.4249832000229736,0.3076292251218586,-1.704247080196472,0
