live.cd8,cd4.treg,Macro,B.memory,CD8.GrzmB,B.plasma,NK,live.cd4tconv,Mo0,Target
-0.0274694859903883,-1.3996429131409802,-0.8518647097051268,-0.9647439716349226,-0.7638644352961602,-0.3190701021385786,-1.25753858598685,-0.7847569440746927,-2.665468055180105,0
0.0654878032354368,0.532606428633207,-0.6447261828670844,-0.223619942345589,-1.1058530323331328,-0.2219034860767582,-0.234928424760044,0.1823764128920313,-0.0646550301975002,0
0.0175696994018196,-0.9959386272217022,-0.5957863263826755,-1.3757833901394614,-0.8057886544055796,-0.4070105854848164,-0.1056303239903632,0.369383357320192,-2.174401516440307,0
-0.3234786617658007,0.8983132821302128,-0.6622196601956593,-0.9371990558390524,-0.7178428887579209,-0.3685140054604605,-0.6264999467410487,0.2657840009726614,-0.6643798863546371,0
0.0271103234654546,-0.1521750637390625,-0.542539566857895,-0.7909383446894438,-0.7815369245771607,-0.4122224486242077,-0.2235730285572597,0.3298657276757358,-0.7726334831350357,0
-0.4024702641675953,0.0492691584467883,-0.3627383839088876,-0.8182780941847607,-1.0205306996096206,-0.4886643169873388,-0.5875436994412585,0.9008454171592952,-0.8981562107930415,0
-0.1832725326555758,-0.2881872622234525,0.5987863699103847,0.2090714996040427,-0.7194153939042492,-0.112003700884373,-0.3839681516757974,0.3955488808788603,0.1179919479606559,0
0.4050940113111043,-0.0737095897513815,1.154120382785468,0.0654755783953582,-0.8751017924635267,0.3770587208457915,-0.3542579252734075,-0.097208998908639,0.2499796642069292,0
0.68175054309089,-0.2527386722938027,0.7030209511758493,1.0452966096293912,-0.7406983208175913,-0.0261814846884542,-0.4850951097502037,-0.0703109864379847,-0.3666301130185368,1
-1.277710437078944,-0.3897539623238621,-0.8732681651307579,0.8552889810330593,-0.8326773761116656,-0.068041367455581,-0.3637330444216023,-1.107404426724356,-2.507060274859374,1
-0.1182093705765384,-0.6913385399334062,1.2780323661375037,0.3802315463620728,-0.6775617221382227,-0.4847784707778323,-0.1380342909672089,0.5111679012520436,-0.2650884844728307,1
0.5423565130798658,-0.3911170262733592,1.3727707810701828,-0.9179570597791672,-0.7575794443180159,-0.2365740777726664,0.957162114430423,-0.0915436353045282,1.2911015686939622,0
0.1195824691541469,-0.8725677713485911,0.1652348544356414,0.2580413277932259,-0.7242684099498106,0.2422237843198036,0.0298444702834789,0.3544826093943721,-1.7495982434855828,1
-0.202787840835207,-1.0622400405036214,-0.7573652532081719,-1.2441447910796275,-1.3272292328586062,-0.3595920229303852,-0.0519449636313008,0.6282002574237991,0.3702973435771973,0
0.2703460313739481,-0.5679221552886151,0.9357929965807494,0.5188915705187048,-0.9025033978211264,0.1516365609089384,2.4847829498047687,0.3726242878439947,1.5751496962709772,1
-0.4104622452071483,0.0906930401499284,-0.1336829157035388,-0.2109705674451938,-0.8024058593314953,-2.903162702959161,0.4882144052428497,0.6229524776946513,-2.963273026815953,0
0.5315138562588119,-0.1966025859629551,-1.085746354293806,-2.5823163513297867,-0.4288511086418861,2.37067300446807,0.1825843848437499,-0.2503048840540855,-1.8397802538177312,0
0.998189400051795,1.1733230389644416,-0.6192413851498821,0.2297712456882586,-0.736508004821585,-0.1727446418793994,-0.854098669261637,0.3370200796917083,0.4712350550117757,0
