Vaccine dose,D1pv,D2pv,D3pv,D4pv,D5pv,D6pv,D7pv,D8pv,D9pv,D10pv,D11pv,D12pv,D13pv,D14pv,D15pv,D16pv,D17pv,D18pv,D19pv,D20pv,D21pv,D22pv,D23pv,D24pv,D25pv,D26pv,D27pv,D28pv,D29pv,D30pv,D31pv,D32pv,D33pv,D34pv,D35pv,D38pv,D39pv,D40pv,D41pv,D42pv,D45pv,D46pv,D47pv,D48pv,Target,Group,vector_VAC-H5/NP,vector_VAC-H5,vector_VAC-NP,vector_RAB-H5/NP,inoc_Intramuscular,inoc_Intranasal
0.0,101.76470588235293,102.35294117647058,100.58823529411765,100.0,100.0,100.0,101.76470588235293,102.94117647058823,105.29411764705881,102.94117647058823,105.29411764705881,107.6470588235294,108.8235294117647,111.76470588235294,112.94117647058823,112.3529411764706,110.58823529411765,111.02941176470588,111.47058823529412,111.91176470588236,112.3529411764706,114.11764705882352,113.52941176470588,115.29411764705884,112.3529411764706,114.11764705882352,112.94117647058823,113.67647058823529,114.41176470588235,115.1470588235294,115.88235294117646,116.17647058823529,116.47058823529412,116.76470588235294,117.05882352941177,117.3529411764706,117.64705882352942,117.94117647058825,118.23529411764707,118.52941176470588,118.82352941176471,118.82352941176471,118.82352941176471,118.82352941176471,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
0.0,99.45945945945945,97.2972972972973,96.75675675675674,97.2972972972973,98.91891891891892,99.45945945945945,97.2972972972973,97.83783783783785,99.45945945945945,98.37837837837837,100.0,101.62162162162163,101.08108108108107,103.24324324324326,105.40540540540539,103.78378378378379,102.16216216216216,102.97297297297297,103.78378378378378,104.59459459459458,105.40540540540539,104.86486486486486,104.86486486486486,104.32432432432432,105.40540540540539,106.48648648648648,108.10810810810811,108.78378378378379,109.45945945945945,110.13513513513513,110.8108108108108,110.9009009009009,110.990990990991,111.0810810810811,111.17117117117118,111.26126126126127,111.35135135135137,111.35135135135137,111.35135135135137,111.35135135135137,111.35135135135137,111.35135135135137,111.35135135135137,111.35135135135137,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
0.0,97.3404255319149,96.80851063829786,95.74468085106382,95.74468085106382,95.74468085106382,96.80851063829786,95.2127659574468,98.40425531914893,96.80851063829786,97.3404255319149,98.40425531914893,100.53191489361701,98.93617021276596,100.0,102.12765957446808,102.65957446808511,103.72340425531914,104.1223404255319,104.52127659574467,104.92021276595744,105.31914893617021,104.7872340425532,106.38297872340425,104.25531914893618,106.38297872340425,107.97872340425532,107.97872340425532,107.97872340425532,107.97872340425532,107.97872340425532,107.97872340425532,108.59929078014184,109.21985815602837,109.84042553191489,110.46099290780141,111.08156028368793,111.70212765957446,112.10106382978722,112.5,112.89893617021276,113.29787234042553,113.29787234042553,113.29787234042553,113.29787234042553,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
0.0,97.71428571428572,98.28571428571428,97.71428571428572,96.00000000000001,97.14285714285714,97.14285714285714,97.14285714285714,98.85714285714286,99.42857142857142,97.71428571428572,98.85714285714286,101.71428571428571,101.14285714285714,101.71428571428571,102.28571428571426,102.85714285714285,102.28571428571426,103.85714285714283,105.42857142857142,107.0,108.57142857142857,111.42857142857143,106.85714285714285,107.42857142857143,105.14285714285714,106.85714285714285,105.71428571428572,106.14285714285715,106.57142857142858,107.0,107.42857142857143,108.57142857142857,109.71428571428571,110.85714285714286,112.0,113.14285714285714,114.28571428571428,114.71428571428571,115.14285714285714,115.57142857142858,116.00000000000001,116.00000000000001,116.00000000000001,116.00000000000001,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
0.0,100.0,108.93854748603353,97.20670391061452,96.64804469273744,98.88268156424581,101.1173184357542,99.44134078212292,97.20670391061452,100.0,97.76536312849163,99.44134078212292,101.67597765363129,98.88268156424581,101.1173184357542,101.1173184357542,101.1173184357542,103.35195530726257,103.91061452513966,104.46927374301677,105.02793296089386,105.58659217877096,105.58659217877096,106.70391061452516,105.58659217877096,105.58659217877096,106.14525139664805,108.37988826815644,107.96089385474862,107.5418994413408,107.12290502793297,106.70391061452516,107.16945996275606,107.63500931098699,108.1005586592179,108.5661080074488,109.03165735567973,109.49720670391063,110.7541899441341,112.01117318435756,113.26815642458102,114.52513966480448,114.52513966480448,114.52513966480448,114.52513966480448,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
100000.0,100.58823529411765,97.05882352941177,95.88235294117648,92.94117647058823,96.4705882352941,95.29411764705881,93.52941176470588,95.29411764705881,95.29411764705881,92.94117647058823,95.88235294117648,94.11764705882352,92.94117647058823,93.52941176470588,94.11764705882352,95.29411764705881,94.70588235294119,95.73529411764707,96.76470588235296,97.79411764705883,98.82352941176471,97.64705882352942,95.88235294117648,94.11764705882352,92.94117647058823,95.88235294117648,94.11764705882352,95.0,95.88235294117646,96.76470588235294,97.64705882352942,98.33333333333334,99.01960784313725,99.70588235294117,100.3921568627451,101.078431372549,101.76470588235293,103.38235294117646,105.0,106.61764705882352,108.23529411764706,108.23529411764706,108.23529411764706,108.23529411764706,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
100000.0,99.40828402366864,97.63313609467457,96.44970414201185,91.71597633136096,97.0414201183432,96.44970414201185,96.44970414201185,98.22485207100593,100.0,97.63313609467457,99.40828402366864,100.59171597633136,98.81656804733728,103.55029585798819,107.10059171597635,107.10059171597635,107.6923076923077,107.39644970414201,107.10059171597634,106.80473372781066,106.50887573964498,106.50887573964498,107.10059171597635,107.10059171597635,108.28402366863908,108.87573964497041,107.6923076923077,108.4319526627219,109.1715976331361,109.9112426035503,110.65088757396451,112.03155818540435,113.41222879684419,114.79289940828404,116.17357001972388,117.55424063116372,118.93491124260356,119.52662721893492,120.11834319526629,120.71005917159766,121.30177514792902,121.30177514792902,121.30177514792902,121.30177514792902,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
100000.0,99.42528735632186,96.55172413793105,97.12643678160919,93.67816091954025,95.40229885057472,97.70114942528735,96.55172413793105,98.85057471264368,98.85057471264368,98.85057471264368,100.57471264367817,100.0,100.0,101.72413793103449,104.02298850574714,102.29885057471266,102.87356321839081,103.30459770114943,103.73563218390805,104.16666666666666,104.59770114942528,102.29885057471266,104.02298850574714,102.87356321839081,103.44827586206897,104.59770114942528,104.02298850574714,104.74137931034484,105.45977011494254,106.17816091954025,106.89655172413795,107.4712643678161,108.04597701149426,108.62068965517241,109.19540229885058,109.77011494252874,110.34482758620689,111.35057471264368,112.35632183908046,113.36206896551725,114.36781609195404,114.36781609195404,114.36781609195404,114.36781609195404,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
100000.0,102.24719101123594,102.24719101123594,97.19101123595506,94.94382022471909,97.75280898876403,98.87640449438203,97.19101123595506,100.0,99.438202247191,97.75280898876403,101.12359550561798,100.56179775280899,100.0,101.12359550561798,101.12359550561798,105.61797752808988,103.93258426966293,104.07303370786518,104.21348314606743,104.35393258426967,104.49438202247192,102.24719101123594,102.80898876404494,102.24719101123594,102.24719101123594,102.80898876404494,103.93258426966293,104.07303370786518,104.21348314606743,104.35393258426967,104.49438202247192,105.5243445692884,106.55430711610488,107.58426966292134,108.61423220973782,109.6441947565543,110.67415730337078,111.938202247191,113.20224719101122,114.46629213483145,115.73033707865167,115.73033707865167,115.73033707865167,115.73033707865167,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
100000.0,100.0,95.16129032258064,98.38709677419355,95.69892473118279,99.46236559139784,96.77419354838709,95.69892473118279,97.31182795698925,97.31182795698925,96.77419354838709,98.38709677419355,96.77419354838709,96.77419354838709,98.38709677419355,97.84946236559139,98.38709677419355,97.84946236559139,98.9247311827957,100.0,101.0752688172043,102.15053763440861,101.0752688172043,101.0752688172043,100.53763440860214,100.0,102.15053763440861,102.15053763440861,102.95698924731184,103.76344086021506,104.56989247311827,105.3763440860215,105.91397849462365,106.45161290322581,106.98924731182795,107.5268817204301,108.06451612903226,108.6021505376344,109.27419354838709,109.94623655913978,110.61827956989247,111.29032258064515,111.29032258064515,111.29032258064515,111.29032258064515,0,1_BALB/c_VAC-H5,0,1,0,0,1,0
