Vaccine dose,D1pv,D2pv,D3pv,D4pv,D5pv,D6pv,D7pv,D8pv,D9pv,D10pv,D11pv,D12pv,D13pv,D14pv,D15pv,D16pv,D17pv,D18pv,D19pv,D20pv,D21pv,D22pv,D23pv,D24pv,D25pv,D26pv,D27pv,D28pv,D29pv,D30pv,D31pv,D32pv,D33pv,D34pv,D35pv,D38pv,D39pv,D40pv,D41pv,D42pv,D45pv,D46pv,D47pv,D48pv,Target,Group,vector_VAC-H5/NP,vector_VAC-H5,vector_VAC-NP,vector_RAB-H5/NP,inoc_Intramuscular,inoc_Intranasal
0.0,100.0,98.18181818181819,97.57575757575758,99.39393939393939,97.57575757575758,99.39393939393939,99.39393939393939,98.7878787878788,99.5959595959596,100.40404040404042,101.21212121212122,102.02020202020202,102.82828282828284,103.63636363636364,104.24242424242424,104.84848484848484,105.45454545454544,106.06060606060605,106.66666666666666,107.27272727272728,107.87878787878789,107.27272727272728,106.66666666666667,104.84848484848486,104.84848484848486,103.63636363636364,107.27272727272728,109.09090909090908,109.69696969696972,108.48484848484847,106.06060606060606,108.48484848484847,109.09090909090908,110.10101010101009,111.1111111111111,112.12121212121211,113.2121212121212,114.3030303030303,115.39393939393939,116.48484848484848,117.57575757575758,117.57575757575758,117.57575757575758,117.57575757575758,1,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,100.0,98.72611464968153,98.0891719745223,100.0,100.63694267515923,101.27388535031847,101.91082802547771,102.54777070063696,102.33545647558388,102.12314225053079,101.91082802547771,101.69851380042464,101.48619957537154,101.27388535031847,101.9108280254777,102.54777070063695,103.18471337579618,104.93630573248409,106.687898089172,108.43949044585989,110.1910828025478,107.00636942675159,107.00636942675159,107.00636942675159,106.36942675159236,103.82165605095541,105.73248407643314,107.00636942675159,108.91719745222932,107.64331210191082,106.36942675159236,107.00636942675159,108.28025477707006,109.55414012738854,110.82802547770702,112.1019108280255,112.99363057324842,113.88535031847135,114.77707006369428,115.66878980891721,116.56050955414014,116.56050955414014,116.56050955414014,116.56050955414014,1,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.28571428571428,96.00000000000001,97.14285714285714,99.42857142857142,97.14285714285714,98.28571428571428,96.57142857142857,98.85714285714286,98.95238095238095,99.04761904761905,99.14285714285714,99.23809523809523,99.33333333333333,99.42857142857142,100.19047619047618,100.95238095238095,101.71428571428571,102.71428571428571,103.71428571428572,104.71428571428572,105.71428571428572,104.0,104.57142857142858,102.28571428571426,102.28571428571426,100.0,101.14285714285714,102.28571428571426,102.28571428571426,102.85714285714285,104.57142857142858,104.57142857142858,104.0,105.14285714285714,106.28571428571429,107.42857142857143,108.0,108.57142857142857,109.14285714285715,109.71428571428572,110.28571428571429,110.28571428571429,110.28571428571429,110.28571428571429,1,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,101.84049079754602,99.38650306748465,99.38650306748465,100.0,99.38650306748465,98.15950920245399,100.61349693251533,100.61349693251533,101.22699386503066,101.84049079754601,102.45398773006134,103.06748466257667,103.68098159509202,104.29447852760735,104.29447852760735,104.29447852760735,104.29447852760735,106.13496932515336,107.97546012269939,109.8159509202454,111.65644171779141,108.58895705521472,109.20245398773005,105.52147239263803,106.7484662576687,104.29447852760735,106.13496932515338,107.36196319018406,106.7484662576687,105.52147239263803,107.36196319018406,107.97546012269939,109.81595092024538,110.63394683026584,111.45194274028628,112.26993865030674,113.37423312883435,114.47852760736195,115.58282208588956,116.68711656441717,117.79141104294477,117.79141104294477,117.79141104294477,117.79141104294477,1,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.88888888888889,97.77777777777779,99.44444444444443,98.33333333333333,100.0,100.55555555555556,101.66666666666666,99.44444444444443,99.72222222222221,99.99999999999999,100.27777777777777,100.55555555555556,100.83333333333333,101.11111111111111,102.22222222222223,103.33333333333334,104.44444444444446,105.00000000000001,105.55555555555557,106.11111111111111,106.66666666666667,104.99999999999999,106.66666666666667,108.8888888888889,107.22222222222221,104.44444444444446,106.11111111111111,107.22222222222221,108.33333333333333,107.22222222222221,107.22222222222221,107.77777777777777,107.77777777777777,108.33333333333333,108.88888888888887,109.44444444444443,110.66666666666666,111.88888888888889,113.11111111111111,114.33333333333334,115.55555555555557,115.55555555555557,115.55555555555557,115.55555555555557,1,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.9010989010989,97.80219780219781,97.25274725274726,96.15384615384616,97.25274725274726,98.9010989010989,98.35164835164835,98.9010989010989,99.54212454212454,100.18315018315018,100.82417582417582,101.46520146520146,102.1062271062271,102.74725274725273,102.38095238095237,102.01465201465201,101.64835164835165,101.78571428571429,101.92307692307693,102.06043956043958,102.19780219780222,103.29670329670331,103.29670329670331,102.74725274725273,101.0989010989011,101.64835164835165,103.29670329670331,107.69230769230771,105.4945054945055,102.19780219780222,104.94505494505495,105.4945054945055,108.24175824175823,108.05860805860806,107.87545787545788,107.69230769230771,108.7912087912088,109.89010989010991,110.989010989011,112.08791208791212,113.18681318681321,113.18681318681321,113.18681318681321,113.18681318681321,0,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,96.95431472081219,97.96954314720813,98.47715736040608,95.93908629441624,95.43147208121829,97.46192893401016,98.47715736040608,100.50761421319798,101.1844331641286,101.86125211505923,102.53807106598985,103.21489001692048,103.8917089678511,104.56852791878173,103.21489001692048,101.86125211505923,100.50761421319798,101.52284263959392,102.53807106598985,103.55329949238579,104.56852791878173,105.0761421319797,105.0761421319797,107.1065989847716,106.09137055837563,104.56852791878173,107.1065989847716,110.1522842639594,112.18274111675129,111.16751269035532,111.16751269035532,109.64467005076143,111.6751269035533,112.69035532994924,113.70558375634519,114.72081218274113,115.93908629441626,117.15736040609139,118.3756345177665,119.59390862944163,120.81218274111676,120.81218274111676,120.81218274111676,120.81218274111676,0,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.88268156424581,97.20670391061452,100.0,97.76536312849163,97.20670391061452,99.44134078212292,100.5586592178771,101.1173184357542,102.04841713221603,102.97951582867785,103.91061452513968,104.84171322160151,105.77281191806333,106.70391061452516,107.63500931098699,108.5661080074488,109.49720670391063,109.35754189944136,109.21787709497208,109.0782122905028,108.93854748603353,110.05586592178771,110.05586592178771,109.49720670391063,110.6145251396648,110.05586592178771,112.29050279329611,112.29050279329611,111.17318435754191,110.05586592178771,113.96648044692736,111.731843575419,111.17318435754191,111.91806331471138,112.66294227188082,113.40782122905028,114.52513966480447,115.64245810055867,116.75977653631286,117.87709497206706,118.99441340782124,118.99441340782124,118.99441340782124,118.99441340782124,0,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.87640449438203,98.87640449438203,97.19101123595506,98.87640449438203,98.87640449438203,100.0,102.24719101123594,100.56179775280899,101.49812734082397,102.43445692883894,103.37078651685391,104.3071161048689,105.24344569288388,106.17977528089885,105.99250936329587,105.80524344569287,105.61797752808988,106.17977528089887,106.74157303370785,107.30337078651685,107.86516853932584,107.30337078651687,106.17977528089885,106.17977528089885,107.30337078651687,107.30337078651687,109.5505617977528,108.42696629213484,110.1123595505618,107.86516853932584,111.79775280898876,110.1123595505618,110.1123595505618,111.23595505617978,112.35955056179775,113.48314606741572,114.3820224719101,115.28089887640449,116.17977528089887,117.07865168539325,117.97752808988764,117.97752808988764,117.97752808988764,117.97752808988764,0,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
0.0,98.31460674157303,98.31460674157303,98.31460674157303,97.19101123595506,97.75280898876403,99.438202247191,101.68539325842696,101.12359550561798,102.15355805243446,103.18352059925094,104.21348314606743,105.24344569288391,106.27340823970039,107.30337078651687,106.74157303370787,106.17977528089888,105.61797752808988,106.32022471910112,107.02247191011236,107.7247191011236,108.42696629213484,109.5505617977528,110.1123595505618,111.23595505617978,110.67415730337078,107.86516853932584,108.98876404494379,111.79775280898876,112.35955056179773,109.5505617977528,110.67415730337078,110.1123595505618,111.23595505617978,111.98501872659176,112.73408239700373,113.48314606741572,114.94382022471909,116.40449438202246,117.86516853932584,119.32584269662921,120.78651685393258,120.78651685393258,120.78651685393258,120.78651685393258,0,1_BALB/c_RAB-H5/NP,0,0,0,1,1,0
