Population Name Reported,count
CD62L+ CD16+ monocyte,156
HLA-DR+ CD8+ T cell,156
CD62L- neutrophil,156
HLA-DR+ Th17 CD4+ T cell,156
HLA-DR+ Th1 CD4+ T cell,156
HLA-DR+ T helper cell,156
HLA-DR+ Tfh2 CD4+ T cell,156
HLA-DR+ Th1/17 CD4+ T cell,156
"Q3: CD19+,, CD20-,Freq. of,B lym CD19+",116
"Q2: CD19+,, CD20+,Freq. of,B lym CD19+",116
"Naive B cell,Freq. of,Q2: CD19+, CD20+",116
"Memory B cell,Freq. of,Q2: CD19+, CD20+",116
"Transition B cell,Freq. of,Q2: CD19+, CD20+",116
"Plasmablast,Freq. of,Q3: CD19+, CD20-",116
"B lym CD27+,Freq. of,Q3: CD19+, CD20-",116
"Plasma cells,Freq. of,B lym CD27+",116
Plasmablast + Plasma Cells Abs#,116
"B lym CD19+,Freq. of,WBC CD45+",116
CD45+ cells/uL,116
QC2_CD4_pLY,108
ICOS_TFH17,102
CD2n_CD1c,102
CD16nCD11bp_immature1Neu,102
CD40p_CD14dimCD16p,102
CD11bp_CD14dimCD16p,102
CD86p_CD14pCD16n,102
CD62Lp_CD14pCD16n,102
CD40p_CD14pCD16n,102
CD11bp_CD14pCD16n,102
CD86p_CD14pCD16p,102
CD62Lp_CD14pCD16p,102
CD40p_CD14pCD16p,102
CD11bp_CD14pCD16p,102
dn,102
CD14dimCD16p,102
CD14p,102
CD16nCD11bn_immature2Neu,102
CD86p_CD14dimCD16p,102
CD16pCD11bn_Xartefact,102
CD16pCD11bp_matureNeu,102
Neutros,102
Plasmacell,102
CD2p_CD1c,102
transitionalb_,102
CD27pCD19,102
CD20nCD19p,102
CD20pCD19p,102
CD27nIgDn_B,102
IgDn_memory_B,102
IgDp_memory_B,102
naive_B,102
CD62Lp_CD14dimCD16p,102
Plasmablast_PC,102
CCR6pCXCR3p_TFH,102
nonTFH_CD4,102
ICOS_CD8,102
CD2p_BDCA2,102
CD2n_BDCA2,102
ICOS_CCR6pCXCR3p_nonTFH,102
ICOS_TH17,102
ICOS_TH2,102
ICOS_TH1,102
CCR6pCXCR3p_nonTFH,102
TH1_nonTFH,102
ICOS_CD4,102
TEFF_CD4,102
EM_CD4,102
Naive_CD4,102
CM_CD4,102
ICOS_CCR6pCXCR3p_TFH,102
ICOS_TFH,102
ICOS_TFH2,102
ICOS_TFH1,102
BDCA2,102
CD16hi CD11b- neutrophil,86
CD16lo CD11b+ neutrophil,86
CD16hi CD11b+ neutrophil,86
CD16lo CD11b- neutrophil,86
CD8_CCR6_abs,82
TFH1_abs,82
TH2_ICOSp_abs,82
TH2_abs,82
TH17_ICOSp_abs,82
TH17_abs,82
TH1_17_ICOSp_abs,82
TH1_17_abs,82
TH1_ICOSp_abs,82
TH1_abs,82
TH_ICOSp_abs,82
TH_abs,82
CD4_abs,82
TFH2_ICOSp_abs,82
TFH2_abs,82
TFH17_ICOSp_abs,82
TFH17_abs,82
TFH1_17_ICOSp_abs,82
TFH1_17_abs,82
TFH1_ICOSp_abs,82
CD4_ICOSp_abs,82
TFH_abs,82
TFH_ICOSp_abs,82
CD8_abs,82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q3: CD45RA+, CD27D",82
CD8_CXCR3_abs,82
CD8_CXCR5_abs,82
CD3_abs,82
Viable/Singlets/Lymph/CD3+/CD8+,82
Viable/Singlets/Lymph/CD3+/CD4+,82
Viable/Singlets/Lymph/CD3+,82
Viable/Singlets/Lymph,82
Viable/Singlets/Lymphs/CD3+/CD4+/CD28+,82
Viable/Singlets/Lymphs/CD3+/CD8+/CD28+,82
Viable/Singlets/Lymphs/CD3+/CD4+/CD27+,82
