Normalized_Definition
"CD40-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD2+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD40+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD141+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC"
"CD14+, CD16-, monocyte"
"CD14+, CD16+, CD86+"
"CD14-, CD16-, CD86+"
"CD14+, CD16+, monocyte"
"CD14+, CD16+, CD19-, CD3-, monocyte, singlet, WBC"
"CD14+, CD16-, CD86+"
"CD14-, CD16+, CD86+"
"CD14-, CD16-, monocyte"
"CD141+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"CD141+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"CD141+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"CD141+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC"
"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
"CD3+, CD8+, HLA-DR+, lymphocyte, singlet, WBC"
"CD19+, CD27+, lymphocyte, plasmablast, singlet, WBC"
"CD3+, CD8+, lymphocyte, singlet, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH, WBC"
"CD19+, lymphocyte, singlet, WBC"
"CD19+, CD27+, lymphocyte, singlet, WBC"
"CD138+, CD19+, CD27+, lymphocyte, singlet, WBC"
"CD3-, lymphocyte, NK, singlet, WBC"
"CD3+, CD4+, lymphocyte, singlet, TH, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, WBC"
"CD3+, CD38+, CD56+, lymphocyte, singlet, WBC"
"CD27+, CD3+, CD56+, lymphocyte, singlet, WBC"
"CD27+, CD3-, lymphocyte, NK, singlet, WBC"
"CD3+, CD56+, lymphocyte, singlet, WBC"
"CD3-, CD38+, lymphocyte, NK, singlet, WBC"
"CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC"
"CD3+, CD38+, lymphocyte, singlet, WBC"
"CD3+, CD4+, lymphocyte, singlet, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH, WBC"
"CD3+, CD4+, lymphocyte, singlet, TFH, WBC"
"CD27+, CD3+, lymphocyte, singlet, WBC"
"CD3+, lymphocyte, singlet, WBC"
"CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC"
"CD19+, CD20-, CD56+, lymphocyte, singlet, WBC"
"CD19+, CD86+, lymphocyte, singlet, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH, WBC"
"CD19+, CD27+, CD86+, lymphocyte, plasmablast, singlet, WBC"
"CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
"CD3+, ICOS+, lymphocyte, singlet, WBC"
"CD3+, HLA-DR+, lymphocyte, singlet, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH2, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1-17, WBC"
"CD3+, CD4+, lymphocyte, singlet, TH1-17, WBC"
