Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CXCR5+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
SLAN+,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CXCR3+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
CD16- granulocyte,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
CD16+ granulocyte,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14lo, HLA-DR+, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14lo, HLA-DR+, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRlo, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRlo, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRhi, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DRhi CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD40+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, SLAN-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, SLAN+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CX3CR1-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CX3CR1+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD11b-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD11b+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, SLAN-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, SLAN+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CX3CR1-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CX3CR1+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD11b-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD11b+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD14+, HLA-DR+, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD24+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, CD138+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+, IgD-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD20+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD38+, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376"
"CD3+, CD4-, CD8+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD14+, HLA-DR+, CD16-, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD16+, CD62L- granulocyte",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD14+, HLA-DR+, CD16+, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376"
"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
Sum of Plasma cells and Plasmablast,cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+,Count",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",cells/ul,116,2,29,4,"0.0, 1.0, 30.0, 7.0","144, 522"
"CD45+/CD3+/CD4,Freq. of,CD45+",cells/ul,108,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
"ly/CD3+/CD8+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
"ly/CD3+/CD4+,Freq. of,ly",cells/ul,102,1,6,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD4/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD8,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD8/CCR6+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD8/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/ICOS+,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3/CD4,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD3,ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+",ul,82,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD19,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27+, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27+, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD19+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD19+, CD20+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27-, IgD+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27-, IgD-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD38+, CD20-",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD38+, CD24+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+",ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD19/CD86+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD19/CD27+/CD138+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
Singlet/WBC/Lymph/CD19/CD27+,ul,80,1,20,5,"0.0, 180.0, 28.0, 7.0, 90.0",387
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+",ul,72,2,19,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372"
"CD3+, CD8+, CCR7-, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144
"CD3+, CD4+, CXCR5+, CD45RA-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144
"Lin1-, HLA-DR+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,60,1,16,4,"0.0, 1.0, 28.0, 7.0",144
