Normalized_Definition,Intermediate_Population
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH17, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH2, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, lymphocyte, singlet, TFH2, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1-17, WBC",CD4+ Helper T cells (Th subsets)
"CD3+, CD4+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"CD1c+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
CD3+,T cells (Unspecified Subtype)
gran,Granulocytes
"CD11c-, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD11c+, CD303-, HLA-DR+, Lin1-",Unclassified / Potential Error
"CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+",CD4+ T cells (Other)
