Normalized_Definition,Intermediate_Population
"CD11b+, CD16+, CD45+, gran, neutro, WBC",Granulocytes
"lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC",Intermediate Monocytes
"CD14+, CD16-, lymphocyte, monocyte, WBC",Classical Monocytes
"CD11b+, CD14+, CD16-, lymphocyte, monocyte, WBC",Classical Monocytes
"CD14+, CD16-, CD40+, lymphocyte, monocyte, WBC",Classical Monocytes
"CD14+, CD16-, CD62L+, lymphocyte, monocyte, WBC",Classical Monocytes
"CD14+, CD16-, CD86+, lymphocyte, monocyte, WBC",Classical Monocytes
"CD14-, CD16-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"CD19+, WBC",B cells (Other)
"CD3+, CD4+, CD45+, TFH",T follicular helper (Tfh) cells
"CD19+, CD27+, WBC",B cells (Other)
"CD19+, CD27+, plasmablast, WBC",Plasmablasts / Plasma cells
"CD3+, CD4+, CD45+, naive",Naive CD4+ T cells
"CD3+, CD4+, CD45+, TFH1",T follicular helper (Tfh) cells
"CD3-, CD56+, lymphocyte",NK cells
"CD3+, CD4+, CD45+, ICOS+, non+, TFH17",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, non+, TFH2",T follicular helper (Tfh) cells
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, TFH",T follicular helper (Tfh) cells
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, TFH",T follicular helper (Tfh) cells
"CD3+, CD45+, CD8+",CD8+ T cells (Other)
"CD3+, CD45+, CD8+, ICOS+",CD8+ T cells (Other)
"CD1c+, CD2-, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"CD16+, CD3-, CD56+, lymphocyte",NK cells
"CD16+, CD3-, CD56-, lymphocyte",Lymphocytes (Unspecified)
"CD3+, CD4+, CD45+, non+, TFH1",T follicular helper (Tfh) cells
"CD1c+, CD2+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"CD1c+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC",Myeloid DCs type 1 (mDC1)
"CD123+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"CD11c+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC",Monocytes (Unspecified)
"CD25+, CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD8+, CTLA4+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD4+, CD45+, ICOS+, TFH1",T follicular helper (Tfh) cells
"CD3+, CD8+, FoxP3+, lymphocyte",Regulatory T cells (Treg)
"CD3+, CD4+, CD45+, ICOS+, non+, TFH1",T follicular helper (Tfh) cells
"CD16-, CD3-, CD56+, lymphocyte",NK cells
"CD3+, CD4+, CD45+, TFH17",T follicular helper (Tfh) cells
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, TFH",T follicular helper (Tfh) cells
"CD25+, CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD4+, CTLA4+, lymphocyte",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, TFH17",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, Teff+",CD4+ T cells (Other)
"CD3+, CD4+, CD45+, non+, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, TFH2",T follicular helper (Tfh) cells
"CD3+, CD4+, FoxP3+, lymphocyte",Regulatory T cells (Treg)
"CD3+, CD4+, CD45+, TFH2",T follicular helper (Tfh) cells
"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"CD11b+, CD14+, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD86+, monocyte, singlet, WBC",Monocytes (Unspecified)
"CD11b-, CD16+, CD45+, gran, neutro, singlet, WBC",Granulocytes
"CD11b-, CD16-, CD45+, gran, neutro, singlet, WBC",Granulocytes
"CD14+, CD16-, CD62L+, CD86+, monocyte, singlet, WBC",Classical Monocytes
"CD3+, CD4+, CD45+, singlet, Teff+",CD4+ T cells (Other)
"CD3+, CD4+, CD45+, non+, singlet, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, non+, singlet, TFH1",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH1",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH17",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH2",T follicular helper (Tfh) cells
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, singlet, TFH",T follicular helper (Tfh) cells
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, singlet, TFH",T follicular helper (Tfh) cells
"CD3+, CD45+, CD8+, singlet",CD8+ T cells (Other)
"CD3+, CD45+, CD8+, CM, singlet",Memory CD8+ T cells
"CD3+, CD45+, CD8+, EM, singlet",Memory CD8+ T cells
"CD3+, CD45+, CD8+, ICOS+, singlet",CD8+ T cells (Other)
"CD3+, CD45+, CD8+, naive, singlet",Naive CD8+ T cells
"CD3+, CD45+, CD8+, singlet, Teff+",CD8+ T cells (Other)
"CD45+, gran, neutro, singlet, WBC",Granulocytes
"CD11b+, CD16-, CD45+, gran, neutro, singlet, WBC",Granulocytes
"CD11b+, CD16+, CD45+, gran, neutro, singlet, WBC",Granulocytes
"CD14+, CD16-, CD40+, CD86+, monocyte, singlet, WBC",Classical Monocytes
"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD8+, lymphocyte, naive",Naive CD8+ T cells
"B_switched_memory, CD19+, CD27+, IgD-, singlet, WBC",Memory B cells
"CD19+, CD20-, singlet, WBC",B cells (Other)
"B_unswitched_memory, CD19+, CD27+, IgD+, singlet, WBC",Memory B cells
"CD19+, CD27+, plasmablast, singlet, WBC",Plasmablasts / Plasma cells
"CD19+, CD27+, plasma_cell, singlet, WBC",Plasmablasts / Plasma cells
"CD19+, CD27+, singlet, WBC",B cells (Other)
"CD19+, CD20+, singlet, WBC",B cells (Other)
"B_naive, CD19+, CD27-, IgD+, singlet, WBC",Naive B cells
"CD19+, nCD19+, singlet, WBC",B cells (Other)
"CD86+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD19+, n+, singlet, transitional+, WBC",B cells (Other)
"CD19+, singlet, WBC",B cells (Other)
"CD14+, CD14-, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"CD86-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD14+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD14-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD11b+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD11b-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD2+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, singlet, TFH",T follicular helper (Tfh) cells
"CD19+, CD27-, IgD-, singlet, WBC",B cells (Other)
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, singlet, TFH",T follicular helper (Tfh) cells
"CD127+, CD25+, CD3+, CD4+, CD45+, singlet",CD4+ T cells (Other)
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH2",T follicular helper (Tfh) cells
"bcl2+, CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"bcl2+, CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD4+, lymphocyte, naive",Naive CD4+ T cells
"bcl2+, CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"CD2-, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2+, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD141+, CD2-, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2+, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2+, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2-, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, CD2+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD141+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD4+, GranB+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD38+, CD4+, lymphocyte",CD4+ T cells (Other)
"CD3+, CD38+, CD8+, lymphocyte",CD8+ T cells (Other)
"bcl2+, CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD4+, CD45+, CM, singlet",Memory CD4+ T cells
"CD3+, CD4+, CD45+, singlet, TFH2",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH17",T follicular helper (Tfh) cells
"CD3+, CD8+, GranB+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD4+, CD45+, singlet, TFH17",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH1",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, singlet, TFH1",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, singlet, TFH",T follicular helper (Tfh) cells
"CD3+, CD4+, CD45+, naive, singlet",Naive CD4+ T cells
"CD3+, CD4+, CD45+, ICOS+, singlet",CD4+ T cells (Other)
"CD3+, CD4+, CD45+, EM, singlet",Memory CD4+ T cells
"CD3+, CD4+, CD45+, singlet",CD4+ T cells (Other)
"CD3+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"CD3+, CD45+, singlet",T cells (Unspecified Subtype)
"CD141-, CD1c+, CD2-, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD2+, CD303-, CD86-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD2+, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD2-, CD303-, CD86+, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD2-, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD2+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD141-, CD1c+, CD303-, gran-, HLA-DR+, Lin2-, mDC1, NK-, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD2-, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2+, CD303+, CD86-, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2+, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2-, CD303+, CD86+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD2-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"CD11b+, CD16+, gran",Granulocytes
"CD11b-, CD16+, gran",Granulocytes
"CD14-, CD19+, CD24+, CD3-, CD38+, HLA-DR+",B cells (Other)
"CD14-, CD19+, CD20-, CD3-, CD38+, HLA-DR+",B cells (Other)
"CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD-",B cells (Other)
"B_naive, CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD+",Naive B cells
"B_switched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD-",Memory B cells
"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD+",Memory B cells
"CD138+, CD14-, CD19+, CD27+, CD3-, HLA-DR+",B cells (Other)
"CD14-, CD19+, CD27+, CD3-, HLA-DR+",B cells (Other)
"CD14-, CD19+, CD20-, CD3-, HLA-DR+",B cells (Other)
"CD14-, CD19+, CD20+, CD3-, HLA-DR+",B cells (Other)
"CD11c+, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141+, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN-, WBC",Intermediate Monocytes
"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN+, WBC",Intermediate Monocytes
"CD14+, CD16+, HLA-DR+, HLA-DR-, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CD86+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CX3CR1-, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CX3CR1+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD14+, CD16+, CD86-, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD11b-, CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD11b-, CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD11b+, CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD16+, neutro, singlet, WBC",Granulocytes
"CD14+, CD16-, CD86+, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, CD86-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, CX3CR1+, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, CX3CR1-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, HLA-DR+, HLA-DR-, monocyte, singlet, WBC",Classical Monocytes
"CD14+, CD16-, HLA-DR+, monocyte, singlet, SLAN+, WBC",Classical Monocytes
"CD14+, CD16-, HLA-DR+, monocyte, singlet, SLAN-, WBC",Classical Monocytes
"CD14+, CD40+, HLA-DR+, monocyte, singlet, WBC",Monocytes (Unspecified)
"monocyte, singlet, SLAN+, WBC",Monocytes (Unspecified)
"neutro, singlet, WBC",Granulocytes
"CD14+, CD14-, CD16-, HLA-DR+, monocyte, singlet, WBC",Classical Monocytes
"CD11b+, CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD14+, CD14-, CD16+, HLA-DR+, monocyte, singlet, WBC",Intermediate Monocytes
"CD11c-, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"CD11c+, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Lymphocytes (Unspecified)
"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC1, singlet, WBC",Myeloid DCs type 1 (mDC1)
"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Lymphocytes (Unspecified)
"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Lymphocytes (Unspecified)
"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Lymphocytes (Unspecified)
"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-, lymphocyte, singlet, WBC",Lymphocytes (Unspecified)
"CD14+, HLA-DR+, monocyte, singlet, WBC",Monocytes (Unspecified)
"CD16-, neutro, singlet, WBC",Granulocytes
