Population Definition Reported,count
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",54
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",54
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",54
"WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+",54
"CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",54
"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+",54
"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC",54
"sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr",54
"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+",54
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+",54
"WBC/2-WBC/lymono/monos,Freq. of,2-WBC",54
"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos",54
"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos",54
"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos",54
"WBC/2-WBC/lymono/monos/dn,Freq. of,monos",54
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",54
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",54
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",54
"CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",54
"WBC/CD19+SCC/CD19+,Freq. of,WBC",54
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",54
"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",54
"CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",54
"WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+",54
"Lymp/CD3-/CD56diCD16-,Freq. of,Lymp",54
"ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+",54
"ly/CD3+/CD8+/CD25+,Freq. of,CD8+",54
"ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+",54
"ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+",54
"ly/CD3+/CD4+/CD25+,Freq. of,CD4+",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC",54
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC",54
"ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+",54
"Lymp/CD3-/CD56-CD16+,Freq. of,Lymp",54
"Lymp/CD3-/CD56br,Freq. of,Lymp",54
"CD45+/CD3+/CD4/Teff,Freq. of,CD4",54
"CD45+/CD3+/CD4/EM,Freq. of,CD4",54
"CD45+/CD3+/CD4/Naive,Freq. of,CD4",54
"CD45+/CD3+/CD4/CM,Freq. of,CD4",54
"CD45+/CD3+/CD8/ICOS,Freq. of,CD8",54
"Lymp/CD3-/CD56diCD16+,Freq. of,Lymp",54
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",48
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr",48
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr",48
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+",48
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr",48
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",48
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",48
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",48
"sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent",48
"sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+",48
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",48
"sing/CD45+/CD3+,Freq. of,CD45+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",48
"sing/CD45+/CD3+/CD4,Freq. of,CD45+",48
"sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent",48
"sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent",48
"sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",48
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",48
"sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",48
"sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",48
"sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4",48
"sing/CD45+/CD3+/CD8,Freq. of,CD45+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",48
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",48
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",48
"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+",48
"ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+",48
"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+",48
"sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+",48
"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+",48
"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+",48
"ly/CD3+/CD4+/Ki67,Freq. of,CD4+",48
"ly/CD3+/CD4+/GranB,Freq. of,CD4+",48
"ly/CD3+/CD4+/DR,Freq. of,CD4+",48
"ly/CD3+/CD4+/CD38bri,Freq. of,CD4+",48
"ly/CD3+/CD4+/bcl2,Freq. of,CD4+",48
"ly/CD3+/CD8+/bcl2,Freq. of,CD8+",48
"ly/CD3+/CD8+/CD38bri,Freq. of,CD8+",48
"ly/CD3+/CD8+/DR,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q8: K1-67,, bcl2di,Freq. of,CD8+",48
"sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",48
"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+",48
"sing/WBC/CD19+SCC/CD19+,Freq. of,WBC",48
"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+",48
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",48
"ly/CD3+/CD8+/Q7: K1-67+,, bcl2di,Freq. of,CD8+",48
"ly/CD3+/CD8+/GranB,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q6: K1-67+,, bcl2bri,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q5: K1-67,, bcl2bri,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+",48
"ly/CD3+/CD8+/Q1: HLA-DR,, CD38+,Freq. of,CD8+",48
"ly/CD3+/CD8+/Ki67,Freq. of,CD8+",48
"sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent",48
"sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",48
"sing/CD45+/CD3+/CD4/CM,Freq. of,CD4",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+",48
"sing/WBC/lymono/Lin-DR+/Slan+,Freq. of,WBC",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q2: Slan+,, CD11b+,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q3: Slan+,, CD11b-,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q7: Slan+,, CD2-,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q10: Slan+,, CD86+,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q11: Slan+,, CD86-,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q14: Slan+,, CD14+,Freq. of,Slan+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q15: Slan+,, CD14-,Freq. of,Slan+",48
"sing/CD45+/CD3+/CD4+,Freq. of,CD45+",48
"sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+",48
"sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",48
"sing/WBC/lymono/Lin-DR+/Slan+/Q6: Slan+,, CD2+,Freq. of,Slan+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+",48
"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+",48
"sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4",48
"sing/CD45+/CD3+/CD4/ICOS,Freq. of,CD4",48
"sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4",48
"sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",48
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",48
"sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",48
"sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",48
"sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",48
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",48
"sing/CD45+/CD3+/CD4/EM,Freq. of,CD4",48
"sing/CD45+/CD3+/CD8/CM,Freq. of,CD8",48
"sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8",48
"sing/CD45+/CD3+/CD8/EM,Freq. of,CD8",48
"sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+,Freq. of,sWBC",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+,Freq. of,sWBC",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+",48
"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+",48
"CD19+, CD3-, CD14-, CD27+, HLADR+",39
"CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+",39
"CD19+, CD3-, CD14-, CD20-, HLADR+",39
"CD19+, CD3-, CD14-, CD20+, HLADR+",39
"CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+",39
"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+",39
"CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+",39
"CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+",39
"CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+",39
"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+",39
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+",15
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+",15
Singlet/WBC/Mono/SLAN+,14
Singlet/WBC/Neutro,14
Singlet/WBC/Neutro/CD16-,14
Singlet/WBC/Neutro/CD16+,14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b+",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2+",14
Singlet/WBC/Mono/CD14+/HLADR,14
Singlet/WBC/Mono/CD14+/HLADR/CD40+,14
"Singlet/WBC/Mono/CD14+/HLADR/CD14-, CD16+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CX3CR1-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, SLAN+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD11b-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, HLADR-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-",14
"Singlet/WBC/Mono/CD14+/HLADR/CD16-, CD86-",14
"Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2-",14
