Population Definition Reported,count
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent",480
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",477
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent",451
Viable/Singlets,410
Viable,410
CD3+,363
granulocyte,363
"Lin1-, HLA-DR+, BDCA2+, CD11c-",363
"Lin1-, HLA-DR+, BDCA2-, CD11c+",363
Viable/Singlets/Lymphs,328
Viable/Singlets/Lymphs/CD3+,328
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",303
"CD3+, CD4-, CD8+, CCR6+",303
