Population Definition Reported,Normalized_Definition
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+","CD3+, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent","CD3-, CD38+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, Q1, singlet, WBC"
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent","CD3+, CD38+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, Q2, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3","CD3+, CD4+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3","CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4","CD3+, CD4+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent","CD27+, CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph","CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent","CD19+, CD20-, CD56+, CD86+, lymphocyte, Q3, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent","CD19+, CD20-, CD56+, CD86+, lymphocyte, Q2, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19","CD19+, CD20-, CD56+, lymphocyte, Q2, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19","CD19+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent","CD19+, CD27+, CD86+, lymphocyte, PB, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19","CD19+, CD20-, CD56+, lymphocyte, Q3, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8","CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
