Population Definition Reported,Normalized_Definition
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+","BDCA2+, CD11c-, CD40+, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD16+, CD62L- gran","CD16+, CD62L-, gran"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-","BDCA2-, BDCA3+, CD11c+, CD1c-, CD40-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-","BDCA2+, CD11c-, CD40-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+","BDCA2-, BDCA3+, CD11c+, CD1c-, CD40+, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+","BDCA2-, BDCA3-, CD11c+, CD1c+, CD40+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+","BDCA2-, CD11c+, CD40+, HLA-DR+, Lin1-"
"CD14+, HLA-DR+, CD16+, CD62L+","CD14+, CD16+, CD62L+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-","BDCA2-, BDCA3-, CD11c+, CD1c+, CD40-, HLA-DR+, Lin1-"
"CD14+, HLA-DR+, CD16+, CD62L-","CD14+, CD16+, CD62L-, HLA-DR+"
"CD3+, CD4+, CD8-, HLA-DR+","CD3+, CD4+, CD8-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"Singlet/CD45+/B lym CD19+/Q3: CD19+,, CD20-,Freq. of,B lym CD19+","CD19+, CD20-, CD45+, lymphocyte, Q3, singlet"
Sum of Plasma cells and Plasmablast,"Plasma+, Plasmablast+"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+/CD138+,Freq. of,B lym CD27+","CD138+, CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, Q3, singlet"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+/CD38+,Freq. of,Q3: CD19+, CD20-","CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, Q3, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+","CD19+, CD20+, CD27-, CD45+, IgD+, lymphocyte, Q2, singlet"
"Singlet/CD45+/B lym CD19+/Q3: CD19+, CD20-/B lym CD27+,Freq. of,Q3: CD19+, CD20-","CD19+, CD20-, CD27+, CD45+, lymphocyte, Q3, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+","CD19+, CD20+, CD27+, CD45+, IgD-, lymphocyte, Q2, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+","CD19+, CD20+, CD24+, CD38+, CD45+, lymphocyte, Q2, singlet"
"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+","CD19+, CD20+, CD45+, lymphocyte, Q2, singlet"
"Singlet/CD45+,Count","CD45+, singlet"
"Singlet/CD45+/B lym CD19+,Freq. of,CD45+","CD19+, CD45+, lymphocyte, singlet"
"CD45+/CD3+/CD4,Freq. of,CD45+","CD3+, CD4+, CD45+"
"ly/CD3+/CD8+,Freq. of,ly","CD3+, CD8+, lymphocyte"
"ly/CD3+/CD4+,Freq. of,ly","CD3+, CD4+, lymphocyte"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+","CD3+, CD4+, CD45RA-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-","CD3+, CD4+, CD45RA-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6+/ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3+, CCR6-/ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6+/ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/CXCR3-, CCR6-/ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-/ICOS+","CD3+, CD4+, CD45RA-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4/ICOS+,"CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8,"CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CCR6+,"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR3+,"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/CXCR5+,"CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD8/ICOS+,"CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/ICOS+,"CD3+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-","CD3+, CD4+, CD45RA-, CXCR5+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3/CD4,"CD3+, CD4+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD3,"CD3+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+","CD19+, CD27+, CD86+, IgD-, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19,"CD19+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD-","CD19+, CD27+, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+","CD19+, CD27+, CD86+, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27+, IgD+","CD19+, CD27+, IgD+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+/CD138+/CD86+,"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20-/CD86+","CD19+, CD20-, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20-","CD19+, CD20-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20+/CD86+","CD19+, CD20+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD19+, CD20+","CD19+, CD20+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+","CD19+, CD27-, CD86+, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD+","CD19+, CD27-, IgD+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD-","CD19+, CD27-, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD27-, IgD-/CD86+","CD19+, CD27-, CD86+, IgD-, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD20-","CD19+, CD20-, CD38+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD20-/CD86+","CD19+, CD20-, CD38+, CD86+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD24+","CD19+, CD24+, CD38+, lymphocyte, singlet, WBC"
"Singlet/WBC/Lymph/CD19/CD38+, CD24+/CD86+","CD19+, CD24+, CD38+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD86+,"CD19+, CD86+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+/CD138+,"CD138+, CD19+, CD27+, lymphocyte, singlet, WBC"
Singlet/WBC/Lymph/CD19/CD27+,"CD19+, CD27+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+,HLA-DR+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-,HLA-DR+","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD8+, CCR7-, CD45RA-","CCR7-, CD3+, CD45RA-, CD8+"
"CD3+, CD4+, CXCR5+, CD45RA-","CD3+, CD4+, CD45RA-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+"
"Lin1-, HLA-DR+","HLA-DR+, Lin1-"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+","CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CXCR5+, CD45RA-, ICOS+","CD3+, CD4+, CD45RA-, CXCR5+, ICOS+"
"CD3+, CD8+","CD3+, CD8+"
"CD3+, CD8+, CCR7+, CD45RA-","CCR7+, CD3+, CD45RA-, CD8+"
"CD3+, CD8+, CCR7-, CD45RA+","CCR7-, CD3+, CD45RA+, CD8+"
"CD3+, CD8+, CCR7+, CD45RA+","CCR7+, CD3+, CD45RA+, CD8+"
"CD3+, CD4+, CCR7-, CD45RA+","CCR7-, CD3+, CD4+, CD45RA+"
"CD3+, CD4+, CCR7+, CD45RA-","CCR7+, CD3+, CD4+, CD45RA-"
"CD14+, HLA-DR+, CX3CR1hi","CD14+, CX3CR1+, HLA-DR+"
"CD3+, CD4+, CCR7-, CD45RA-","CCR7-, CD3+, CD4+, CD45RA-"
"CD14+, HLA-DR+, CX3CR1lo","CD14+, CX3CR1+, HLA-DR+"
"CD14+, HLADR+","CD14+, HLA-DR+"
"CD14+, SLAN+","CD14+, SLAN+"
CD16+ neutrophil,"CD16+, l+, neutrop+"
"CD3+, CD4+","CD3+, CD4+"
"CD3+, CD4+, CCR7+, CD45RA+","CCR7+, CD3+, CD4+, CD45RA+"
"CD45+/CD3+/CD4/ICOS,Freq. of,CD4","CD3+, CD4+, CD45+, ICOS+"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+","BDCA-2+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, Q8, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+","BDCA-2+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, Q7, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+","BDCA-1+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, Q6, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+","BDCA-1+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, Q7, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, Q6, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, Q5, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2-, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+","BDCA-2+, CD2+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, WBC"
"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC","BDCA-2+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q3, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+","BDCA-1+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, Q8, WBC"
"WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+","CD19+, CD20+, nQ3+, SCC+, WBC"
"CD45+/CD3+/CD4/EM,Freq. of,CD4","CD3+, CD4+, CD45+, EM+"
"CD45+/CD3+/CD4/CM,Freq. of,CD4","CD3+, CD4+, CD45+, CM+"
"CD45+/CD3+,Freq. of,CD45+","CD3+, CD45+"
"WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+","CD19+, CD27+, IgD+, nQ1+, SCC+, WBC"
"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+","CD19+, n+, SCC+, transitional+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+","CD19+, CD27+, IgD+, nQ2+, SCC+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+","CD19+, CD27+, nPlasmacell+, nQ2+, SCC+, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC","2-, CD45+, gran, neutro, neutro-, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L+,Freq. of,Q2: CD16+, CD11b+","2-, CD11b+, CD16+, CD45+, CD62L+, gran, neutro, neutro-, Q2, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+/CD62L-,Freq. of,Q2: CD16+, CD11b+","2-, CD11b+, CD16+, CD45+, CD62L-, gran, neutro, neutro-, Q2, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b,Freq. of,Neutr","2-, CD11b+, CD16+, CD45+, gran, neutro, neutro-, Q3, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16,, CD11b,Freq. of,Neutr","2-, CD11b+, CD16+, CD45+, gran, neutro, neutro-, Q4, WBC"
"WBC/2-WBC/lymono/monos,Freq. of,2-WBC","lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos","CD14+, CD16+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+","CD11b+, CD14+, CD16+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD40+,Freq. of,CD14+CD16+","CD14+, CD16+, CD40+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+","CD14+, CD16+, CD62L+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+","CD14+, CD16+, CD86+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-,Freq. of,monos","CD14+, CD16-, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-","CD11b+, CD14+, CD16-, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-","CD14+, CD16-, CD40+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-","CD14+, CD16-, CD62L+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD86+,Freq. of,CD14+CD16-","CD14+, CD16-, CD86+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+,Freq. of,monos","CD14+, CD16+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+","CD11b+, CD14+, CD16+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+","CD14+, CD16+, CD40+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+","CD14+, CD16+, CD62L+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+","CD14+, CD16+, CD86+, lymphocyte, monocyte, monocyte, WBC"
"WBC/2-WBC/lymono/monos/dn,Freq. of,monos","dn+, lymphocyte, monocyte, monocyte, WBC"
"WBC/CD19+SCC/CD19+,Freq. of,WBC","CD19+, SCC+, WBC"
"CD45+/CD3+/CD4/TFH,Freq. of,CD4","CD3+, CD4+, CD45+, TFH"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+","CD19+, CD20+, nQ2+, SCC+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+","CD19+, CD27+, nQ2+, SCC+, WBC"
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+","CD19+, CD27+, nPlasmablast+, nQ2+, SCC+, WBC"
"CD45+/CD3+/CD4/Naive,Freq. of,CD4","CD3+, CD4+, CD45+, Naive+"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16,, CD11b+,Freq. of,Neutr","2-, CD11b+, CD16+, CD45+, gran, neutro, neutro-, Q1, WBC"
"CD45+/CD3+/CD4/TFH/1,Freq. of,TFH","CD3+, CD4+, CD45+, TFH1"
"Lymp/CD3-/CD56br,Freq. of,Lymp","CD3-, CD56+, lymphocyte"
"CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17","CD3+, CD4+, CD45+, ICOS+, non+, TFH17"
"CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2","CD3+, CD4+, CD45+, ICOS+, non+, TFH2"
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4","CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, Q2, TFH"
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+","CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, Q2, TFH"
"CD45+/CD3+/CD8,Freq. of,CD45+","CD3+, CD45+, CD8+"
"CD45+/CD3+/CD8/ICOS,Freq. of,CD8","CD3+, CD45+, CD8+, ICOS+"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+","BDCA-1+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, Q5, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+","BDCA-1+, CD2-, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, WBC"
"Lymp/CD3-/CD56diCD16+,Freq. of,Lymp","CD16+, CD3-, CD56+, lymphocyte"
"Lymp/CD3-/CD56-CD16+,Freq. of,Lymp","CD16+, CD3-, CD56-, lymphocyte"
"CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4","CD3+, CD4+, CD45+, non+, TFH1"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+","BDCA-1+, CD2+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, WBC"
"WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr","2-, CD11b+, CD16+, CD45+, gran, neutro, neutro-, Q2, WBC"
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC","BDCA-1+, HLA-DR+, Lin2-, lymphocyte, monocyte, Q1, WBC"
"sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC","CD123+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC","CD11c+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"ly/CD3+/CD8+/CD25+,Freq. of,CD8+","CD25+, CD3+, CD8+, lymphocyte"
"ly/CD3+/CD8+/CTLA4+,Freq. of,CD8+","CD3+, CD8+, CTLA4+, lymphocyte"
"CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1","CD3+, CD4+, CD45+, ICOS+, TFH1"
"ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+","CD3+, CD8+, FoxP3+, lymphocyte"
"CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1","CD3+, CD4+, CD45+, ICOS+, non+, TFH1"
"Lymp/CD3-/CD56diCD16-,Freq. of,Lymp","CD16-, CD3-, CD56+, lymphocyte"
"CD45+/CD3+/CD4/TFH/17,Freq. of,TFH","CD3+, CD4+, CD45+, TFH17"
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH","CCR6+, CD3+, CD4+, CD45+, CXCR3+, Q2, TFH"
"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+","CD19+, CD27+, IgD+, nQ4+, SCC+, WBC"
"ly/CD3+/CD4+/CD25+,Freq. of,CD4+","CD25+, CD3+, CD4+, lymphocyte"
"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+","CD19+, CD27+, IgD+, nQ3+, SCC+, WBC"
"ly/CD3+/CD4+/CTLA4+,Freq. of,CD4+","CD3+, CD4+, CTLA4+, lymphocyte"
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+","CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, Q2, TFH"
"CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17","CD3+, CD4+, CD45+, ICOS+, TFH17"
"CD45+/CD3+/CD4/Teff,Freq. of,CD4","CD3+, CD4+, CD45+, Teff+"
