B.memory,NK,live.cd8,B.plasma,Mo0,live.cd4tconv,CD8.GrzmB,Macro,cd4.treg,Target,Label_Baseada_Features
0.260210189409557,-1.1273861014627369,-0.7626900821852857,-0.6365481348948688,-0.4036407787036103,-1.6410814759191124,-0.7027767530334859,-0.3200750678619878,1.3635886393142214,0,0
0.252150509899231,-0.8922321725004576,-0.5927032944926611,-0.170782128505668,-0.1782592474372139,-1.0852213958854575,-0.3853024781890277,-0.0812159174226029,1.3817727746227768,0,0
0.531741672043228,-0.3001988028723564,-0.3606514333178509,-0.560553442411928,-0.1755882466230876,-1.2207142903959454,-0.5311718428547288,-0.1109011920710129,1.0000593189860498,0,0
0.7070359208688732,-0.4339372553787905,-0.0822596816286817,-0.1105231921475889,-0.1073013394080585,-0.4209832779686261,-0.4122578423611083,0.0281673038329196,1.1881235161561592,0,0
0.3340297668500822,-1.0643028196698052,-0.7607318252217671,-0.5272583397374727,-0.5310633809082222,-1.2650408787050236,-0.0496727844093252,-0.1028967028977278,0.8585782669506988,0,0
0.3259700873397561,-0.8291488907075261,-0.5907450375291425,-0.0614923333482719,-0.3056818496418259,-0.7091807986713686,0.2678014904351331,0.1359624475416569,0.8767624022592541,0,0
0.605561249483753,-0.2371155210794247,-0.3586931763543322,-0.4512636472545319,-0.3030108488276996,-0.8446736931818567,0.1219321257694318,0.1062771728932469,0.4950489466225273,0,0
0.7808554983093982,-0.370853973585859,-0.0803014246651633,-0.0012333969901928,-0.2347239416126704,-0.0449426807545369,0.2408461262630524,0.2453456687971796,0.6831131437926373,0,0
-0.0235178125294357,-1.0445286592455556,-0.2990668184365023,-0.7052208030037135,-0.226337253406141,-0.8760690834992159,-0.5710317364761605,-0.5702200953080784,0.8141102024887437,0,0
-0.0315774920397619,-0.8093747302832762,-0.1290800307438779,-0.2394547966145127,-0.0009557221397447,-0.3202090034655606,-0.2535574616317022,-0.3313609448686935,0.8322943377972988,0,0
0.2480136701042351,-0.2173413606551749,0.1029718304309323,-0.6292261105207729,0.0017152786743815,-0.4557018979760486,-0.3994268262974035,-0.3610462195171035,0.4505808821605721,0,0
0.4233079189298802,-0.3510798131616091,0.3813635821201015,-0.1791958602564336,0.0700021858894106,0.3440291144512708,-0.2805128258037828,-0.2219777236131709,0.6386450793306823,0,1
-0.3662003870533473,-0.4644020612510965,-0.2433011342063534,-0.0332856042349641,-0.1185796451352926,-0.0841877394394784,-0.0037160760052969,0.5077672193227051,0.7297875619093214,1,0
