Intermediate_Population,Lista_de_Definicoes
Memory B cells,"['CD19+, CD3-, CD14-, CD27+, IgD-, CD86+', 'CD19+, CD3-, CD14-, CD27+, IgD+', 'CD19+, CD3-, CD14-, CD27+, IgD+, CD86+', 'CD19+, CD3-, CD14-, CD27+, IgD-', 'Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+', 'Singlet/WBC/Lymph/CD19/CD27+, IgD-/CD86+', 'Singlet/WBC/Lymph/CD19/CD27+, IgD-', 'Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+', 'Singlet/WBC/Lymph/CD19/CD27+, IgD+', 'WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+', 'WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+', 'CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+', 'CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+']"
Memory CD4+ T cells,"['CD3+, CD4+, CCR7-, CD45RA+', 'CD3+, CD4+, CCR7+, CD45RA-', 'CD3+, CD4+, CCR7-, CD45RA-', 'CD45+/CD3+/CD4/EM,Freq. of,CD4', 'CD45+/CD3+/CD4/CM,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/CM,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/EM,Freq. of,CD4']"
Memory CD8+ T cells,"['CD3+, CD8+, CCR7-, CD45RA-', 'CD3+, CD8+, CCR7+, CD45RA-', 'CD3+, CD8+, CCR7-, CD45RA+', 'sing/CD45+/CD3+/CD8/CM,Freq. of,CD8', 'sing/CD45+/CD3+/CD8/EM,Freq. of,CD8']"
Monocytes (Unspecified),"['CD14negCD16neg_pmo', 'CD14+, HLA-DR+', 'CD14+, HLA-DR+, CD40+', 'CD14+, HLA-DR+, CX3CR1hi', 'CD14+, HLA-DR+, CX3CR1lo', 'CD14+, HLADR+', 'WBC/2-WBC/lymono/monos,Freq. of,2-WBC', 'WBC/2-WBC/lymono/monos/dn,Freq. of,monos', 'sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC', 'sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC', 'sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC', 'Singlet/WBC/Mono/CD14+/HLADR/CD40+', 'Singlet/WBC/Mono/CD14+/HLADR']"
Myeloid DCs (Unspecified),"['Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2+,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40+,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD2,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD40-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC', 'Lin1-, HLA-DR+, BDCA2-, CD11c+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD2-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/CD86-']"
Myeloid DCs type 1 (mDC1),"['Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q6: CD45RA+,, CD4+,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q7: CD45RA+,, CD4,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q8: CD45RA,, CD4,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2+,Freq. of,Q1: BDCA-1+', 'sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+,Freq. of,sWBC', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD2-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3-, CD1c+/CD86-']"
Myeloid DCs type 2 (mDC2),"['Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40+,Freq. of,BDCA3', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86+,Freq. of,BDCA3', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+,Freq. of,sWBC', 'Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD2-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+/BDCA3+, CD1c-/CD86-']"
NK cells,"['Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph', 'Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent', 'Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent', 'Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK', 'Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK', 'Lymp/CD3-/CD56br,Freq. of,Lymp', 'Lymp/CD3-/CD56diCD16+,Freq. of,Lymp', 'Lymp/CD3-/CD56diCD16-,Freq. of,Lymp']"
Naive B cells,"['CD19+, CD3-, CD14-, CD27-, IgD+, CD86+', 'CD19+, CD3-, CD14-, CD27-, IgD+', 'Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27-,, IgD+,Freq. of,Q2: CD19+, CD20+', 'Singlet/WBC/Lymph/CD19/CD27-, IgD+/CD86+', 'Singlet/WBC/Lymph/CD19/CD27-, IgD+', 'sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+', 'CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+']"
Naive CD4+ T cells,"['CD3+, CD4+, CCR7+, CD45RA+', 'CD45+/CD3+/CD4/Naive,Freq. of,CD4', 'ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+', 'ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+', 'ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+', 'ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+', 'sing/CD45+/CD3+/CD4/Naive,Freq. of,CD4']"
Naive CD8+ T cells,"['CD3+, CD8+, CCR7+, CD45RA+', 'sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8', 'ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+', 'ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+', 'ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+', 'ly/CD3+/CD8+/Q9: CD45RA,, CCR7+,Freq. of,CD8+']"
Non-classical Monocytes,"['CD14negCD16pos_CD86_pP', 'SLAN+', 'CD14+, SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+,Freq. of,WBC', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q10: SLAN+,, CD86+,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q11: SLAN+,, CD86-,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q14: SLAN+,, CD14+,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q15: SLAN+,, CD14-,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q2: SLAN+,, CD11b+,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q3: SLAN+,, CD11b-,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q6: SLAN+,, CD2+,Freq. of,SLAN+', 'sing/WBC/lymono/Lin-DR+/SLAN+/Q7: SLAN+,, CD2-,Freq. of,SLAN+', 'Singlet/WBC/Mono/SLAN+']"
Plasmablasts / Plasma cells,"['Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19', 'Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent', 'Sum of Plasma cells and Plasmablast', 'WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+', 'sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+']"
Plasmacytoid DCs (pDC),"['Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD2,Freq. of Parent', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC', 'Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent', 'Lin1-, HLA-DR+, BDCA2+, CD11c-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+', 'Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+', 'sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+,Freq. of,sWBC', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+', 'sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2+', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD2-', 'Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-']"
Regulatory T cells (Treg),"['ly/CD3+/CD8+/FoxP3+,Freq. of,CD8+', 'ly/CD3+/CD4+/FoxP3+,Freq. of,CD4+']"
T cells (Unspecified Subtype),"['Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+', 'Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent', 'Singlets/WBC/Lymph/CD3+,Freq. of,Lymph', 'Singlets/WBC/Lymph/CD3,Freq. of,Lymph', 'Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/DR,Freq. of Parent', 'CD3+', 'CD3+, ICOS+', 'CD3+, HLA-DR+', 'Singlet/WBC/Lymph/CD3/ICOS+', 'Singlet/WBC/Lymph/CD3', 'CD45+/CD3+,Freq. of,CD45+', 'sing/CD45+/CD3+,Freq. of,CD45+']"
T follicular helper (Tfh) cells,"['Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4', 'Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent', 'Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent', 'CD45+/CD3+/CD4/TFH,Freq. of,CD4', 'CD45+/CD3+/CD4/TFH/1,Freq. of,TFH', 'CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17', 'CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2', 'CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4', 'CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4', 'CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1', 'CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1', 'CD45+/CD3+/CD4/TFH/17,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17', 'CD45+/CD3+/CD4/non TFH,Freq. of,CD4', 'CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH', 'CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2', 'CD45+/CD3+/CD4/TFH/2,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1', 'sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17', 'sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2', 'sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4', 'sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+', 'sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent', 'sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH', 'sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4']"
Unclassified / Potential Error,['CD14negCD16neg_CD86_pP']
