mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__ccp_alpha,param_classify__criterion,param_classify__max_features,param_classify__n_estimators,param_classify__n_jobs,param_classify__random_state,param_impute,param_select,param_transform,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.2731027603149414,0.0037186145782470703,0.0644075870513916,0.004814624786376953,,0.04,entropy,,50,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.04, 'classify__criterion': 'entropy', 'classify__max_features': None, 'classify__n_estimators': 50, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6853023436682072,0.6587948098813915,0.6720485767747993,0.013253766893407848,1,0.69,0.676086956521739,0.6830434782608694,0.006956521739130472,173,0.6882352941176471,0.6745562130177515,0.6813957535676993,0.006839540549947787,1
0.15091145038604736,0.0022104978561401367,0.05887413024902344,0.0015978813171386719,,0.04,entropy,,50,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.04, 'classify__criterion': 'entropy', 'classify__max_features': None, 'classify__n_estimators': 50, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6853023436682072,0.6587948098813915,0.6720485767747993,0.013253766893407848,1,0.69,0.676086956521739,0.6830434782608694,0.006956521739130472,173,0.6882352941176471,0.6745562130177515,0.6813957535676993,0.006839540549947787,1
0.1346726417541504,0.015490055084228516,0.056462883949279785,0.0007206201553344727,,0.04,log_loss,,50,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.04, 'classify__criterion': 'log_loss', 'classify__max_features': None, 'classify__n_estimators': 50, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6853023436682072,0.6587948098813915,0.6720485767747993,0.013253766893407848,1,0.69,0.676086956521739,0.6830434782608694,0.006956521739130472,173,0.6882352941176471,0.6745562130177515,0.6813957535676993,0.006839540549947787,1
0.13900256156921387,0.010180473327636719,0.05536353588104248,0.0007828474044799805,,0.04,log_loss,,50,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.04, 'classify__criterion': 'log_loss', 'classify__max_features': None, 'classify__n_estimators': 50, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6853023436682072,0.6587948098813915,0.6720485767747993,0.013253766893407848,1,0.69,0.676086956521739,0.6830434782608694,0.006956521739130472,173,0.6882352941176471,0.6745562130177515,0.6813957535676993,0.006839540549947787,1
0.6458010673522949,0.06396365165710449,0.15037178993225098,0.004843473434448242,,0.02,log_loss,,250,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'log_loss', 'classify__max_features': None, 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6774008314766751,0.6574670213343466,0.6674339264055109,0.009966905071164212,5,0.702,0.6718840579710145,0.6869420289855073,0.015057971014492744,49,0.6764705882352942,0.6686390532544378,0.6725548207448659,0.003915767490428157,13
0.6165554523468018,0.04265785217285156,0.15244710445404053,0.0017150640487670898,,0.02,log_loss,,250,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'log_loss', 'classify__max_features': None, 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6774008314766751,0.6574670213343466,0.6674339264055109,0.009966905071164212,5,0.702,0.6718840579710145,0.6869420289855073,0.015057971014492744,49,0.6764705882352942,0.6686390532544378,0.6725548207448659,0.003915767490428157,13
0.7486381530761719,0.01861739158630371,0.14985430240631104,0.012018561363220215,,0.02,entropy,,250,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'entropy', 'classify__max_features': None, 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6774008314766751,0.6574670213343466,0.6674339264055109,0.009966905071164212,5,0.702,0.6718840579710145,0.6869420289855073,0.015057971014492744,49,0.6764705882352942,0.6686390532544378,0.6725548207448659,0.003915767490428157,13
0.706673264503479,0.0037087202072143555,0.1962130069732666,0.010658979415893555,,0.02,entropy,,250,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'entropy', 'classify__max_features': None, 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6774008314766751,0.6574670213343466,0.6674339264055109,0.009966905071164212,5,0.702,0.6718840579710145,0.6869420289855073,0.015057971014492744,49,0.6764705882352942,0.6686390532544378,0.6725548207448659,0.003915767490428157,13
0.7793444395065308,0.01742374897003174,0.2018735408782959,0.021134138107299805,,0.02,entropy,sqrt,250,2,42,,,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'entropy', 'classify__max_features': 'sqrt', 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': None, 'select': None, 'transform': None}",0.6625856846803762,0.6697003420009772,0.6661430133406767,0.003557328660300507,9,0.6784285714285714,0.6808695652173913,0.6796490683229813,0.0012204968944099504,309,0.6647058823529411,0.6804733727810651,0.6725896275670031,0.007883745214061988,5
0.7972480058670044,0.014489293098449707,0.16265928745269775,0.009527802467346191,,0.02,entropy,sqrt,250,2,42,SimpleImputer(strategy='median'),,,"{'balance': None, 'classify__ccp_alpha': 0.02, 'classify__criterion': 'entropy', 'classify__max_features': 'sqrt', 'classify__n_estimators': 250, 'classify__n_jobs': 2, 'classify__random_state': 42, 'impute': SimpleImputer(strategy='median'), 'select': None, 'transform': None}",0.6625856846803762,0.6697003420009772,0.6661430133406767,0.003557328660300507,9,0.6784285714285714,0.6808695652173913,0.6796490683229813,0.0012204968944099504,309,0.6647058823529411,0.6804733727810651,0.6725896275670031,0.007883745214061988,5
